article_id,title,author,issue_url,pdf_url
10.1002/wjo2.223,"Chinese guideline for the diagnosis and treatment of juvenile-onset recurrent respiratory
                     papillomatosis (2024)","Working Group of Chinese Guideline for the Diagnosis and Treatment of JORRP,Subspecialty Group of Pediatrics, Society of Otorhinolaryngology Head and Neck Surgery,
                        Chinese Medical Association,…See all authors",https://mednexus.org/toc/wjo/11/03,https://mednexus.org/doi/pdf/10.1002/wjo2.223?download=true
10.1002/wjo2.226,Academic productivity and industry trends of fellowship-trained U.S. academic rhinologists,"Michael J. Warn,Daniella Chan,Theodore V. Nguyen,Sina J. Torabi,Benjamin F. Bitner,Edward C. Kuan",https://mednexus.org/toc/wjo/11/03,https://mednexus.org/doi/pdf/10.1002/wjo2.226?download=true
10.1002/wjo2.201,"Pituitary apoplexy is associated with concurrent or subsequent diagnosis of human
                     immunodeficiency virus","Jennifer E. Douglas,Mandy K. Salmon,Rijul S. Kshirsagar,Jacob G. Eide,Caitlin White,Julia Kharlip,Christina Jackson,John Y. K. Lee,Daniel Yoshor,Michael A. Kohanski,James N. Palmer,Nithin D. Adappa",https://mednexus.org/toc/wjo/11/03,https://mednexus.org/doi/pdf/10.1002/wjo2.201?download=true
10.1002/wjo2.229,"Clinical characteristics and temporal trends of lumbar drain use in minimally invasive
                     resection of pituitary neoplasms","Benjamin F. Bitner,Sina J. Torabi,Ellen M. Hong,Eric H. Abello,Khodayar Goshtasbi,Frank P. K. Hsu,Edward C. Kuan",https://mednexus.org/toc/wjo/11/03,https://mednexus.org/doi/pdf/10.1002/wjo2.229?download=true
10.1002/wjo2.230,"Pituitary adenoma management and outcomes according to hospital case volume and facility
                     type","Khodayar Goshtasbi,Lauren Michelle,Sina J. Torabi,Kelsey Roman,Milind Vasudev,Arash Abiri,Ahmed Mohyeldin,Frank P. K. Hsu,Edward C. Kuan",https://mednexus.org/toc/wjo/11/03,https://mednexus.org/doi/pdf/10.1002/wjo2.230?download=true
10.1002/wjo2.222,"Trends and complications in functional endoscopic sinus surgery and balloon sinuplasty:
                     A TriNetX database analysis","Benjamin F. Bitner,Sina J. Torabi,Theodore V. Nguyen,Jonathan C. Pang,Edward C. Kuan",https://mednexus.org/toc/wjo/11/03,https://mednexus.org/doi/pdf/10.1002/wjo2.222?download=true
10.1002/wjo2.225,Assessment of endoscopic and external approaches for frontal sinus lesions,"Moataz D. Abouammo,Hossam S. Elsherif,Medhat M. H. Mansour,Magdy E. Saafan,Ricardo L. Carrau,Mahmoud F. Abdelaziz",https://mednexus.org/toc/wjo/11/03,https://mednexus.org/doi/pdf/10.1002/wjo2.225?download=true
10.1002/wjo2.216,"The characteristics of sinonasal inverted papilloma and recurrence factors: An analysis
                     of 207 cases","SeyedHadi SamimiArdestani,Mojtaba Mohammadi Ardehali,Shirin Irani,Mohammadreza Firouzifar,Mohammad Ali Kazemi,Farzad Yazdani,Maryam Lotfi,Mir Mohammad Jalali,Maliheh Akbarpour",https://mednexus.org/toc/wjo/11/03,https://mednexus.org/doi/pdf/10.1002/wjo2.216?download=true
10.1002/wjo2.70000,"Clinical characteristics and surgical outcomes between traumatic and nontraumatic
                     cerebrospinal fluid rhinorrhea","Ru Tang,Shi-Yao Zhang,Jia-Yao Zhou,Yue-Long Gu,Song Mao,Wei-Tian Zhang",https://mednexus.org/toc/wjo/11/03,https://mednexus.org/doi/pdf/10.1002/wjo2.70000?download=true
10.1002/wjo2.234,"Follow-up of patients with mild COVID-19 using subjective, acoustic, and aerodynamic
                     measurements","Zhi-Xue Xiao,Qing-Yi Ren,Wei-Qing Liang,Na-Na Li,Nan Huang,Zhi-Xian Zhu,Ping-Jiang Ge,Si-Yi Zhang,Jing Kang",https://mednexus.org/toc/wjo/11/03,https://mednexus.org/doi/pdf/10.1002/wjo2.234?download=true
