article_id,title,author,year,issue,volume,pdf_url
9084,帕拉米韦治疗儿童甲流的疗效及安全性,"葛新顺, 于沛涛, 赵成松, 张英, 姚瑶",2017,11,11,https://zhlcyszz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9084
9085,男性不育症患者血清25（OH）D与精液参数及性激素的相关性分析,"魏明明, 何玉洁, 刘小连, 荆晓",2017,11,11,https://zhlcyszz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9085
9086,哮喘患者血清MLCK水平与肺功能等指标的相关性研究,"熊庄莉, 宫晓丹, 孙启晶, 黄传君, 赵方正, 张才擎",2017,11,11,https://zhlcyszz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9086
9087,可降解镁支架对移植静脉吻合口再狭窄内膜增生及内皮化的影响,"李宇罡, 杨栋, 王磊, 吕俊远, 于丹, 辛世杰",2017,11,11,https://zhlcyszz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9087
9088,一步法和两步法建立5/6肾切除肾衰模型的对比研究,"张健, 李冀军, 宋岩",2017,11,11,https://zhlcyszz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9088
9089,小剂量氢化可的松与血必净对急性肺损伤大鼠作用比较,"郭琳瑛, 李红日, 张琪, 崔小岱, 宋国维",2017,11,11,https://zhlcyszz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9089
9090,骨髓间充质干细胞对大鼠痛风肾的修复作用,"李娜, 贾晓静, 冯杏, 韩艳, 赵丽君, 崔建军",2017,11,11,https://zhlcyszz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9090
9091,黄褐斑激光治疗进展,"余丽莎, 曹莫, 李辉正, 姜江, 程行健, 张玟, 平宇",2017,11,11,https://zhlcyszz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9091
9092,丙基硫氧嘧啶相关性血管炎合并急性肾损伤一例并文献复习,"魏素玲, 高春林, 夏正坤",2017,11,11,https://zhlcyszz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9092
9093,中国骨科医师教育模式的变迁,"张巍, 郝明, 王琨, 柴伟, 唐佩福",2017,11,11,https://zhlcyszz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9093
9094,导丝抓捕技术在急性肱动脉损伤介入治疗中的应用,"张希全, 葛世堂, 陈众, 齐德明, 窦树彬",2017,12,11,https://zhlcyszz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9094
9095,"寰枢椎椎弓根""手动钝性扩孔""置钉内固定植骨融合治疗上颈椎不稳","贾学军, 田伟, 寇剑铭, 王玺, 侯建文, 高冲, 俞杨",2017,12,11,https://zhlcyszz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9095
9096,自动乳腺全容积成像技术对比钼靶诊断乳腺肿物的临床应用价值,"黄玉琴, 陈武, 严继萍, 张超, 杨丽清, 梁楠, 郝菲",2017,12,11,https://zhlcyszz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9096
9097,大鼠肾移植急性排斥反应调节性T细胞及其基因表达的机制研究,"顾凤娟, 隋晓露, 张艾莎, 许云鹏, 陈继红",2017,12,11,https://zhlcyszz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9097
9098,LARS人工韧带与自体腘绳肌腱重建前交叉韧带的Meta分析,"梁智勇, 解通, 孙剑, 蔡龙, 向川",2017,12,11,https://zhlcyszz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9098
9099,2型糖尿病胰岛素抵抗与肾素-血管紧张素-醛固酮系统的研究进展,"莫翠瑶, 刘云峰",2017,12,11,https://zhlcyszz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9099
9100,冠状动脉扩张临床特征及诊断治疗和预后,"刘锐锋, 梁思文, 高翔宇, 邸北冰, 张悦, 化冰, 赵慧强",2017,12,11,https://zhlcyszz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9100
9101,重症急性胰腺炎合并腹腔间隔室综合征的治疗,"姚庆欢, 李海红, 孙宇, 赵琳琳, 王岩, 姜泓羽, 谢凤杰",2017,12,11,https://zhlcyszz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9101
9102,岛叶皮层的功能解剖,"周沁, 朱权, 陈武超",2017,12,11,https://zhlcyszz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9102
9103,表达CD4/CD56的急性髓细胞白血病误诊为母细胞性浆细胞样树突细胞肿瘤一例并文献复习,"张枫, 于水, 贾月萍, 张乐萍",2017,12,11,https://zhlcyszz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9103
9104,原发性高血压患者不同体位血浆醛固酮浓度与脉压的相关性,"姚晓光, 洪静, 李梅, 李秀芳, 胡君丽, 张德莲, 常桂娟, 周克明, 李南方",2017,13,11,https://zhlcyszz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9104
9105,右美托咪定联合氟比洛芬酯对小儿腹腔镜手术全麻苏醒期躁动的影响,"徐晶晶, 高宏, 王志萍",2017,13,11,https://zhlcyszz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9105
9106,顺行输尿管软镜联合经皮肾镜治疗鹿角型肾结石,"范涛, 史振铎, 赵岩, 韩从辉, 周家合",2017,13,11,https://zhlcyszz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9106
9107,弱畸形精子症与体外受精受精率和胚胎发育的相关性分析,"孙绪磊, 徐嘉君, 冷义福, 文江, 张学奎, 卜英波, 马小菊, 胡淑敏",2017,13,11,https://zhlcyszz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9107
9108,miR-34a/SIRT1表达水平与大鼠白内障发生的相关性研究,"季青山, 俞茜, 孙思勤, 温跃春, 柯根杰",2017,13,11,https://zhlcyszz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9108
9109,胺碘酮联合螺内酯与单用胺碘酮治疗阵发性房颤的Meta分析,"雷芾华, 程文波, 龚辉, 张峰, 侯月梅",2017,13,11,https://zhlcyszz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9109
9110,硅酸盐/磷酸盐复合型骨水泥的研究现状及新进展,"谭亚运, 张民",2017,13,11,https://zhlcyszz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9110
