article_id,title,author,year,issue,volume,pdf_url
35586,现在与未来的检验医学在医疗卫生中的重要作用,Graham H Beastall,2013,01,01,https://zhlcsysgldzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35586
35587,我国临床检验外部质量控制概况,陈文祥,2013,01,01,https://zhlcsysgldzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35587
35588,加强医学实验室技术能力 做好实验室认可,杨振华,2013,01,01,https://zhlcsysgldzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35588
35589,规范临床微生物标本送检流程 需要你我他,王辉,2013,01,01,https://zhlcsysgldzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35589
35590,循环微小RNA检测的临床应用研究进展,"郁佳佳, 鞠少卿",2013,01,01,https://zhlcsysgldzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35590
35591,异质性万古霉素中介金黄色葡萄球菌的流行性、实验室检测及临床意义,"刘彩林, 孙自镛",2013,01,01,https://zhlcsysgldzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35591
35592,循环肿瘤细胞在乳腺癌中的检测及其应用价值,"姚艳兰, 王露楠",2013,01,01,https://zhlcsysgldzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35592
35593,2013版《医学实验室质量和能力认可准则在基因扩增检验领域的应用说明》改版解读,"刘维薇, 关明",2013,01,01,https://zhlcsysgldzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35593
35594,评价一种以CLSI EP15-A2文件验证生化分析系统精密度和正确度方法的应用价值,"张传宝, 赵海建, 张天娇, 张江涛, 陈文祥",2013,01,01,https://zhlcsysgldzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35594
35595,中国北方汉族抗中性粒细胞胞浆抗体相关性小血管炎与TLR2/9基因多态性的相关性,"吴子燕, 徐涓娟, 孙菲, 陈华, 吴庆军, 郑文洁, 李萍, 宋宁, 李永哲, 张奉春",2013,01,01,https://zhlcsysgldzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35595
35596,人尿中微小RNA的稳定性及其诊断肾损伤的价值,"刘洋, 梁红艳, 高光强, 姜晓峰",2013,01,01,https://zhlcsysgldzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35596
35597,以JCI标准不断完善临床实验室安全管理工作,"谢鑫友, 黄珺, 宋铁军, 张钧",2013,01,01,https://zhlcsysgldzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35597
35598,实验室全面自动化：细菌与真菌实验室面临的机遇与挑战,"范欣, 邱玲, 徐英春",2014,01,02,https://zhlcsysgldzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35598
35599,临床微生物实验室自动化现状与进展,"杨启文, 徐英春",2014,01,02,https://zhlcsysgldzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35599
35600,血标本中的肿瘤靶点检测,"沈胤晨, 韩晓红",2014,01,02,https://zhlcsysgldzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35600
35601,葡萄球菌对利奈唑胺耐药的现状及主要耐药机制,"田月如, 李敏",2014,01,02,https://zhlcsysgldzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35601
35602,小儿先天性心脏病的遗传机制及研究进展,"耿娟, 傅启华",2014,01,02,https://zhlcsysgldzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35602
35603,住院患者血标本分析前质量控制与不合格标本原因分析,"蒋颜, 张超, 陈剑兰, 傅应裕, 段秀枝, 陶志华",2014,01,02,https://zhlcsysgldzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35603
35604,B淋巴细胞刺激因子及其受体与非霍奇金淋巴瘤的关联性,"申娴娟, 王梅, 鞠少卿",2014,01,02,https://zhlcsysgldzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35604
35605,FAK突变体的亚细胞定位及生物学特性,"方旭前, 刘湘帆, 姚玲, 顾志冬, 陈长强, 倪培华, 郑新民, 樊绮诗",2014,01,02,https://zhlcsysgldzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35605
35606,Caprini风险模型与九项血栓风险标志物诊断静脉血栓栓塞的相关性,"门剑龙, 任静, 董丽霞, 姚朱华, 赵文, 侯波",2014,01,02,https://zhlcsysgldzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35606
35607,八项骨转换指标与男性2型糖尿病患者并发骨质疏松的相关性,"谢奇朋, 叶定兴, 温怀凯, 李向阳",2014,01,02,https://zhlcsysgldzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35607
