article_id,title,author,year,issue,volume,pdf_url
1950,产科重大疾病的评价与研究,"刘世良, 陈敦金",2012,01,01,https://zhckjjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1950
1951,重视肝脏疾病对孕产妇安全的影响,"蒋佩茹, 林影",2012,01,01,https://zhckjjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1951
1952,妊娠期急性脂肪肝的诊断与治疗,"鲁建央, 漆洪波",2012,01,01,https://zhckjjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1952
1953,关于妊娠合并重症肝炎,"郝秀兰, 侯红瑛",2012,01,01,https://zhckjjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1953
1954,妊娠合并HELLP综合征管理,杨孜,2012,01,01,https://zhckjjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1954
1955,妊娠期药物性肝损害,"王曌华, 张建平",2012,01,01,https://zhckjjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1955
1956,"美国妇产科医师学会""妊娠合并病毒性肝炎指南""解读：乙型肝炎部分","何玉甜, 孙雯, 陈敦金",2012,01,01,https://zhckjjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1956
1957,深圳地区妊娠期急性脂肪肝的发病状况与母婴结局,"苏放明, 黄熙琳, 孙秀荣",2012,01,01,https://zhckjjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1957
1958,剖宫产瘢痕妊娠27例诊治分析,"刘玉昆, 孟丽丽, 刘梅兰, 李维艳, 陈立斌, 张建平",2012,01,01,https://zhckjjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1958
1959,84例胎盘植入患者的治疗与结局,"蔡坚, 梁润彩, 王子莲, 杨建波, 张颖, 卢清辉",2012,01,01,https://zhckjjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1959
1960,妊娠合并烧伤20例诊治分析,"徐丽南, 王子莲, 张颖, 蔡坚, 谢举临, 祁少海",2012,01,01,https://zhckjjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1960
1961,妊娠合并系统性红斑狼疮的临床研究,"贺芳, 陈敦金",2012,01,01,https://zhckjjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1961
1962,新疆维吾尔族和哈萨克族早发型子痫前期孕妇器官受累特点与围产结局的关系,"王建, 邵芳, 罗彩霞, 陈敦金, 苏春宏",2012,01,01,https://zhckjjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1962
1963,妊娠合并主动脉夹层二例,"柳艳丽, 韩凤珍",2012,01,01,https://zhckjjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1963
1964,妊娠合并急性胰腺炎的病因及诊疗,"甘婷, 肖国宏, 陈敦金",2012,01,01,https://zhckjjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1964
1965,妊娠合并急性病毒性肝炎,陈敦金,2012,01,01,https://zhckjjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1965
1966,提升编辑的人文素养　提高编辑的学术眼光：2012年医学电子出版物编辑业务培训班纪要,"陈晓鹰, 鲁玉红",2012,01,01,https://zhckjjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1966
1967,孕妇过量补碘与甲状腺功能减退有关,,2012,01,01,https://zhckjjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1967
1968,孕妇摄入过高糖量可增加子痫前期风险,,2012,01,01,https://zhckjjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1968
1969,危急重症孕产妇肾功能的保护,"易晓云, 马润玫",2012,02,01,https://zhckjjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1969
1970,妊娠期肾盂肾炎的诊断和治疗,"樊尚荣, 单莹莹",2012,02,01,https://zhckjjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1970
1971,妊娠合并急性肾功能损伤的诊断与治疗,曾万江,2012,02,01,https://zhckjjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1971
1972,妊娠合并肾结石的诊断与治疗,"徐妍力, 滕银成",2012,02,01,https://zhckjjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1972
1973,肾移植与妊娠,陈倩,2012,02,01,https://zhckjjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1973
1974,妊娠合并慢性肾小球肾炎,"董旭东, 彭娟",2012,02,01,https://zhckjjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1974
1975,"美国风湿病学会""狼疮性肾炎的筛查、治疗及管理指南""解读","孙雯, 何玉甜, 陈敦金",2012,02,01,https://zhckjjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1975
1976,早产危险因素的研究,"麦凤鸣, 陈敦金",2012,02,01,https://zhckjjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1976
1977,凶险型中央性前置胎盘手术治疗23例临床研究,"刘雁, 郭晓玲, 曾萌, 林育娇, 袁惠芝, 陈莉婷, 王瑞, 刘正平",2012,02,01,https://zhckjjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1977
