article_id,title,author,issue_url,pdf_url
10.1016/j.cjtee.2024.08.004,The construction and application of a trauma limb salvage map in Shaanxi province,"Meng Wang,Jian-Min Liu,Xing-Bo Dang,Long-Yang Ma,Gong-Liang Du,Wei Hu",https://mednexus.org/toc/cjt/28/04,https://mednexus.org/doi/pdf/10.1016/j.cjtee.2024.08.004?download=true
10.1016/j.cjtee.2024.04.007,"Analysis of risk factors, pathogenic bacteria characteristics, and drug resistance
                     of postoperative surgical site infection in adults with limb fractures","Yan-Jun Wang,Zi-Hou Zhao,Shuai-Kun Lu,Guo-Liang Wang,Shan-Jin Ma,Lin-Hu Wang,Hao Gao,Jun Ren,Zhong-Wei An,Cong-Xiao Fu,Yong Zhang,Wen Luo,Yun-Fei Zhang",https://mednexus.org/toc/cjt/28/04,https://mednexus.org/doi/pdf/10.1016/j.cjtee.2024.04.007?download=true
10.1016/j.cjtee.2024.09.004,Morphometric and anatomic characteristics of pronator quadratus muscle,"Nurşen Zeybek,Özcan Gayretli,Yüsra Nur Şanlıtürk,Ayşin Kale",https://mednexus.org/toc/cjt/28/04,https://mednexus.org/doi/pdf/10.1016/j.cjtee.2024.09.004?download=true
10.1016/j.cjtee.2024.02.007,"Molecular mechanism underlying the protective effects of ischemic preconditioning
                     in total knee arthroplasty","Yongli Wang,Bencai Du,Xueliang Han,Lianjun Qu",https://mednexus.org/toc/cjt/28/04,https://mednexus.org/doi/pdf/10.1016/j.cjtee.2024.02.007?download=true
10.1016/j.cjtee.2025.04.003,"NINJ1 impairs the anti-inflammatory function of hUC-MSCs with synergistic IFN-γ and
                     TNF-α stimulation","Wang Hu,Guomei Yang,Luoquan Ao,Peixin Shen,Mengwei Yao,Yuchuan Yuan,Jiaoyue Long,Zhan Li,Xiang Xu",https://mednexus.org/toc/cjt/28/04,https://mednexus.org/doi/pdf/10.1016/j.cjtee.2025.04.003?download=true
10.1016/j.cjtee.2024.07.009,"Survival predictor in emergency resuscitative thoracotomy for blunt trauma patients:
                     Insights from a Chinese trauma center","Shan Liu,Lin Ling,Yong Fu,Wen-Chao Zhang,Yong-Hu Zhang,Qing Li,Liang Zeng,Jun Hu,Yong Luo,Wen-Jie Liu",https://mednexus.org/toc/cjt/28/04,https://mednexus.org/doi/pdf/10.1016/j.cjtee.2024.07.009?download=true
10.1016/j.cjtee.2024.08.008,"When to choose intraosseous access in prehospital trauma care: A registry-based study
                     from the Israel Defense Forces","Mor Rittblat,Nir Tsur,Adi Karas,Sami Gendler,Zivan Beer,Irina Radomislensky,Ofer Almog,Avishai M. Tsur,Guy Avital,Tomer Talmy",https://mednexus.org/toc/cjt/28/04,https://mednexus.org/doi/pdf/10.1016/j.cjtee.2024.08.008?download=true
10.1016/j.cjtee.2024.09.003,"Prevalence and risk factors of training-related abdominal injuries: A multicenter
                     survey study","Chuan Pang,Wen-Quan Liang,Gan Zhang,Ting-Ting Lu,Yun-He Gao,Xin Miao,Zhi-Da Chen,Yi Liu,Wen-Tong Xu,Hong-Qing Xi",https://mednexus.org/toc/cjt/28/04,https://mednexus.org/doi/pdf/10.1016/j.cjtee.2024.09.003?download=true
10.1016/j.cjtee.2024.02.006,"Relevance of intra-abdominal pressure monitoring in non-operative management of patients
                     with blunt liver and splenic injuries","Vivek Kumar,Ramesh Vaidyanathan,Dinesh Bagaria,Pratyusha Priyadarshini,Abhinav Kumar,Narendra Choudhary,Sushma Sagar,Amit Gupta,Biplab Mishra,Mohit Joshi,Kapil Dev Soni,Richa Aggarwal,Subodh Kumar",https://mednexus.org/toc/cjt/28/04,https://mednexus.org/doi/pdf/10.1016/j.cjtee.2024.02.006?download=true
10.1016/j.cjtee.2024.03.012,"Comparison of hook platesvs. locking plates for Neer type IIB fractures of lateral end clavicle: A systematic
                     review","Ravi Patel,Muhammad Murtaza Khan,William Gibson,Robin Banerjee,Asif Pardiwala",https://mednexus.org/toc/cjt/28/04,https://mednexus.org/doi/pdf/10.1016/j.cjtee.2024.03.012?download=true
