article_id,title,author,year,issue,volume,pdf_url
1391,十年磨砺创佳绩　携手奋进迎辉煌,"姜玉新, 唐杰, 史红, 李军亮",2015,01,12,https://chaosheng.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1391
1392,肌肉骨骼超声进入崭新时代,郭瑞君,2015,01,12,https://chaosheng.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1392
1393,超声在发育性髋关节发育不良诊疗中的临床应用,"于静淼, 陈涛",2015,01,12,https://chaosheng.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1393
1394,肌肉骨骼超声检查及报告规范,,2015,01,12,https://chaosheng.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1394
1395,《美国超声医学协会发育性髋关节发育不良超声检查实践指南（2013版）》解读,"于静淼, 郭稳, 陈涛",2015,01,12,https://chaosheng.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1395
1396,肌肉骨骼超声应用进展,"孙宏, 梁晓宁, 曹文, 卢瑞刚, 郭瑞君",2015,01,12,https://chaosheng.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1396
1397,高频超声联合弹性成像及超声造影在软组织血管瘤诊断及治疗中的临床应用,"李硕, 梁晓宁, 孙宏, 鲁秀荣, 赵威, 曹文, 郭瑞君",2015,01,12,https://chaosheng.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1397
1398,超声生物显微镜在正常人及银屑病患者皮肤研究中的应用,"李硕, 梁晓宁, 张岩, 刘翠霞, 黄雅丽, 卢瑞刚, 郭瑞君",2015,01,12,https://chaosheng.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1398
1399,临床及超声检查对色素沉着绒毛结节性滑膜炎及活跃期类风湿性关节炎的诊断价值,"张凌燕, 包晓丹, 唐远姣, 冷钱英, 向茜, 邱逦",2015,01,12,https://chaosheng.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1399
1400,超声引导下介入治疗跖筋膜炎的临床价值,"贺凡丁, 卢漫, 成雪晴, 郭璇妍, 陈世寅",2015,01,12,https://chaosheng.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1400
1401,高频超声在脑卒中患者偏瘫肩康复治疗中的应用价值,"金凤山, 雷凯荣, 刘子青, 李延芳, 张小培, 姚炜",2015,01,12,https://chaosheng.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1401
1402,胎儿超声心动图检查对冠状动脉瘘的产前超声诊断,"肖珍, 尚宁, 马小燕, 郭艳霞, 欧阳春艳",2015,01,12,https://chaosheng.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1402
1403,多模态经直肠超声检查在前列腺穿刺活检中的临床应用,"杨敬春, 常莹, 王萍",2015,01,12,https://chaosheng.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1403
1404,超声弹性成像不同切面应变比值法诊断甲状腺结节的价值比较,"郑海宁, 罗渝昆, 张雁, 温泉, 樊亚红, 冯蕾, 李振彩",2015,01,12,https://chaosheng.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1404
1405,自动乳腺全容积成像在乳腺导管原位癌诊断中的应用价值,"包凌云, 谭艳娟, 朱罗茜, 许晓静, 孔凡雷, 刘坚, 朱庆庆",2015,01,12,https://chaosheng.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1405
1406,"""豹纹征""声像图诊断乳腺增生的价值","张鹏, 钱林学, 赵军凤, 谭小渠, 刘玉江, 张彦宁",2015,01,12,https://chaosheng.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1406
1407,超声造影技术定量分析兔慢性肾病血流灌注的实验研究,"陆敏, 杜联芳, 王迎春, 徐荣",2015,01,12,https://chaosheng.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1407
1408,开展经鼻咽食管超声心动图的研发工作,"王新房, 谢明星, 贺林, 杨亚利, 袁莉, 王蕾",2015,01,12,https://chaosheng.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=1408
