article_id,title,author,year,issue,volume,pdf_url
7769,卷首语：秋之实,,2016,01,09,https://zhwzzyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7769
7770,替罗非班应用于急诊经皮冠状动脉介入治疗对急性心肌梗死患者心肌灌注和内皮功能的影响,"周发展, 武君, 张春玲, 宋兆峰, 刘即芳, 张焕轶, 尹鲁骅",2016,01,09,https://zhwzzyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7770
7771,俯卧位通气对肺内源性急性肺损伤大鼠的影响,"杨茂宪, 施云超, 朱建刚, 沈鹏, 王海波, 宋先斌, 许鹏程, 赵文静",2016,01,09,https://zhwzzyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7771
7772,百草枯中毒大鼠急性肺损伤机制及姜黄素的干预研究,"何爱文, 陈寿权, 冷巧云, 刘玉荣, 李惠萍, 李章平, 章杰, 薛继可, 雷远丽",2016,01,09,https://zhwzzyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7772
7773,终末期肝病模型评分与Child-Turcotte-Pugh分级对非生物型人工肝治疗乙型肝炎相关性肝衰竭患者预测价值的研究,"杨文龙, 孙水林, 周锡进, 陈明发, 席文娜, 高珍, 杨玲玲, 罗杰, 何金秋",2016,01,09,https://zhwzzyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7773
7774,先天性心脏病患儿术后早期胃黏膜pH值的变化及其与心功能的相关性研究,"张彩云, 张泽伟, 邱芸香, 范佳杰, 郑志杰",2016,01,09,https://zhwzzyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7774
7775,他汀类药物对中国老年脓毒症患者住院期间病死率的影响,"归崎峰, 杨云梅, 张家嘉",2016,01,09,https://zhwzzyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7775
7776,血液灌流联合连续性静脉-静脉血液透析滤过对高脂血症性重症急性胰腺炎的疗效分析,"李茂琴, 史载祥, 许继元, 卢博, 李家琼, 许艳军, 王晓猛, 李松梅, 王懿宁",2016,01,09,https://zhwzzyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7776
7777,导管溶栓治疗急性下肢深静脉血栓形成患者的临床应用,"季必宏, 邹伟荣, 许海林, 王文荣, 黄炜, 孙君君, 张东生, 朱越锋",2016,01,09,https://zhwzzyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7777
7778,脉搏指数连续心输出量技术在重型颅脑损伤患者中的应用分析,"阳建国, 汪一棋, 赵朝辉, 蔡勇, 费振海, 钟兴明, 唐凯凯",2016,01,09,https://zhwzzyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7778
7779,两种重组人生长激素治疗重度烧伤患者的临床疗效评价,"罗旭, 王欣玲, 赵胜, 刘云峰, 李粟",2016,01,09,https://zhwzzyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7779
7780,右美托咪定联合地佐辛抑制小儿骶管阻滞体动反应半数有效剂量的比较研究,"郭丽丽, 吴星, 叶国妹",2016,01,09,https://zhwzzyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7780
7781,纤维支气管镜吸痰治疗心胸外科术后机械通气并发肺部感染患者46例的临床研究,"徐亮, 杨国彪, 何靖峰",2016,01,09,https://zhwzzyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7781
7782,国内临床镇痛药联合应用现状,"周文哲, 周满红",2016,01,09,https://zhwzzyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7782
7783,肺栓塞危险因素与预后评价的研究进展,"丁洁, 郭晓纲",2016,01,09,https://zhwzzyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7783
7784,腹部肿瘤患者术后谵妄的护理干预研究,"潘江霞, 梁军, 何莉莉",2016,01,09,https://zhwzzyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7784
7785,急性冠脉综合征急诊快速诊疗指南,"中国医师协会急诊医师分会, 中华医学会心血管病学分会, 中华医学会检验医学分会",2016,02,09,https://zhwzzyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7785
7786,硫化氢后处理对2型糖尿病大鼠心肌缺血再灌注损伤的保护作用及其与自噬潮的相关性研究,"赵雯洁, 王琛, 孙波, 单海华, 王安, 乔世刚",2016,02,09,https://zhwzzyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7786
7787,影响抗凝血杀鼠剂中毒患者维生素K1维持剂量的多因素分析,"龙剑海, 孙亚威, 邱泽武",2016,02,09,https://zhwzzyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7787
7788,CYP2C9和VKORC1基因检测指导急性肺血栓栓塞症患者个体化华法林抗凝治疗的临床研究,"魏君, 靳衡, 柴艳芬, 卢斌, 余慕明",2016,02,09,https://zhwzzyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7788
7789,脉波轮廓温度稀释连续心排量测量技术在重症急性胰腺炎合并急性呼吸道窘迫综合征患者液体管理中的应用,"曹关义, 李泉, 朱红岩, 邢顺鹏",2016,02,09,https://zhwzzyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7789
