article_id,title,author,year,issue,volume,pdf_url
37625,阻塞性睡眠呼吸暂停综合征的正颌外科治疗,"胡静, 王大章, 李继华",2007,01,01,https://zhkqyxyjzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37625
37626,牙石中Nanobacteria 菌的分离、培养与鉴定,"凌均棨, 曾劲峰, 蒋宏伟, 任邦鹏",2007,01,01,https://zhkqyxyjzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37626
37627,人涎腺腺样囊性癌及正常涎腺组织同源异型盒基因表达差异的研究,"夏辉, 李龙江, 黄元丁, 温玉明, 潘剑",2007,01,01,https://zhkqyxyjzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37627
37628,人端粒酶逆转录酶基因与P53 途径调控蛋白在舌鳞癌中的表达及其相关性分析,"刘习强, 黄洪章, 张彬, 潘朝斌, 许建辉, 余东升, 曾东林, 唐海阔",2007,01,01,https://zhkqyxyjzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37628
37629,脉管畸形的感觉神经分布,"沈淑坤, 陈新明, 孙志军, 张陈平, 赵怡芳",2007,01,01,https://zhkqyxyjzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37629
37630,有机化蒙脱土改良的纳米义齿基托材料的研制,"李志安, 肖群, 杨俊, 李洪波, 夏宣童",2007,01,01,https://zhkqyxyjzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37630
37631,白介素-1β 与白介素-10 在慢性牙周病中的表达研究,"任蕾, 金力坚, 梁惠强",2007,01,01,https://zhkqyxyjzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37631
37632,兔VX2 舌鳞状细胞癌移植瘤模型的建立及其主要生物学特性的研究,"廖贵清, 田军, 刘海潮, 杜日昌, 李传真, 李清, 王敬旭, 李国永",2007,01,01,https://zhkqyxyjzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37632
37633,富血小板血浆促进人成骨细胞增殖的体外实验研究,"宋扬, 巢永烈, 宫苹",2007,01,01,https://zhkqyxyjzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37633
37634,口内入路颌下腺切除术,"潘朝斌, 黄洪章, 黄志权, 赵小朋, 张彬",2007,01,01,https://zhkqyxyjzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37634
