article_id,title,author,year,issue,volume,pdf_url
21218,甘草酸制剂肝病临床应用专家共识,甘草酸制剂肝病临床应用专家委员会,2016,01,10,https://zhsyhlcgrbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=21218
21219,miRNA在肠道病毒71型手足口病诊断及治疗中的应用,"邹容容, 张国良, 李建明, 刘映霞",2016,01,10,https://zhsyhlcgrbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=21219
21220,细菌性中枢神经系统感染的实验室诊断研究进展,"曹敬荣, 王培昌, 陈静, 高世超",2016,01,10,https://zhsyhlcgrbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=21220
21221,幽门螺杆菌感染与非酒精性脂肪性肝病相关性的Meta分析,"王璐, 郝彦琴, 赵龙凤",2016,01,10,https://zhsyhlcgrbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=21221
21222,慢性乙型肝炎患者合并肌酸激酶升高的相关因素与转归分析,"杨松, 王笑梅, 王双豹, 赵莹莹, 邢卉春, 成军",2016,01,10,https://zhsyhlcgrbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=21222
21223,基于转录组测序技术的重症手足口病相关基因研究,"陈程, 刘映霞, 杨桂林, 邓永, 单灵波, 邹容容, 彭忠田",2016,01,10,https://zhsyhlcgrbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=21223
21224,核苷（酸）类药物初始治疗乙型肝炎肝硬化患者的临床疗效比较,"阎文昭, 赵文娟, 金国华, 周东方, 孙慧, 赵彩彦",2016,01,10,https://zhsyhlcgrbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=21224
21225,某院连续三年医院血流感染病原菌分布特征及耐药性分析,"翟如波, 李云慧, 孙跃岭, 梅旭, 邱广斌",2016,01,10,https://zhsyhlcgrbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=21225
21226,神经型布鲁菌病的临床特点及诊治分析,"钱芳, 高学松, 郭嘉祯, 张亦瑾, 段雪飞",2016,01,10,https://zhsyhlcgrbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=21226
21227,高灵敏度HBV DNA检测指导慢性乙型肝炎患者抗病毒治疗的临床意义,"邵国辉, 闫香芹, 陈合民, 张雷, 孙敏, 孙瑜",2016,01,10,https://zhsyhlcgrbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=21227
21228,神经外科手术患者医院获得性肺炎的危险因素分析,"王桂明, 牛淑香, 张开刚, 姜梅杰, 张玲, 翟荣慧",2016,01,10,https://zhsyhlcgrbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=21228
21229,重度颅脑外伤合并肺部感染的危险因素,"刘岩, 高宇飞, 李清元",2016,01,10,https://zhsyhlcgrbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=21229
21230,恶性疟合并溶血尿毒综合征的诊疗探讨,"王爱彬, 田地, 蒋荣猛, 李辉, 王琳, 倪亮, 徐艳利, 宋蕊, 卢联合, 陈志海",2016,01,10,https://zhsyhlcgrbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=21230
21231,山西省某传染病医院布鲁菌病患者经济负担分析,"顾伟玲, 刘宝芳, 周莉, 侯燕, 孔庆宏, 李青, 郭小青, 赵秀俊, 常晋芳, 王倩晖, 荀健, 王维芳",2016,01,10,https://zhsyhlcgrbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=21231
21232,HCV合并HBV感染者血清学指标的相关价值研究,"徐飞, 周淳, 宋淑静, 刘颖, 华文浩",2016,01,10,https://zhsyhlcgrbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=21232
21233,降钙素原和C-反应蛋白水平及白细胞计数联合检测对呼吸道感染的诊断价值,曾宪威,2016,01,10,https://zhsyhlcgrbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=21233
21234,2010至2013年黄石市手足口病的流行特征及病原学分析,"陈莹, 陈维进",2016,01,10,https://zhsyhlcgrbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=21234
21235,成都某院乙型肝炎患者的免疫特点分析,"陈竹, 曾义岚, 唐玉珍, 李守娟, 王丽",2016,01,10,https://zhsyhlcgrbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=21235
21236,眼科住院患者医院感染情况及相关危险因素,"于凌, 钟志竹",2016,01,10,https://zhsyhlcgrbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=21236
21237,武汉市黄陂区2012至2013年血吸虫病监测分析,"王智珊, 侯安明, 夏素鹏, 熊志敏, 杜祥兵",2016,01,10,https://zhsyhlcgrbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=21237
