article_id,title,author,year,issue,volume,pdf_url
8219,新型免疫抑制剂芬戈莫德对增生性瘢痕抑制作用的研究,"马达, 唐冰, 石芬, 曹小玲, 朱家源",2015,02,10,https://zhssyxfzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8219
8220,重度烧伤大鼠血清对巨噬细胞Notch1的激活及分泌功能的影响,"王姝月, 樊磊, 白晓智, 杨龙龙, 蔡维霞, 赵彬, 苏琳琳, 石继红, 胡大海",2015,02,10,https://zhssyxfzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8220
8221,脾多肽对糖尿病足患者免疫功能和创面转归的影响,"晏鹰, 常菲, 刘嘉楠, 李磊, 姜玉, 马兵",2015,02,10,https://zhssyxfzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8221
8222,乌司他丁对中度烧冲复合伤大鼠肺炎症介质和血管通透性的影响,"刘锐, 王树明, 曹卫红, 胡森, 李宗瑜, 高明娟, 王晓娜, 赵增凯, 郑金光",2015,02,10,https://zhssyxfzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8222
8223,可疑糖尿病足骨髓炎患者骨微生物培养及骨病理资料分析,"张妲, 关小宏, 王晨蕊, 杨彩哲, 吴石白",2015,02,10,https://zhssyxfzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8223
8224,糖尿病足创面的个性化处理,"胡骁骅, 邓微, 陈忠, 黎明, 杜伟力, 王成, 王红, 沈余明",2015,02,10,https://zhssyxfzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8224
8225,不同层级重度蒸汽吸入性损伤动物模型的建立,"朱富军, 詹球, 童亚林, 梁静, 阳齐琼, 刘亮, 李泳, 夏樱花, 吕璐, 莫永亮, 陈云鹏, 朱金红, 冯小艳, 龚震宇, 辛海明, 邹篪",2015,02,10,https://zhssyxfzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8225
8226,封闭负压治疗对猪深Ⅱ度烧伤创面的影响,"陈斓, 谢卫国, 叶子青, 赵超莉, 栾夏刚",2015,02,10,https://zhssyxfzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8226
8227,负压封闭引流技术结合大张皮移植术治疗深度烧伤创面的疗效观察,"邓鸿敖, 张红艳, 肖长辉, 闵定宏, 杨鸿明, 陈刚泉",2015,02,10,https://zhssyxfzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8227
8228,骨转移瘤发病的细胞生物学机制与细胞分子靶向治疗,"雷明星, 刘耀升, 刘蜀彬",2015,02,10,https://zhssyxfzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8228
8229,脓毒症心肌线粒体改变与干预的研究进展,"何鑫, 张勤",2015,02,10,https://zhssyxfzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8229
8230,大面积烧伤引起谵妄的研究进展,"周鑫, 高欣欣, 陈欣欣, 王贺, 金秀, 于家傲",2015,02,10,https://zhssyxfzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8230
8231,一例高龄Wanger Ⅳ级糖尿病足患者的护理体会,"苏楠, 关小宏, 李宝军, 盛薇, 贾雯雯",2015,02,10,https://zhssyxfzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8231
8232,小儿躯干严重坏死性筋膜炎一例,"刘志军, 孙志刚, 周桂文, 徐昕彤, 史明",2015,02,10,https://zhssyxfzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8232
