article_id,title,author,year,issue,volume,pdf_url
9692,腹腔镜直肠癌根治术难点与争议,"张忠涛, 杨盈赤",2018,01,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9692
9693,腹腔镜直肠癌侧方淋巴节结清扫技巧及疗效评价,"所剑, 国瑀辰, 李伟",2018,01,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9693
9694,腹腔镜直肠癌根治保留左结肠血管的技巧及意义,"陈纲, 李世拥",2018,01,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9694
9695,腹腔镜直肠癌经肛门全直肠系膜切除技巧及疗效评价,"姚宏伟, 张忠涛",2018,01,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9695
9696,胆囊壶腹钟表定位法对保障腹腔镜胆囊切除安全性的指导意义,尚培中,2018,01,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9696
9697,腹腔镜直肠癌根治术——直肠前间隙的分离与解剖,郑民华,2018,01,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9697
9698,腔镜下全甲状腺切除术,"左富义, 孙亮, 聂玉辉, 李涛",2018,01,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9698
9699,全腹腔镜根治性全胃切除术,"于文滨, 陈成, 麦麦提",2018,01,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9699
9700,腹腔镜根治性全胃切除重建术,王金榜,2018,01,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9700
9701,腹腔镜低位直肠癌根治腹部无切口经肛切除套入式吻合102例经验,"李世拥, 陈纲, 杜峻峰, 崔伟, 陈光, 左富义, 魏晓军, 东星, 季锡清, 袁强, 孙亮",2018,01,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9701
9702,腹腔镜及开腹直肠癌根治术中保留自主神经的效果比较,"赵启生, 杨贵义, 刘彦",2018,01,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9702
9703,腹腔镜侧方淋巴结清扫术治疗中低位直肠癌48例疗效分析,"郭校锡, 邓建中, 林义办, 李朝阳, 梁姗姗, 冯结兰, 伍巧玲",2018,01,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9703
9704,完全腹腔镜直肠癌根治术(Dixon术式)治疗直肠癌的疗效研究,"蔡锐文, 梁伟成, 黄冀华, 梁华艳, 黄开劲",2018,01,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9704
9705,末端回肠置管造瘘术防治直肠癌同期放化疗后术后吻合口漏,"王伟峰, 庄业忠, 夏容珊, 黄棉生, 林佳锐",2018,01,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9705
9706,腹腔镜下直肠低位前切除术与直肠经肛门拖出切除术治疗直肠癌的效果比较,梁平,2018,01,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9706
9707,两种腹腔镜直肠癌根治术和传统开腹手术的对比研究,汪飙,2018,01,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9707
9708,两种TME术式治疗超低位直肠癌疗效及安全性对比,盛波,2018,01,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9708
9709,腹腔镜袖状胃切除＋单吻合口十二指肠回肠旁路术(SADI－S)作为腹腔镜可调节胃束带术(LAGB)修正手术的短期疗效及安全性分析,"吴安健, 曹李, 刘林, 刘兢文, 田靖波, 金露佳, 吴喜燕, 刘志刚, 董光龙",2018,01,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9709
9710,腹腔镜与开腹治疗结肠癌的临床疗效及对机体免疫功能的影响对比,"秦颖, 张海涛, 文剑锋, 庄树彤, 刘安文, 郑凯",2018,01,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9710
9711,腹腔镜结肠癌根治术与开腹结肠癌根治术的近、远期疗效比较,"金岩柏, 樊红",2018,01,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9711
9712,腹腔镜下完整肠系膜切除术与传统结肠癌根治术治疗中青年及老年Ⅲ期结肠癌的效果比较,陈柏羽,2018,01,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9712
9713,精准肝切除与非规则性肝切除治疗肝内胆管结石的疗效对比,"李依川, 彭彬, 辛大平",2018,01,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9713
9714,甲状腺癌术后131Ⅰ治疗60例效果分析,刘训碧,2018,01,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9714
9715,同期三镜、扩张导管、气囊鼻胆管治疗胆结石、憩室周围乳头部梗阻51例,"陈安平, 周华波, 高原, 李华林, 索运生, 易斌, 刘安, 刘进衡, 张胜龙",2018,01,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9715
9716,腹腔镜与开腹再次胆道手术治疗胆总管结石的临床对比,"田泽阳, 徐晨龙, 张立",2018,01,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9716
9717,双镜联合微创保胆取石术与腹腔镜胆囊切除术的临床对比研究,"甄永强, 徐文样, 张丽华, 胡伟能",2018,01,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9717
9718,盲肠肠脂垂扭转致急性肠脂垂炎误诊为阑尾炎一例报告,"崔伟, 吕远, 陈纲, 李世拥",2018,01,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9718
9719,腹腔镜手术治疗小网膜及肝十二指肠韧带弥漫性脉管瘤一例,"张江华, 尚培中, 王金, 卜晓沛",2018,01,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9719
9720,腹腔镜胃癌根治术的难点与争议,"胡建昆, 赵林勇",2018,02,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9720
9721,腹腔镜胃癌根治术保脾脾门淋巴结清扫术技巧及意义,"杜晓辉, 胡时栋",2018,02,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9721
9722,试析腹腔镜胃癌根治术淋巴结清扫的相关问题,"李子禹, 高翔宇, 贾永宁",2018,02,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9722
9723,腹腔镜胃癌根治术联合脏器切除原则和疗效评价,"刘健, 刘彤",2018,02,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9723
9724,腹腔镜胃癌全胃切除术,"季加孚, 李子禹, 陕飞",2018,02,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9724
9725,机器人下近端胃癌根治术,"贾宝庆, 李鹏, 王白石, 郭少华, 刘新, 王绪宁, 徐茂林",2018,02,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9725
9726,全腔镜全胃切除术,张黎,2018,02,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9726
9727,全机器人与机器人辅助行远端胃癌根治术近期疗效对照研究,"熊强强, 刘东宁, 唐城, 曹传林, 李太原",2018,02,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9727
9728,3D腹腔镜与2D腹腔镜辅助远端胃癌D2根治术的应用对比,"王静铭, 邢俊杰, 刘宏, 付会芳, 康建省",2018,02,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9728
9729,70岁以上老年胃癌患者行腹腔镜辅助胃癌根治术的安全性和可行性,樊建新,2018,02,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9729
9730,全腹腔镜下改良三角吻合技术与腔镜毕Ⅰ式吻合用于胃癌根治术消化道重建的研究,"黄庆录, 李鸿飞, 蔡小勇, 覃强",2018,02,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9730
9731,3D腹腔镜在提高胃癌根治术成功率及安全性中的作用及对手术相关并发症发生率的影响,"严平雄, 王正文, 崔海宁, 李军, 许荣华, 何冬雷",2018,02,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9731
9732,两种胃切除术式对进展期近端胃癌预后的影响分析,"马永恩, 李建平",2018,02,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9732
9733,腹腔镜D2根治术治疗胃癌的临床效果及预后观察,"陈世君, 王勇强, 刘文能, 张聃",2018,02,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9733
9734,新辅助化疗联合手术治疗进展期胃癌的疗效观察,"梁江, 张云生, 金雄伟, 李宏帅, 郭湃",2018,02,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9734
9735,腹腔镜手术中结直肠癌患者体位选择对临床疗效的影响分析,"李旸, 王自强, 杨昆",2018,02,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9735
9736,肠系膜下动脉低位结扎和高位结扎对腹腔镜直肠癌根治术的疗效影响,"许涛, 胡江涛",2018,02,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9736
9737,腹腔镜老年胆囊切除术联合胆总管探查取石术98例分析,"束长新, 李明新",2018,02,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9737
9738,腹腔镜胆囊动脉入路与传统入路胆囊切除术的对比分析,"彭一峰, 莫晔, 陈国斌, 叶必鹏, 刘海林",2018,02,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9738
9739,腹腔镜下经腹顺行引导法逐级导管乳头扩张术253例,"陈安平, 曾乾桃, 周华波, 高原, 李华林, 索运生, 刘安, 刘进衡, 张胜龙",2018,02,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9739
9740,双镜联合微创治疗老年胆囊结石并肝外胆管结石的疗效分析,"张满赐, 赵敏",2018,02,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9740
9741,双侧甲状腺乳头状癌甲状腺全切同期双侧颈清扫的安全性分析,"吴骥, 顾书成, 郑向欣, 袁牧, 邱兴, 侍孝红, 管小青",2018,02,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9741
9742,保留乳房的乳腺癌切除术与改良根治术治疗绝经前乳腺癌患者的效果比较,"罗兵, 陈意, 赵霞, 廖江秀",2018,02,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9742
9743,减孔腹腔镜辅助右半肠切除术治疗老年患者的临床疗效分析,"陈匡荣, 张宏伟",2018,02,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9743
9744,逆行性经肝胆管引流在预防胰十二指肠切除术后胰瘘中的应用,"刘翔, 张涛, 金奎, 段伟宏, 陈道媛, 曲霏, 梁彦利, 雷蕾, 刘军桂",2018,02,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9744
9745,重症急性胰腺炎的早期营养支持治疗,"廖真防, 龚时文",2018,02,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9745
9746,腹腔镜下修补胃十二指肠溃疡穿孔的临床效果与安全性分析,朱义,2018,02,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9746
9747,腹腔镜右半结肠癌根治术的难点与争议,"郑民华, 马君俊",2018,03,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9747
9748,腹腔镜右半结肠癌切除淋巴结清扫范围及意义,"肖毅, 徐徕, 陆君阳",2018,03,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9748
9749,腹腔镜右半结肠癌扩大切除术意义的纷争,"卫洪波, 黄江龙",2018,03,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9749
9750,腹腔镜右半结肠癌CME切除术的意义及利弊分析,揭志刚,2018,03,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9750
9751,腹腔镜右半结肠癌CME切除术——尾侧中间联合入路,郑民华,2018,03,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9751
9752,腹腔镜辅助全结肠系膜切除的右半结肠根治术,"刘刚, 黄云, 袁新普, 赵占伟, 张朝军",2018,03,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9752
9753,腹腔镜扩大左半结肠切除术,"赵力, 许建林, 张子超, 杨国山",2018,03,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9753
9754,腹腔镜右半结肠癌根治术的疗效及对患者炎症水平的影响,"刘延锋, 董昌利, 王铎",2018,03,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9754
9755,快速康复外科策略下腹腔镜右半结肠癌根治术在高龄结肠癌患者中的应用,向荣超,2018,03,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9755
9756,改良中间入路对腹腔镜右半结肠切除术临床效果观察,"高亚超, 王卓",2018,03,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9756
9757,腹直肌厚度与腹腔深度在结肠癌根治性切除术后手术部位感染中的预测价值分析,"刘颂, 王萌, 王峰, 陆晓峰, 管文贤, 郑黎明",2018,03,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9757
9758,腹腔镜与开腹手术对于进展期远端胃癌患者术后应激反应及临床疗效研究,"张亦磊, 张佳, 李涛, 梁明, 肖栋, 李晓涛",2018,03,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9758
9759,腹部手术后急性非结石性胆囊炎诊治策略,"郑建伟, 曹李, 吴安健, 董光龙",2018,03,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9759
9760,腹腔镜与开腹手术在胆总管结石二次胆道手术中临床疗效对比,"滕浩鹏, 曾林",2018,03,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9760
9761,腹腔镜联合胃镜手术治疗固有肌层来源的胃间质瘤的安全性及可行性,"喻军, 白植军, 余江, 张蕾, 刘军辉, 郭伟洪",2018,03,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9761
9762,3D腹腔镜治疗食管胃结合部SiewertⅡ型腺癌103例临床分析,"郝阳, 吴刚, 孙培春",2018,03,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9762
9763,甲状腺癌的超声影像学诊断与病理学对照研究,"袁文利, 王玉梅, 王勇, 邓伟",2018,03,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9763
9764,胃十二指肠溃疡患者的微创手术修补效果研究,"杜刚, 杨林, 康乐斯基, 唐正勇",2018,03,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9764
9765,重度肥胖患者应用腹腔镜下袖状胃切除术与胃旁路术治疗前后肺功能及血脂水平变化分析,"鲁旭, 鲁宏艺, 钱赢, 吴亚东, 金小顺, 孙喜太",2018,03,12,https://zhpwkssxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=9765
