article_id,title,author,year,issue,volume,pdf_url
37663,用“循证医学”原则指导肝癌肝移植实践,黄洁夫,2007,01,01,https://zhptwkxwx.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37663
37664,复方三叶香茶菜抗大鼠肝纤维化的实验研究,"甄茂川, 汪谦, 陈锡林, 曹良启, 黄晓卉",2007,01,01,https://zhptwkxwx.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37664
37665,中国小型猪原位肝移植的围手术期处理,"潘明新, 孔凡东, 李爱辉, 谢金敏, 张翌, 王玲, 高毅",2007,01,01,https://zhptwkxwx.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37665
37666,Caveolin-1 对乳腺癌细胞Hs578T 耐药株周期和凋亡影响,"齐保聚, 李非, 郑亚民, 刘爽, 孙海晨",2007,01,01,https://zhptwkxwx.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37666
37667,循证护理在脑卒中便秘患者中的应用,"张小燕, 成守珍, 苏永静, 吴婉玲, 曾进胜",2007,01,01,https://zhptwkxwx.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37667
37668,关于以5-氟脲嘧啶为辅助的化放疗对可切除的胰腺癌有无益处的Meta 分析,邓斐文,2007,01,01,https://zhptwkxwx.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37668
37669,自体脾移植及食管横断吻合术治疗肝硬化门脉高压症——免疫学及门静脉血流动力学观察,"霍景山, 陈积圣, 陈汝福, 吴卓, 张红卫, 区庆嘉",2007,01,01,https://zhptwkxwx.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37669
37670,肝移植术改善良性终末期肝病病人生存质量的初步研究,"蔡常洁, 华学峰, 易述红, 杨扬, 陆敏强, 陈规划",2007,01,01,https://zhptwkxwx.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37670
37671,腹腔镜胃癌根治术的临床应用,"潘凯, 夏利刚, 钟克力, 陈杰, 李明伟, 林烈文, 胡海军, 杨明利, 朱畅, 宗华",2007,01,01,https://zhptwkxwx.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37671
37672,MMP9、TIMP1 基因在原发性肝癌中的表达,"李明意, 姚金科, 杨永光",2007,01,01,https://zhptwkxwx.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37672
37673,十二指肠液K-ras、P53 和P16 基因联合检测在胆管癌诊断中的价值,"薛平, 郑强, 卢海武, 胡以则",2007,01,01,https://zhptwkxwx.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37673
37674,肝移植治疗重型肝炎手术时机选择（附36 例分析）,"江艺, 吕立志, 张坤, 胡还章, 张小进, 陈永标, 陈少华, 杨芳, 蔡秋晨, 魏为明, 臧书源, 潘凡, 张绍庚, 林华",2007,01,01,https://zhptwkxwx.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37674
37675,非功能性胰岛细胞瘤的诊断与治疗,"胡石奇, 刘振邦, 张信华",2007,01,01,https://zhptwkxwx.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37675
37676,中下段直肠癌VEGF 表达状况与淋巴结微转移的关系,"吴泽宇, 万进, 赵刚, 姚远, 杜嘉林, 彭林, 刘全芳, 王志度, 黄炽明, 杨珏",2007,01,01,https://zhptwkxwx.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37676
37677,外伤性脾破裂的手辅助腹腔镜手术技巧,"陈小伍, 剧永乐, 戎祯祥, 陆光生, 伍锦浩, 朱达坚, 张才铭, 耿岩",2007,01,01,https://zhptwkxwx.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37677
37678,体胖患者的腹腔镜阑尾切除术应用技术分析,"潘凯, 夏利刚, 钟克力, 陈杰, 李明伟, 林列文, 郭春华, 胡海军, 杨明利, 朱畅, 宗华",2007,01,01,https://zhptwkxwx.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37678
37679,腹部闭合性胰腺损伤的诊治,"杨峰, 陈斌, 韩庆, 吴绍豪, 周泽强, 王成友",2007,01,01,https://zhptwkxwx.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37679
37680,阑尾套叠的诊治,"黄江龙, 卫洪波, 郑宗珩, 魏波, 陈图锋, 郑峰, 邱万寿, 胡宝光, 陈桂丽, 黄群爱",2007,01,01,https://zhptwkxwx.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37680
37681,急性主动脉夹层伴肠系膜上动脉缺血1 例的治疗体会,"沈晟, 符伟国",2007,01,01,https://zhptwkxwx.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37681
37682,腹腔间室综合征,"张有成, 张文雄, 陈晓",2007,01,01,https://zhptwkxwx.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37682
37860,进一步提高我国胃癌诊治水平和学术影响力,詹文华,2007,02,01,https://zhptwkxwx.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37860
37861,预防性胃肠转流在晚期壶腹周围癌外科治疗中的价值,"付金强, 雷正明",2007,02,01,https://zhptwkxwx.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37861
37862,术前消毒剂洗浴对手术切口感染预防作用的Meta分析,,2007,02,01,https://zhptwkxwx.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37862
37863,门静脉输注骨髓干细胞诱导肝移植大鼠长期存活的实验研究,"潘明新, 孔凡东, 单毓强, 高毅",2007,02,01,https://zhptwkxwx.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37863
37864,乳腺癌细胞周期调定点激酶基因突变的研究,"陆云飞, 向俾廷, 曾健, 廖清华, 林坚",2007,02,01,https://zhptwkxwx.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37864
