article_id,title,author,year,issue,volume,pdf_url
14916,炎症性肠病非药物疗法的实践与展望,江学良,2017,01,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14916
14917,粪菌移植对顽固性功能性便秘患者临床疗效及生活质量的影响,"刘巧云, 张松, 曹海超, 李婷宇, 马玉帛, 赵欣, 蒋铭佐, 刘健, 惠娜, 王美霞, 聂燕, 吴开春, 聂勇战",2017,01,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14917
14918,预防性应用抗生素对肝硬化并发上消化道出血的疗效,"尹丹萍, 董俊峰",2017,01,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14918
14919,缬草波春对非炎症性结肠致敏大鼠模型大脑海马旁回GABA-B受体表达的影响,"周小雕, 汪晓珍, 冉茂熙, 叶建明, 薛存宽, 何学斌, 蒋朋",2017,01,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14919
14920,胰岛素样生长因子结合蛋白相关蛋白质1对SD大鼠及比格犬肺组织的影响及意义,"郭钰, 刘立新, 管宇, 吕婷婷, 郭亚荣, 郭晓红",2017,01,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14920
14921,胰岛素样生长因子结合蛋白相关蛋白1对SD大鼠和比格犬肾组织的影响及意义,"管宇, 刘立新, 郭钰, 吕婷婷, 郭晓红, 郭亚荣",2017,01,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14921
14922,嗜酸粒细胞性胃肠炎患儿的护理体会,"赵敏, 许波, 曹玉晶",2017,01,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14922
14923,糖基转移酶与炎症性肠病的研究进展,"谢隆科, 王志荣",2017,01,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14923
14924,胰腺假性囊肿消化道瘘自发形成二例,"周海祥, 董小耘, 卜平, 徐晓玲, 陈超伍",2017,01,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14924
14925,胰腺转移性间叶性软骨肉瘤一例,"李洁, 倪军, 叶靖, 陈文新",2017,01,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14925
14926,慢性便秘非手术治疗的进展,刘晓峰,2017,02,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14926
14927,胰腺脂肪浸润相关临床因素分析,"李娅, 宋锐锋, 郝玮玮, 赵艳萍, 徐峰",2017,02,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14927
14928,胆道支架置入联合内外放疗治疗恶性阻塞性黄疸的中远期临床观察,"吴海江, 李国均, 曹驰, 李浩, 程隆, 管峦",2017,02,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14928
14929,肥胖与胆管癌相关性的Meta分析,"李君山, 韩天洁, 聂晶, 宫健, 高新英, 井夫春, 王庆才",2017,02,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14929
14930,认知-行为治疗对国人肠易激综合征疗效的Meta分析,"杨静, 雷晓斐, 李坤, 李双玲, 徐昌青, 杨宏丽",2017,02,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14930
14931,自身免疫性肝病发病机制的研究进展,"吕婷婷, 刘立新",2017,02,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14931
14932,克罗恩病与肠结核鉴别诊断的新进展,"尹丹萍, 刘同亭",2017,02,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14932
14933,超声内镜引导下双气囊封堵式胃空肠旁路术治疗胃出口恶性梗阻一例,"于源滋, 李涛, 张楠, 乔惠梅, 赵京芳, 田相国, 吴蕾, 胡锦华, 刘福利, 崔屹, 刘吉勇",2017,02,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14933
14934,孤立性肠系膜上动脉夹层二例,"袁俊华, 王志超, 高洁, 赵玉敏",2017,02,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14934
14935,原发性食管恶性黑色素瘤一例,"孙超, 柴海娜, 朱滢, 徐晓玲, 陈浮",2017,02,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14935
14936,肝门部及肝脏血管周上皮样肿瘤2例报道并文献综述,"王刚, 翟文龙, 叶健文, 傅哲, 周闯, 唐文超",2017,02,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14936
14937,炎症性肠病肠外表现的诊治策略,葛文松,2017,03,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14937
14938,维持性血液透析患者左心室舒张功能与并发肺动脉高压的关系,"刘文渊, 张彦, 王军芳, 赵寒辉, 秦瑜, 董磊",2017,03,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14938
14939,肝纤维化大鼠模型STAT3mRNA的动态变化及贝那普利对其的影响,"张叶, 申凤俊, 王丽华",2017,03,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14939
14940,MMP-9和EGFR在上皮型恶性腹膜间皮瘤的表达及意义,"杨雨鑫, 梁育飞, 史永红, 郑国启",2017,03,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14940
14941,比格犬肝损伤时F4/80、IL-6与IGFBPrP1的变化及意义,"张骞骞, 郭亚荣, 刘立新, 范慧琴",2017,03,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14941
14942,内镜下套扎与口服β受体阻滞剂对预防初次食管胃底静脉曲张破裂出血的Meat分析,"张伟, 田昭涛, 崔云亮",2017,03,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14942
14943,原代肝星状细胞分离方法新进展,"孔洋洋, 刘立新",2017,03,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14943
14944,磁共振成像在糖尿病足感染的应用研究进展,"宋学文, 李咏梅",2017,03,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14944
14945,他汀类药物治疗肝硬化研究进展,"赵连晖, 张春清",2017,03,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14945
14946,原发性乳腺淋巴瘤的超声表现一例,"史惠方, 董磊",2017,03,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14946
14947,胃体肌上皮错构瘤一例,"贾平, 朱振, 夏巍, 刘丹, 徐永居, 印健, 朱海杭",2017,03,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14947
14948,放射组学的兴起及其在消化系统肿瘤中的应用,孙钢,2017,04,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14948
14949,儿童闭塞性细支气管炎的临床及高分辨率CT特点,"尹丹萍, 李理, 孙钢",2017,04,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14949
14950,窄带成像放大内镜与内镜活检诊断胃肿瘤的效果,"王丽慧, 季万胜, 代洪生, 张春平, 高志星",2017,04,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14950
14951,影像引导下经皮微波消融术治疗原发性肝癌3年临床疗效分析,"王凯, 田玉芹, 张海文, 庄兴俊",2017,04,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14951
14952,心理干预对慢性乙型肝炎患者治疗依从性和治疗效果的影响,"聂翠芳, 杨圣强",2017,04,07,https://zhxhbyyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14952
