article_id,title,author,year,issue,volume,pdf_url
11289,小儿腹股沟疝腹腔镜手术操作指南（2017版）（下篇）,中华医学会小儿外科学分会内镜外科学组,2018,02,12,https://zhshfbwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=11289
11290,腹壁切口疝分型的历史演变及现代观点,"李开富, 康骅, 王亚军, 侯丁丁, 凌煜玮, 王碧霄, 韩婧, 赵烨",2018,02,12,https://zhshfbwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=11290
11291,生物补片在疝与腹壁外科的临床应用进展,"陈松耀, 戴伟钢, 陈创奇",2018,02,12,https://zhshfbwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=11291
11292,小儿腹腔镜腹股沟疝手术对血气指标及体内循环参数的影响,刘永刚,2018,02,12,https://zhshfbwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=11292
11293,腹腔镜Nissen胃底折叠术对胃食管反流病患者食管动力学的影响,"胡志伟, 李侁, 汪忠镐, 吴继敏, 田书瑞, 邓昌荣, 张玉, 战秀岚, 陈新, 王峰, 许辉",2018,02,12,https://zhshfbwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=11293
11294,腹腔镜下腹腔内补片植入术治疗腹白线疝可行性分析,"关磊, 陈杰, 申英末, 赵凤林",2018,02,12,https://zhshfbwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=11294
11295,开放式前入路腹股沟疝修补术后慢性疼痛的超声诊断,"裘之瑛, 陈悦, 唐健雄, 庞芸, 李绍杰",2018,02,12,https://zhshfbwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=11295
11296,CT在巨大切口疝患者疝修补术前渐进性气腹中的应用,"万明军, 雷立章, 翟采文, 叶波, 李广明",2018,02,12,https://zhshfbwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=11296
11297,腹腔镜治疗腹股沟疝临床疗效、胃肠动力和应激水平变化分析,"王隽, 权红光, 张汉超, 宁飞龙",2018,02,12,https://zhshfbwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=11297
11298,不同补片植入方法在腹腔镜腹股沟疝修补术的疗效,"李进, 张敏康, 郭浩, 张前进, 孟庆良, 田庆中",2018,02,12,https://zhshfbwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=11298
11299,腹腔镜下腹壁切口疝修补术的临床疗效,宋健,2018,02,12,https://zhshfbwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=11299
11300,腹腔镜下完全腹膜外与经腹腹膜前腹股沟疝修补术的临床疗效,"黄新全, 熊勇, 周锦都, 任刚, 陈亚仔",2018,02,12,https://zhshfbwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=11300
11301,股疝开放式前入路修补的临床疗效,"刘小春, 陈伟清, 郑国富, 谢海亮, 叶波, 陈革",2018,02,12,https://zhshfbwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=11301
11302,腹腔镜与开腹无张力腹股沟疝修补术后切口盐袋压迫的效果,"王俭, 蒋媛, 时娟, 马静, 屈鹏",2018,02,12,https://zhshfbwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=11302
11303,局部麻醉下腹股沟疝腹膜前间隙Kugel补片无张力修补术的疗效,"马学强, 刘翰林, 陈国平, 袁世超, 朱雄文",2018,02,12,https://zhshfbwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=11303
11304,多层螺旋CT三维重建技术在疝补片大小选择中的应用,"杨思阔, 秦伟, 戴勇",2018,02,12,https://zhshfbwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=11304
11305,腹腔镜腹股沟疝修补术后血清肿预防与应对,"孙中伟, 孙少川",2018,02,12,https://zhshfbwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=11305
11306,Lichtenstein术治疗腹股沟疝的疗效分析,"陈志山, 洪黎清, 杨昌毅, 傅少龙",2018,02,12,https://zhshfbwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=11306
11307,医用胶在腹腔镜完全腹膜外疝修补术中减少术后血清肿的体会,"申超, 刘文生",2018,02,12,https://zhshfbwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=11307
11308,腹腔镜经腹腹膜前疝修补术的围手术期干预,罗丽娜,2018,02,12,https://zhshfbwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=11308
11309,临床护理路径在腹股沟疝无张力修补术中的应用,"贺银梅, 夏继伟",2018,02,12,https://zhshfbwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=11309
11310,开放Sublay修补肾移植术后切口疝一例,"任峰, 周静瑜, 周建平",2018,02,12,https://zhshfbwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=11310
11311,肠穿孔术后并发嵌顿性腹股沟疝一例,"谢江平, 刘刚",2018,02,12,https://zhshfbwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=11311
11355,2018年国际腹股沟疝指南解读：成人腹股沟疝管理（一）,"杨慧琪, 刘敏, 申英末",2018,05,12,https://zhshfbwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=11355
11356,"对""2018年国际腹股沟疝指南""的点评",陈杰,2018,05,12,https://zhshfbwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=11356
11357,腹股沟疝外科的理论框架及其对临床实践及学科发展的意义,"李亮, 洪楚原, 李明哲, 黄建朋, 吴文辉, 张常华, 何裕隆",2018,05,12,https://zhshfbwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=11357
11358,小鼠腹壁不同解剖层次丝线线结周围异物巨细胞浸润和纤维化程度的组织学比较,"刘雪来, 宋岩彪, 单颖君, 张创, 靳晓次, 费川, 张永婷, 李索林",2018,05,12,https://zhshfbwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=11358
11359,疝钩针改进及其在单孔腹腔镜经皮腹膜外内环结扎术中的应用,"刘林, 李索林, 李萌, 李英超, 徐伟立, 马亚贞, 周辉",2018,05,12,https://zhshfbwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=11359
11360,单孔腹腔镜双钩疝针内环结扎术治疗32例腹股沟复发疝患儿的体会,"李艳丽, 王家祥, 张大, 贾佳",2018,05,12,https://zhshfbwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=11360
11361,单孔腹腔镜腹膜外内环结扎术—单中心学习曲线,"陈海涛, 范林林, 张旭, 刘闯, 杨斌, 刘风昌",2018,05,12,https://zhshfbwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=11361
11362,国产可吸收钉固定器与进口同类产品在腹腔镜腹壁疝修补术中的临床对比研究,"刘亦婷, 孙立, 陈杰, 申英末",2018,05,12,https://zhshfbwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=11362
11363,老年结直肠肿瘤患者术后切口裂开18例分析,"安丹, 王玉巍, 何建苗",2018,05,12,https://zhshfbwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=11363
