article_id,title,author,year,issue,volume,pdf_url
16018,重视飞秒激光角膜屈光术前Avellino角膜营养不良的临床检查和基因筛查,"李玉, 张丰菊",2017,01,07,https://zhykyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16018
16019,借鉴中医学理论开启现代医学在青少年近视眼防控中的重新定位与创新发展,"肖林, 吴茜茜, 张丽霞, 任骁方, 宿蕾艳, 卓德义",2017,01,07,https://zhykyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16019
16020,VEGF诱导对翼状胬肉成纤维细胞血管生成拟态影响的研究,"陈俊杰, 蓝育青, 吴共发, 黄绮亭, 曾宇婷",2017,01,07,https://zhykyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16020
16021,利用全外显子组测序法筛选Leber先天性黑矇一家系候选致病基因的实验研究,"赵军, 黄晓生, 彭诗茗, 祝天辉, 贺温玲, 曾映虾, 范先明, 范宝剑",2017,01,07,https://zhykyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16021
16022,周边离焦软性角膜接触镜与单焦点软性角膜接触镜对青少年近视进展控制效果的Meta分析,"杨洋, 张明洲, 吕会斌, 江晓丹, 刘嫣, 李学民",2017,01,07,https://zhykyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16022
16023,鄂尔多斯市蒙古族与汉族青少年眼轴长度的对比研究,"高楠楠, 云丽霞, 辛柳青, 胡丽兴",2017,01,07,https://zhykyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16023
16024,小切口白内障囊外摘除术中后囊膜破裂一期植入前房型人工晶状体与后房型人工晶状体的疗效比较,"杨钊, 黎海平",2017,01,07,https://zhykyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16024
16025,睡眠影响青光眼的发生与发展的研究现状,"李新星, 李进容, 刘苏",2017,01,07,https://zhykyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16025
16026,抗血管内皮生长因子疗法在眼科中的应用,齐慧君,2017,02,07,https://zhykyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16026
16027,七叶洋地黄双苷滴眼液治疗视频终端性儿童异常瞬目症的临床研究,"张爱慧, 商卫卫, 宋婧婧, 郭娟",2017,02,07,https://zhykyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16027
16028,两种角膜屈光手术方式治疗高度近视眼的疗效观察,"周迎霞, 贺瑞, 王芳芳",2017,02,07,https://zhykyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16028
16029,缬沙坦抑制糖尿病大鼠视网膜内皮素－1表达的实验研究,"陈晓隆, 李芳",2017,02,07,https://zhykyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16029
16030,复方樟柳碱颞浅动脉旁皮下注射联合丹红离子导入治疗眼睑痉挛合并干眼的临床疗效,"朱彦霞, 姜士军, 蒋燕玲, 李学民",2017,02,07,https://zhykyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16030
16031,完全型先天性静止性夜盲一例,"侯金佟, 马红婕, 张静琳, 梁炯基, 高汝龙, 林晓梅, 吴德正",2017,02,07,https://zhykyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16031
16032,自体穿透性角膜移植术治疗角膜内皮功能失代偿一例,"徐玲娟, 李贵刚, 周雄武, 李木",2017,02,07,https://zhykyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16032
16033,汉族与其他民族眼部生物学参数对比研究的现状,"高楠楠, 辛柳青, 云丽霞, 胡丽兴",2017,02,07,https://zhykyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16033
16034,重视飞秒激光辅助白内障手术的新认识,"姚克, 鱼音慧",2017,03,07,https://zhykyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16034
16035,糖尿病视网膜病变与患者血清丝氨酸蛋白酶抑制剂、胰岛素抵抗及糖脂代谢相关性的研究,"程金涛, 李曼, 张庆芬, 涂云海",2017,03,07,https://zhykyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16035
16036,泪道探通术在小儿先天性泪道阻塞治疗中的临床价值研究,"丁慧芬, 焦彩云, 张丽萍",2017,03,07,https://zhykyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16036
16037,中西药联合治疗流行性角结膜炎临床治疗效果的Meta分析,"贺莉, 喻京生",2017,03,07,https://zhykyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16037
16038,飞秒激光辅助准分子激光原位角膜磨镶术治疗超高度近视眼的疗效观察,"周迎霞, 王芳芳",2017,03,07,https://zhykyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16038
16039,青年性原发性眼内淋巴瘤一例,"吕永川, 陶勇",2017,03,07,https://zhykyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16039
16040,视网膜母细胞瘤临床组织病理学高危因素及其特征的研究进展,"毛英, 白海霞, 李彬",2017,03,07,https://zhykyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16040
16041,动眼神经麻痹的定位诊断及治疗进展,"张阳, 李俊红",2017,03,07,https://zhykyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16041
16042,重视前房角镜检查在青光眼临床工作中的应用,"吕爱国, 李爱林, 范肃洁",2017,04,07,https://zhykyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16042
16043,超声乳化白内障吸除联合人工晶状体植入术后眼前节参数变化与屈光漂移的相关性分析,"韦微, 左慧懿, 谭少健",2017,04,07,https://zhykyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16043
16044,高分子量脂联素、肿瘤坏死因子－α及血管内皮生长因子与糖尿病性视网膜病变的关系研究,"闫配, 张莉, 张晓红, 张彦坤",2017,04,07,https://zhykyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16044
16045,眼周轮匝肌联合皱眉肌、降眉肌及额肌注射A型肉毒毒素治疗良性特发性眼睑痉挛的疗效观察,"李婷, 银丽",2017,04,07,https://zhykyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16045
16046,小梁切除联合生物羊膜移植术在青光眼滤过性手术中的应用研究,"唐建明, 陆豪, 忽俊, 朱蓓菁, 熊毅, 钱锦",2017,04,07,https://zhykyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16046
16047,内界膜剥除术在糖尿病性黄斑水肿中的应用进展,"孙艺梦, 马凯",2017,04,07,https://zhykyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16047
16048,角膜碱性烧伤药物治疗的现状与研究进展,"王健, 解正高, 杜伟",2017,04,07,https://zhykyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16048
16049,重视原发性开角型青光眼Schlemm管相关手术降眼压机制的研究,"张虹, 王军明",2017,05,07,https://zhykyxzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16049
