article_id,title,author,issue_url,pdf_url
10.1186/s41016-025-00400-y,"One-stage hybrid operation for hypervascular central nervous system tumors: a single-center
                     experience of 31 cases","Mingze Wang,Zhikang Zhao,Shuo Wang,Yong Cao,Jizong Zhao",https://mednexus.org/toc/cnj/11/03,https://mednexus.org/doi/pdf/10.1186/s41016-025-00400-y?download=true
10.1186/s41016-025-00406-6,"A comparative study of a novel absorbable cranial flap fixation system and Aesculap
                     CranioFix","Chubei Teng,Hong Liang,Qi Yang,Yuan Fang,Zhihong Jian,Jianbai Yu,Gang Luo,Xiaoqin Han,Junjun Du,Siyi Wanggou,Xuejun Li",https://mednexus.org/toc/cnj/11/03,https://mednexus.org/doi/pdf/10.1186/s41016-025-00406-6?download=true
10.1186/s41016-025-00397-4,EEA for sellar chodrosarcomas: case series with literature review,"GuoFo Ma,Ning Qiao,Wentao Wu,BoChao Zhang,Kefan Cai,SongBai Gui",https://mednexus.org/toc/cnj/11/03,https://mednexus.org/doi/pdf/10.1186/s41016-025-00397-4?download=true
10.1186/s41016-025-00402-w,Dynamic nomogram for predicting long-term survival in patients with brain abscess,"Thara Tunthanathip,Rakkrit Duangsoithong,Waranyu Kittirojkasem,Akira Pongweat,Rattiyaphon Khongthep,Benchamat Sutchai,Assama Tohyunuh",https://mednexus.org/toc/cnj/11/03,https://mednexus.org/doi/pdf/10.1186/s41016-025-00402-w?download=true
10.1186/s41016-025-00405-7,"Exploring deep learning and hybrid approaches in molecular subgrouping and prognostic-related
                     genetic signatures of medulloblastoma","Yanong Li,Hailong Liu,Yawei Liu,Jane Li,Hiro Hiromichi Suzuki,Yaou Liu,Jiang Tao,Xiaoguang Qiu",https://mednexus.org/toc/cnj/11/03,https://mednexus.org/doi/pdf/10.1186/s41016-025-00405-7?download=true
10.1186/s41016-025-00408-4,"Composition of carotid plaques differs between Chinese and US patients: a histology
                     study","Jingli Cao,Marina Ferguson,Jie Sun,Mi Shen,Randy Small,Daniel S. Hippe,Xihai Zhao,Dong Zhang,Hiroko Watase,Chun Yuan,Peiyi Gao,James Kevin DeMarco,Roberto F. Nicosia,Yajie Wang,Haowen Li,Zirui Li,Yi Wang,Ted Kohler,Thomas Hatsukami,Binbin Sui",https://mednexus.org/toc/cnj/11/03,https://mednexus.org/doi/pdf/10.1186/s41016-025-00408-4?download=true
10.1186/s41016-025-00407-5,"Identifying the role of aging-related genes in intracranial aneurysms through bioinformatics
                     analysis","Junlin Kang,Shilai Tian,Xiaofeng Xu,Gang Yang",https://mednexus.org/toc/cnj/11/03,https://mednexus.org/doi/pdf/10.1186/s41016-025-00407-5?download=true
10.1186/s41016-025-00403-9,Correct understanding of the definition and management strategies for refractory hydrocephalus,"Zhixiong Lin,Hua Feng,Wangming Zhang,Gelei Xiao,Jingyu Chen,Zhiqiang Liu",https://mednexus.org/toc/cnj/11/03,https://mednexus.org/doi/pdf/10.1186/s41016-025-00403-9?download=true
10.1186/s41016-025-00398-3,"Carotid endarterectomy and blood-brain barrier permeability in subjects with bilateral
                     carotid artery stenosis","Changyu Lu,Chenyu Zhu,Wenjie Li,Huan Zhu,Qihang Zhang,Tong Liu,Tongyu Yang,Yan Zhang",https://mednexus.org/toc/cnj/11/02,https://mednexus.org/doi/pdf/10.1186/s41016-025-00398-3?download=true
10.1186/s41016-025-00391-w,"Chemoradiation treatment with or without concurrent tumor-treating fields (TTFields)
                     therapy in newly diagnosed glioblastoma (GBM) patients in China","Liping Liang,Lingchao Chen,Chunxia Ni,Wenyin Shi,Zhirui Zhou,Shu Chen,Wenjia Zhu,Jiabing Liu,Xianxin Qiu,Wanzun Lin,Junyan Zhang,Zhiyong Qin,Yang Wang",https://mednexus.org/toc/cnj/11/02,https://mednexus.org/doi/pdf/10.1186/s41016-025-00391-w?download=true
10.1186/s41016-025-00392-9,"The utility of stereotactic biopsy of intracranial lesions in the diagnosis of leukemia
                     complicated by central nervous system lesions","Xiaolong Wu,Yiqiang Zhou,Leiming Wang,Feng Yan,Huaqiang Zhang,Xiaotong Fan,Penghu Wei,Yongzhi Shan,Yaming Wang",https://mednexus.org/toc/cnj/11/02,https://mednexus.org/doi/pdf/10.1186/s41016-025-00392-9?download=true
10.1186/s41016-025-00395-6,"The role of FAM111B in the malignant progression and molecular regulation of human
                     glioma through the PI3K/Akt pathway","Heng Wang,Junrou Zhu,Haiyang Wang,Wenhao Zheng,Linjie Wang,Jinhao Zhu,Zheng Wang,Quan Du",https://mednexus.org/toc/cnj/11/02,https://mednexus.org/doi/pdf/10.1186/s41016-025-00395-6?download=true
10.1186/s41016-025-00399-2,Artificial Intelligence in Glioblastoma—Transforming Diagnosis and Treatment,"Alen Rončević,Nenad Koruga,Anamarija Soldo Koruga,Robert Rončević",https://mednexus.org/toc/cnj/11/02,https://mednexus.org/doi/pdf/10.1186/s41016-025-00399-2?download=true
10.1186/s41016-025-00394-7,"Treatment strategies for unruptured intracranial aneurysms in the Chinese population:
                     China Treatment Trial for Unruptured Intracranial Aneurysm (ChTUIA)","Kaige Zheng,Zheng Wen,Kaiwen Wang,Shaohua Mo,Jun Wu,Xiaolin Chen,Bing Zhao,Qingyuan Liu,Shuo Wang",https://mednexus.org/toc/cnj/11/02,https://mednexus.org/doi/pdf/10.1186/s41016-025-00394-7?download=true
10.1186/s41016-025-00396-5,"Clinical characteristics and prognosis of acute stroke in pregnancy and puerperium
                     (ASPP) patients and their offspring: a retrospective, observational, nationwide, multicenter
                     study protocol","Zhongji Zhang,Zihan Yin,Tong Liu,Xiaolin Zhang,Qihang Zhang,Junlin Lu,Long Mu,Yang Dong,Juning Liu,Yi Xiao,Yanming Chen,Chenyang Song,Zengguang Wang,Yuheng Liu,Wei Ding,Li Zhang,Huaizhang Shi,Jingtao Qi,Bin Tang,Fei Wang,Pin Guo,Yongjun Tang,…See all authors",https://mednexus.org/toc/cnj/11/02,https://mednexus.org/doi/pdf/10.1186/s41016-025-00396-5?download=true
10.1186/s41016-025-00393-8,"Exploring conservative avenues in subacute subdural hematoma: the potential role of
                     atorvastatin and dexamethasone as lifesaving allies","Tao Liu,Chenrui Wu,Weiwei Jiang,Mingqi Liu,Zhuang Sha,Rongcai Jiang",https://mednexus.org/toc/cnj/11/02,https://mednexus.org/doi/pdf/10.1186/s41016-025-00393-8?download=true
10.1186/s41016-025-00390-x,"Preliminary outcomes of Neuroform Atlas stent-assisted coiling for intracranial aneurysms
                     with small parent vessels","Jingrui Xiao,Tianli Li,Dongdong Wan,Qidi Zhou,Xiaolong Zhao,Zhaolong Zhang,Yixing Xie,Liming Shao,Guoping Liu,Chengjian Sun,Rui Xu",https://mednexus.org/toc/cnj/11/01,https://mednexus.org/doi/pdf/10.1186/s41016-025-00390-x?download=true
10.1186/s41016-024-00372-5,"The hybrid operation based on microsurgery assisted by intraoperative spinal angiography
                     in patients with spinal dural arteriovenous fistula: a series of 45 cases from multicenter
                     research","Xiaorong Sun,Li Yu,Wenqing Jia,Wei Dai",https://mednexus.org/toc/cnj/11/01,https://mednexus.org/doi/pdf/10.1186/s41016-024-00372-5?download=true
10.1186/s41016-024-00384-1,"Extubation timing and risk of extubation failure in aneurysmal subarachnoid hemorrhage
                     patients","Jun Yang,Junlin Lu,Runting Li,Fa Lin,Yu Chen,Heze Han,Ruinan Li,Zhipeng Li,Haibin Zhang,Kexin Yuan,Hongliang Li,Linlin Zhang,Guangzhi Shi,Shuo Wang,Xiaolin Chen",https://mednexus.org/toc/cnj/11/01,https://mednexus.org/doi/pdf/10.1186/s41016-024-00384-1?download=true
10.1186/s41016-024-00385-0,"Emergency neurosurgical hybrid operating platform for acute intracranial hemorrhage
                     (E-HOPE)","Mingze Wang,Peicong Ge,Yuming Jiao,Xiaofeng Deng,Songlin Yu,Yuha Jiang,Zhi Li,Tao Wang,Hongwei He,Youxiang Li,Xiaolin Chen,Shuo Wang,Yong Cao",https://mednexus.org/toc/cnj/11/01,https://mednexus.org/doi/pdf/10.1186/s41016-024-00385-0?download=true
10.1186/s41016-025-00389-4,"Giant and irregular pituitary neuroendocrine tumors surgery: comparison of simultaneous
                     combined endoscopic endonasal and transcranial and purely endoscopic endonasal surgery
                     at a single center","Jun Fu,Wenwei Luo,Chunlin Zhang,Zhicheng Wang,Wenjian Fan,Yuanxiang Lin,Dezhi Kang,Jianping Song,Changzhen Jiang,Xiaorong Yan",https://mednexus.org/toc/cnj/11/01,https://mednexus.org/doi/pdf/10.1186/s41016-025-00389-4?download=true
10.1186/s41016-025-00388-5,"Addressing the deficit in chronic traumatic encephalopathy research in Africa: a call
                     for urgent attention","Abdulbasit Opeyemi Muili,Kehinde Alare,Oluwapelumi Samuel Solagbade,Piel Panther Kuol",https://mednexus.org/toc/cnj/11/01,https://mednexus.org/doi/pdf/10.1186/s41016-025-00388-5?download=true
10.1186/s41016-024-00386-z,"Nonadjustable state of programmable shunt valve: obstruction of middle cranial fossa
                     arachnoid cyst-peritoneal shunt","Hongbin Cao,Genrui Guo,Wenjing Wu,Zhenghai Cheng",https://mednexus.org/toc/cnj/11/01,https://mednexus.org/doi/pdf/10.1186/s41016-024-00386-z?download=true
10.1186/s41016-025-00387-6,"Recurrence of chronic encapsulated hematoma following cyst formation after stereotactic
                     radiosurgery for brain arteriovenous malformations: a case report","Iñigo L. Sistiaga,Gregorio Catalán-Uribarrena,Silvia Gamba,Alejandro Carrasco,Laura Zaldumbide,Lorena Mosteiro,Iñigo Pomposo",https://mednexus.org/toc/cnj/11/01,https://mednexus.org/doi/pdf/10.1186/s41016-025-00387-6?download=true
10.1186/s41016-024-00377-0,"Factors associated with radiographic progression and neurologic decline in patients
                     with isolated traumatic subarachnoid hemorrhage","Kaushik Ravipati,Inamullah Khan,Wesley Chen,Ravi Nunna,Aaron Voshage,Sasidhar Karuparti,Ismail Ziu,Michael Ortiz",https://mednexus.org/toc/cnj/10/04,https://mednexus.org/doi/pdf/10.1186/s41016-024-00377-0?download=true
10.1186/s41016-023-00316-5,"Intracranial peak pressure as a predictor for perioperative mortality after spontaneous
                     intracerebral hemorrhage evacuation and decompressive craniectomy","Zhong Wang,Ruijian Zhang,Zhitong Han,Yisong Zhang,Junqing Wang,Bo Wang,Baiyu Liu,Weiran Yang",https://mednexus.org/toc/cnj/10/04,https://mednexus.org/doi/pdf/10.1186/s41016-023-00316-5?download=true
10.1186/s41016-024-00381-4,"Comparison of ketorolac intravenous versus acetaminophen intravenous in treating headache
                     following head trauma: a semi-experimental study","Behzad Zohrevandi,Marjan Hosseinnia,Niloufar Balikshahi,Masoud Jobaneh,Ehsan Kazemnezhad Leili,Naema Khodadadi-Hassankiadeh",https://mednexus.org/toc/cnj/10/04,https://mednexus.org/doi/pdf/10.1186/s41016-024-00381-4?download=true
10.1186/s41016-024-00378-z,"Dynamic plain abdominal film provides simple and effective diagnosis of delayed shunt
                     insufficiency caused by abdominal adhesions after VP shunt","Zhiqiang Liu,Jintao Chen,Chaoqun Weng,Bei Liu,Zhixiong Lin",https://mednexus.org/toc/cnj/10/04,https://mednexus.org/doi/pdf/10.1186/s41016-024-00378-z?download=true
