article_id,title,author,year,issue,volume,pdf_url
16104,离体肝切除自体肝移植术治疗终末期肝泡型包虫病临床研究,"马海林, 范晓棠, 石绣江, 何方平",2017,01,11,https://zhyzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16104
16105,心脏死亡器官捐献肾移植两种免疫诱导方案疗效比较,"马枭雄, 周江桥, 邱涛, 陈忠宝",2017,01,11,https://zhyzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16105
16106,亲属活体供肾小肾癌切除后肾移植一例并文献复习,"王继纳, 郑龙, 贾亦臣, 戚贵生, 许明, 戎瑞明, 朱同玉",2017,01,11,https://zhyzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16106
16107,肾移植术后一年贫血危险因素分析,"李明霞, 叶啟发, 彭贵主",2017,01,11,https://zhyzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16107
16108,原位心脏移植63例临床经验,"刘天起, 王东, 厉泉, 李培杰, 毕严斌, 李敏, 许莉, 于建民, 陈善良, 王勇",2017,01,11,https://zhyzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16108
16109,心脏移植长期存活受者免疫抑制治疗经验总结,"田海, 陈巍, 谢宝栋, 蒋树林, 姚志发, 夏求明",2017,01,11,https://zhyzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16109
16110,心脏死亡器官捐献供者器官功能维护108例经验总结,"许传屾, 李志强, 郭源, 范宁, 王淑贤, 王新, 王建红, 付晓悦, 关鸽, 吴晓冬, 臧运金",2017,01,11,https://zhyzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16110
16111,中国心脏死亡器官捐献工作发展及影响因素：单中心经验,"赵纪强, 霍枫, 李鹏, 汪邵平, 郑于剑, 李昊",2017,01,11,https://zhyzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16111
16112,运用心理咨询理论与技能提高器官捐献成功率,"叶小舟, 余毅震, 蒋继贫",2017,01,11,https://zhyzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16112
16113,慢性粒细胞性白血病异基因造血干细胞移植后肺伪巴西奴卡菌感染一例,"沈晓玲, 黎清, 刘梅, 刘文宾, 吴迪炯, 胡慧瑾, 俞庆宏, 沈一平, 周郁鸿, 叶宝东",2017,01,11,https://zhyzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16113
16114,他克莫司致移植后糖尿病发病机制的研究和治疗进展,"李璐, 陈慧真, 梁星光, 伍亚红, 杨升华, 黄玉洁, 黄明珠",2017,01,11,https://zhyzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16114
16115,神经纤毛蛋白1在移植免疫耐受中的作用,"张大伟, 蔡明, 武康",2017,01,11,https://zhyzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16115
16116,C4d和供者特异性抗体检测在肾移植抗体介导排斥反应中的应用研究进展,"侯鹏, 季曙明",2017,01,11,https://zhyzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16116
16117,肺移植后闭塞性细支气管炎动物模型,"徐凯英, 王思桦, 王建军",2017,01,11,https://zhyzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16117
16118,中国实体器官移植受者BK病毒感染临床诊疗指南(2016版),"中华医学会器官移植学分会, 中国医师协会器官移植医师分会",2017,02,11,https://zhyzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=16118
