article_id,title,author,year,issue,volume,pdf_url
8867,不同历史阶段老年骨科治疗方式的回顾与展望,张英泽,2018,01,04,https://zhlngkykfdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8867
8868,唑来膦酸抑制RAW264.7细胞系分化的最佳浓度体外实验,"张禄锴, 马剑雄, 赵杰, 匡明杰, 卢斌, 王颖, 孙磊, 马信龙",2018,01,04,https://zhlngkykfdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8868
8869,血清OPG、TGF-β和IL-6水平对绝经后骨量减少合并2型糖尿病患者骨折风险的预测,"鲍晓雪, 王娜, 李玉坤, 王燕, 薛鹏",2018,01,04,https://zhlngkykfdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8869
8870,肺癌脊柱转移瘤的手术疗效分析,"陆惠根, 黄鑫, 张中伟, 叶招明",2018,01,04,https://zhlngkykfdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8870
8871,来那度胺联合小剂量地塞米松治疗老年多发性骨髓瘤患者的安全性观察,"汤然, 钟玉萍, 张佳佳, 李新, 安娜, 申曼",2018,01,04,https://zhlngkykfdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8871
8872,老年髋部骨折围术期心力衰竭的危险因素分析,"宋婷婷, 王新民, 毕希乐, 国强华, 贾红丹, 崔蕊, 刘丽",2018,01,04,https://zhlngkykfdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8872
8873,左西孟旦治疗围手术期老年髋部骨折合并心衰患者的疗效研究,"郝亚逢, 李远, 王治乾, 纪文永, 王旭东",2018,01,04,https://zhlngkykfdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8873
8874,关节镜治疗老年膝关节骨关节炎合并腘窝囊肿的疗效分析,"张洪涛, 朱鹤飞, 梅继文, 郭志刚",2018,01,04,https://zhlngkykfdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8874
8875,中国中西部地区2010至2011年60岁以上股骨颈骨折流行病学对比,"李佳, 刘勃, 刘松, 于沂阳, 邵佳申, 朱燕宾, 张英泽",2018,01,04,https://zhlngkykfdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8875
8876,中国华北和华东地区2010至2011年老年股骨转子间骨折流行病学对比分析,"刘松, 李佳, 李石伦, 陈伟, 朱燕宾, 张飞, 李彦森, 张英泽",2018,01,04,https://zhlngkykfdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8876
8877,老年骨质疏松性骨折的康复治疗,"冯宪煊, 施慧鹏, 白跃宏",2018,01,04,https://zhlngkykfdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8877
8878,骨转换标志物在骨质疏松诊治中的分析评价及临床应用前景,"马晓龙, 刘强, 吴斗, 郑上团",2018,01,04,https://zhlngkykfdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8878
8879,MicroRNA与细胞自噬调控,"刘勃, 陈忠斌, 张立海, 唐佩福",2018,01,04,https://zhlngkykfdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8879
8880,老年骨科患者血栓预防的研究现状,"杨雄刚, 胡永成, 赵立明",2018,02,04,https://zhlngkykfdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8880
8881,床旁超声在股骨颈骨折患者围手术期下肢深静脉血栓筛查中的作用,"姚尧, 乔梁, 王业贤, 邱君斓, 蒋智明, 沈祎, 朱澄妍, 陈东阳, 徐志宏, 史冬泉, 戴进, 张炜炜, 蒋青",2018,02,04,https://zhlngkykfdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8881
8882,老年股骨颈骨折全髋关节置换术围手术期下肢深静脉血栓形成的特点,"楚翔宇, 程文俊, 王俊文, 左伟, 焦竞, 勘武生",2018,02,04,https://zhlngkykfdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8882
8883,多模式预防措施对老年关节置换术后静脉血栓栓塞症发生及转归的影响,"黄子达, 张子杰, 李文波, 胡德庆, 林金銮, 张文明",2018,02,04,https://zhlngkykfdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8883
8884,低分子肝素钙治疗老年创伤后急性深静脉血栓的临床应用,"陈宾, 林凤飞, 林朝晖, 郑科, 林盈",2018,02,04,https://zhlngkykfdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8884
8885,恶性肿瘤患者髋部骨折围术期血栓事件的对照研究,"孙效棠, 王万明, 王辉, 吕琦, 张志宏",2018,02,04,https://zhlngkykfdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8885
8886,基于三维重建技术的国人肩关节盂三维形态学测量与研究,"董航, 沈先月, 李昊轩, 乔月, 陈尚钧, 杨育晖, 高忠礼",2018,02,04,https://zhlngkykfdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8886
8887,国人膝骨关节炎患者关节线不均匀沉降的影像学测量及影响因素分析,"吴海贺, 左建林, 李钊, 杨育晖, 刘潼, 高忠礼",2018,02,04,https://zhlngkykfdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8887
8888,阿司匹林预防全髋或全膝置换术后深静脉血栓形成的循证医学进展,"应志敏, 严世贵",2018,02,04,https://zhlngkykfdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8888
8889,双膦酸盐治疗股骨非典型性骨折的研究进展,"邢浩, 刘强, 吴斗, 郜振武, 梁伟, 苏雅珍, 耿亚会",2018,02,04,https://zhlngkykfdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8889
8890,老年人工全髋关节置换术后康复治疗的研究进展,"白金, 许可可, 赵树华, 苑家敏, 徐沛沛",2018,02,04,https://zhlngkykfdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8890
8891,膝关节骨关节炎的创新疗法—腓骨近端截骨术,王坤正,2018,03,04,https://zhlngkykfdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8891
8892,个体化围手术期方案在高龄股骨转子间骨折治疗中的应用,"张晟, 余斌",2018,03,04,https://zhlngkykfdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=8892
