article_id,title,author,year,issue,volume,pdf_url
35178,肠道微生物与糖尿病手术治疗相关性的研究进展,"闫鸣, 白日星, 闫文茂, 宋茂民",2015,01,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35178
35179,重视2型糖尿病患者行减肥术后的随访与治疗,"张频, 狄建忠, 张弘玮",2015,01,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35179
35180,腹腔镜Roux-en-Y 胃旁路术治疗2 型糖尿病的疗效分析,"刘昶, 杨凯, 纪艳超, 王东",2015,01,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35180
35181,社会经济及个体因素对中国患者接受减肥手术程度的影响,"梁辉, 管蔚, 曹庆, 刘欢, 吴鸿浩",2015,01,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35181
35182,袖状胃切除联合十二指肠-空肠转流术在非肥胖型2 型糖尿病中的应用价值,"殷骏, 毛忠琦, 徐露, 朱政, 陈昕, 周晓俊, 钱海鑫",2015,01,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35182
35183,袖状胃切除术作为胃束带术失败后修正手术的临床研究,"董光龙, 刘兢文, 菅雁兵, 郭玉霖, 徐晓, 杜锦, 冯杰, 薛长勇, 季刚",2015,01,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35183
35184,腹腔镜袖状胃切除术治疗单纯性肥胖症的短期疗效观察,"方登华, 李滢旭, 余雄武, 杨浩雷, 刘天锡",2015,01,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35184
35185,腹腔镜Roux-en-Y 胃旁路术在治疗2 型糖尿病及相关合并症中的应用价值,"高羽, 陈静, 童卫东, 李春穴, 李凡, 孙芳, 周训美, 阎振成, 祝之明",2015,01,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35185
35186,腹腔镜胃旁路术后肥胖型2 型糖尿病患者血清脂联素水平的变化,"韩辉, 范国聚, 高宏凯, 杨晓莉, 郭静, 邹德勇, 张丽萍, 张野",2015,01,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35186
35187,减肥手术治疗代谢综合征的机制：胃中心假说,朱江帆,2015,01,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35187
35188,腹腔镜胃折叠减肥术,"季赟, 王跃东",2015,01,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35188
35189,减重代谢手术治疗阻塞性睡眠呼吸暂停低通气综合征的焦点问题,"杨珵璨, 顾岩, 王兵, 卢晓峰, 朱敏",2015,01,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35189
35190,肥胖症患者全身麻醉的围手术期呼吸管理研究进展,"张良, 姚维正, 李威杰",2015,01,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35190
35191,减肥手术中Bougie 管导致食道破裂的原因分析及对策,"杨建军, 朱晓强, 宋志成, 顾岩",2015,01,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35191
35192,中国代谢外科简史与展望,"郑成竹, 丁丹",2015,02,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35192
35193,减肥手术围手术期管理策略,"王存川, 黄勇",2015,02,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35193
35194,以并发症为中心看待减肥手术的全局管理模式,高宏凯,2015,02,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35194
35195,腹腔镜Roux-en-Y 胃旁路术治疗2 型糖尿病的疗效及指标相关性分析,"朱利勇, 李鹏洲, 赵磊, 杨湘武, 李伟正, 刘升平, 朱晒红",2015,02,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35195
35196,腹腔镜胃旁路术与袖状胃切除术治疗单纯性肥胖症的对比研究,"张光辉, 张进峰, 周宏建, 张春明",2015,02,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35196
35197,代谢手术对肥胖伴或不伴2 型糖尿病的疗效分析,"施晨晔, 常薪霞, 颜红梅, 卞华, 周荻, 楼文晖, 秦新裕, 高鑫, 吴海福",2015,02,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35197
35198,LRYGB 和LSG 治疗T2DM 的疗效及对GLP-1 和Ghrelin 水平的影响,"林懋全, 王存川, 杨景哥, 张艺超",2015,02,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35198
35199,胃旁路术治疗2 型糖尿病的疗效分析,"段君英, 王玉林, 林宝行",2015,02,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35199
35200,减肥手术在儿童及青少年中的应用进展,"关炳生, 王存川",2015,02,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35200
35201,肠道微生态与减肥手术,"孙晓东, 吴嘉",2015,02,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35201
35202,肠道微生物与减肥手术治疗肥胖症和2 型糖尿病相关性的研究进展,"章雄, 王廷峰, 张鹏",2015,02,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35202
35203,减肥手术后全身整形术的研究进展,"黄俊豪, 肖丽玲",2015,02,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35203
35204,腹腔镜胃旁路术治疗2 型糖尿病的疗效与手术治疗要点,"杜潇, 程中",2015,02,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35204
35205,腹腔镜袖状胃切除术后反复剧烈恶心、呕吐一例,"高志光, 王存川, 周湘茂, 李诚",2015,02,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35205
35206,精准腹腔镜袖状胃旁路术治疗肥胖合并2 型糖尿病一例,"王存川, 李诚, 杨景哥, 杨华, 曹国, 黄勇, 周湘茂, 王华曦",2015,02,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35206
35207,双管齐下：肥胖型2 型糖尿病的内科治疗进展,李延兵,2015,03,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35207
35208,腹腔镜袖状胃切除术在减肥手术中的应用,"孙世波, 陈晓宁",2015,03,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35208
35209,容量控制通气模式和压力控制通气模式对病态肥胖症患者循环功能的影响,"邹启荣, 李佳阳, 彭雪梅",2015,03,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35209
35210,腹腔镜Roux-en-Y 胃旁路术治疗肥胖型2 型糖尿病的三年随访研究,"张涛涛, 张向文, 梁怀祝, 赵国华",2015,03,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35210
35211,腹腔镜胃束带联合胃折叠术后一年随访研究,"李东玲, 陈小燕, 黄炯强, 闫凤, 崔立谦, 雷建, 陈远光, 黄致锟",2015,03,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35211
35401,腹腔镜Roux-en-Y 胃旁路术在治疗2 型糖尿病中的应用价值,"何辉, 李开春, 李浩然, 金实, 董擂, 程雷, 李克军",2015,03,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35401
35212,精准腹腔镜Roux-en-Y 胃旁路术治疗肥胖型2 型糖尿病的临床应用价值,"赵象文, 关凯林, 华伟, 韩月峰, 马育林, 梁国仲",2015,03,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35212
35402,超重对成年女性性功能的影响,"蒋冰蕾, 朱平宇, 陈小彬, 任亦星",2015,03,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35402
35213,重视肥胖与代谢病外科的卫生经济学管理,"杨建军, 王兵, 顾岩",2015,03,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35213
35214,内镜下减肥手术的研究进展,"关炳生, 王存川",2015,03,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35214
35215,胃收缩力调节器治疗2 型糖尿病的研究进展,"秦晓光, 白日星, 宋茂民, 闫文貌, 汪鑫",2015,03,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35215
35216,N-3 多不饱和脂肪酸治疗持续性炎症-免疫抑制分解代谢综合征,"边忠政, 张建立",2015,03,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35216
35217,减肥手术在结直肠肿瘤中的研究进展,"林伟达, 骆衍新",2015,03,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35217
35218,减肥手术在合并早期恶性肿瘤的肥胖症患者中的应用进展,"李诚, 王存川",2015,03,01,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35218
35151,精准肥胖外科,"王存川, 董志勇",2016,01,02,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35151
35152,减肥手术的研究进展,"徐田磊, 秦超, 白日星",2016,01,02,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35152
35153,多学科诊疗模式在代谢手术中的应用价值,"褚薛慧, 单晓东, 邱晨, 邓玲, 孙喜太",2016,01,02,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35153
35154,腹腔镜袖状胃切除术在治疗病态肥胖症中的应用价值,"康建省, 李涛, 马利锋, 张立超, 刘金鸽",2016,01,02,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35154
35155,腹腔镜Roux-en-Y胃旁路术在治疗2型糖尿病中的应用价值,"张春明, 张光辉",2016,01,02,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35155
35156,腹腔镜Roux-en-Y胃旁路术在治疗肥胖型2型糖尿病中的应用价值,"陈宏, 雒洪志, 周小雕, 余元龙, 梁义, 王存川",2016,01,02,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35156
35157,加速康复外科在腹腔镜减肥手术中的初步应用体会,"李滢旭, 方登华, 杨浩雷, 刘天锡, 皇甫秀春",2016,01,02,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35157
35158,澳门地区中老年人骨质疏松情况调查分析,"郑力恒, 谭文成, 张锦辉, 吴昊, 刘宁, 查振刚",2016,01,02,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35158
35159,加速康复外科理念在肥胖与代谢病外科的应用,"杨华, 张俊昌, 杨景哥, 王存川",2016,01,02,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35159
35160,肥胖与代谢病外科的个案管理服务,"余淑卿, 杨华, 高丽莲",2016,01,02,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35160
35161,肥胖症的精神药物和心理治疗研究进展,"林玉芳, 廖继武, 黄俏庭, 潘集阳",2016,01,02,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35161
35162,肥胖症与男性不育症相关性的研究进展,"何肖, 胡雷, 陈栋",2016,01,02,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35162
35163,达芬奇机器人手术系统辅助Roux-en-Y胃旁路术治疗2型糖尿病一例（附视频）,"刘升平, 朱利勇, 李鹏洲, 邱先杰, 易波, 莫朝晖, 朱晒红",2016,01,02,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35163
35164,双能CT诊断不典型痛风二例,"李朝霞, 吴会霞, 任洁, 朱丽花, 周毅",2016,01,02,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35164
35165,肥胖症与2型糖尿病的基础研究进展——基于减重手术的探讨,"黄鑫, 刘少壮, 张光永, 胡三元",2016,02,02,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35165
35166,基因测序技术在代谢外科治疗中的应用进展,"孙许龙, 李鹏洲, 杨湘武, 李伟正, 朱晒红",2016,02,02,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35166
35167,代谢手术治疗男性勃起功能障碍的研究进展,"陈亿, 袁祥, 程中",2016,02,02,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35167
35168,代谢手术的营养相关问题,"李子建, 李海龙, 陈伟",2016,02,02,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35168
35169,胃肠道钠-葡萄糖共转运体1可能介导代谢减重手术改善血糖,"朱恒梁, 蒋飞照",2016,02,02,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35169
35170,腹腔镜Roux-en-Y胃旁路术在治疗肥胖症合并非酒精性脂肪肝中的应用价值,"褚薛慧, 邱晨, 单晓东, 邓玲, 孙喜太",2016,02,02,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35170
35171,腹腔镜Roux-en-Y胃旁路术在改善肥胖症患者生活质量中的应用价值,"伍方旭, 陈茜, 陈伟, 张晶晶, 周智广, 刘威",2016,02,02,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35171
35172,HistCite软件在机器人减肥外科领域文献可视化分析中的应用价值,"张艺超, 王存川",2016,02,02,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35172
35173,减肥手术后面颈部重塑手术的研究进展,"吴燕云, 肖丽玲, 饶从强",2016,02,02,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35173
35174,代谢手术后营养评估与管理的研究进展,"宋京海, 赵刚, 韦军民",2016,02,02,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35174
35175,代谢手术对胰腺β细胞功能的影响,"苏胤杰, 张朝军",2016,02,02,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35175
35176,个体化专业减重管理模式在肥胖与代谢病外科质量控制中的应用价值,"杨宁琍, 梁辉, 管蔚, 汤娟, 林睿",2016,02,02,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35176
35177,延续护理服务在治疗老年骨质疏松症中的应用价值,"林爱仙, 赵文雅, 罗盛珍, 潘京华",2016,02,02,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35177
2408,代谢外科——学习、借鉴、协作、创新,,2016,03,02,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=2408
2409,美国代谢外科医师培训和资质认证,"张鹏, 沈晓韵",2016,03,02,https://zhfpydxbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=2409
