article_id,title,author,year,issue,volume,pdf_url
5335,肩锁关节脱位的治疗进展,"王博炜, 罗吉伟, 余斌",2018,01,06,https://zhjzwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=5335
5336,肘关节镜的临床应用进展,"陈宏, 潘佳栋, 阮健",2018,01,06,https://zhjzwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=5336
5337,同种异体骨移植在骨质疏松性肱骨近端骨折中的临床应用研究,"曹烈虎, 翁蔚宗, 陈晓, 周启荣, 张军, 汪琳, 王尧, 纪方, 苏佳灿",2018,01,06,https://zhjzwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=5337
5338,锁定钢板结合异体腓骨治疗头内翻型肱骨近端骨折,"张硕, 汪秋柯, 陈云丰, 王磊",2018,01,06,https://zhjzwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=5338
5339,肩肱距减小与肩袖损伤相关性的研究,"殷钦, 成欣, 李云龙, 从锐军, 陶坤",2018,01,06,https://zhjzwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=5339
5340,喙突钢板位置对应用Triple Endobutton技术治疗肩锁关节脱位疗效的影响,"陶振宇, 蔡乐益, 余贤斌, 胡炜, 陈华, 孙辽军",2018,01,06,https://zhjzwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=5340
5341,改良关节镜双袢法Latarjet术治疗严重骨缺损的复发性肩关节前脱位,"钟名金, 陆伟, 柳海峰, 朱伟民, 欧阳侃, 彭亮权, 李皓, 冯文哲, 陈康, 李瑛, 许鉴, 王大平",2018,01,06,https://zhjzwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=5341
5342,经典孔隙结构钛合金内置物在兔肱骨近端大结节处骨长入的初步组织学研究,"薛喆, 宋关阳, 李奉龙, 姜春岩",2018,01,06,https://zhjzwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=5342
5343,肩肘外科手术后并发上消化道出血的临床分析,"张媛媛, 刘心怡, 张黎明, 吴芸, 刘玉兰",2018,01,06,https://zhjzwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=5343
5344,美国肩肘外科治疗师协会：关于肩关节镜下肩袖修复术后康复共识声明,"张一翀, 陈建海",2018,01,06,https://zhjzwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=5344
5345,肩关节镜术后肺栓塞：一例报告及文献复习,"卢钰, 张俊, 解京明, 王超然",2018,01,06,https://zhjzwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=5345
5346,锁骨中段骨折的治疗选择,"孙伟桐, 查晔军, 蒋协远",2018,01,06,https://zhjzwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=5346
5347,肱骨近端骨质疏松对肩袖损伤修复影响的研究进展,"泮宸帅, 朱贤平, 滕晓, 丁凌志",2018,01,06,https://zhjzwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=5347
5348,肩关节不稳：前方软组织损伤,陈建海,2018,01,06,https://zhjzwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=5348
5349,肩上方悬吊复合体损伤之喙突,东靖明,2018,01,06,https://zhjzwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=5349
5350,重视骨折固定与骨内、外在因素的关系,"张殿英, 张晓萌, 郁凯, 赵晓涛",2018,02,06,https://zhjzwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=5350
5351,Ⅰ型孟氏骨折的诊断误区及临床治疗失误病例解析（续）,公茂琪,2018,02,06,https://zhjzwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=5351
5352,肩关节镜术中改良灌注方法的疗效分析,"黄晓虹, 刘佳, 王晓宁",2018,02,06,https://zhjzwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=5352
5353,关节镜下单排带线锚钉修补结合大结节骨髓刺激治疗大到巨大肩袖撕裂,"孙鲁宁, 束昊, 袁滨, 黄瑶, 刘锌",2018,02,06,https://zhjzwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=5353
5354,3D打印技术在肩关节骨性关节炎全肩关节置换术中的应用研究,"鲜爱明, 卢冰, 王跃, 刘攀",2018,02,06,https://zhjzwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=5354
5355,广泛松解联合铰链式外支架固定治疗复杂肘关节创伤术后僵硬的疗效分析,"吴加东, 卞化, 成兴海, 沈孝天, 王超, 孙焕建",2018,02,06,https://zhjzwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=5355
5356,联合带线锚钉功能重建锁骨远端Neer Ⅱb型骨折中喙锁韧带的意义,"王传宇, 史宗新, 于远洋, 孟祥财, 张辉, 刘建全",2018,02,06,https://zhjzwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=5356
5357,RockwoodⅢ型肩锁关节脱位保守治疗与自体腓骨长肌腱重建喙锁韧带治疗的疗效对比研究,"王宇辰, 朱昱, 陆叶, 买买提艾力·吐尔逊, 刘一飞, 汪秋柯, 陈云丰",2018,02,06,https://zhjzwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=5357
5358,尺骨冠状突前内侧面骨折伴肘关节外侧副韧带损伤的手术治疗,"胡晓川, 向明, 陈杭, 杨国勇, 李一平",2018,02,06,https://zhjzwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=5358
