article_id,title,author,year,issue,volume,pdf_url
36814,关于慢性肾脏病管理中的几个问题,"王海燕, 左力, 张路霞",2012,01,01,https://zhsbyjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36814
36815,关注肾素-血管紧张素系统研究进展改善肾脏病治疗,林善锬,2012,01,01,https://zhsbyjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36815
36816,血液透析历史解读与发展,钱家麒,2012,01,01,https://zhsbyjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36816
36817,中国腹膜透析现状与展望,"余学清, 阳晓",2012,01,01,https://zhsbyjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36817
36818,生物信息资源库建设的现状与未来,"王晓民, 张雷",2012,01,01,https://zhsbyjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36818
36819,关注动脉粥样硬化性肾动脉狭窄,李小鹰,2012,01,01,https://zhsbyjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36819
36820,糖尿病微血管并发症防治进展及展望,贾伟平,2012,01,01,https://zhsbyjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36820
36821,尿无创性标志物在IgA肾病患者中的应用价值,"高卓, 魏日胞, 吴杰, 列才华, 谢院生, 陈香美",2012,01,01,https://zhsbyjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36821
36822,Fabry病诊治进展,陈楠,2012,01,01,https://zhsbyjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36822
36823,microRNA调控慢性肾脏病小管间质纤维化研究进展,"文枫, 陈国纯, 刘伏友",2012,01,01,https://zhsbyjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36823
36824,黄色肉芽肿性肾盂肾炎一例,"曹雪莹, 周建辉, 王湛博, 陈香美",2012,01,01,https://zhsbyjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36824
36825,China and clinical research in international nephrology,Giuseppe Remuzzi Annalisa Perna,2012,02,01,https://zhsbyjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36825
36826,中国与国际肾脏病的临床研究,Giuseppe Remuzzi Annalisa Perna,2012,02,01,https://zhsbyjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36826
36827,严重感染与多器官功能障碍综合征,"邱海波, 黄英姿",2012,02,01,https://zhsbyjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36827
36828,多能性干细胞与再生医学,"周琪, 夏宝龙",2012,02,01,https://zhsbyjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36828
