article_id,title,author,year,issue,volume,pdf_url
14654,致《中华胃食管反流病电子杂志》创刊有感,汪忠镐,2014,01,01,https://zhwsgflbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14654
14636,胃食管反流病与食管裂孔疝外科临床研究现状与争议,"克力木·阿不都热依木, 张成, 汪忠镐",2014,01,01,https://zhwsgflbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14636
14637,腹腔镜食管裂孔疝诊断和治疗,"田文, 马冰",2014,01,01,https://zhwsgflbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14637
14638,腹腔镜食管裂孔疝修补及抗反流手术中需要探讨的一些技术问题,谭敏,2014,01,01,https://zhwsgflbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14638
14639,腹腔镜食管裂孔疝修补术和胃底折叠术的围手术期处理,"张成, 克力木·阿不都热依木, 王志",2014,01,01,https://zhwsgflbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14639
14640,贲门失驰缓症及滑动型食管裂孔疝患者食管多通道阻抗-压力测定分析,"曲玥, 叶京英",2014,01,01,https://zhwsgflbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14640
14641,单纯缝合和补片加固治疗食管裂孔疝的对比研究,"王斌, 张伟, 单成祥, 姜治国, 刘晟, 江道振, 郑向民, 仇明",2014,01,01,https://zhwsgflbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14641
14642,气腹与腹壁悬吊无气腹结合腹腔镜手术治疗滑动型食管裂孔疝17例疗效分析,"张葆勋, 伍冀湘, 蒋俭, 于涛, 于磊, 李建业",2014,01,01,https://zhwsgflbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14642
14643,食管动力和反流事件在OSAHS发病机制中意义,"张赛, 尤乐都斯",2014,01,01,https://zhwsgflbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14643
14644,腹腔镜技术在食管裂孔疝修补手术中的初步体会(附3例报告),"闵凯, 吴彪, 任俊, 曹峰瑜",2014,01,01,https://zhwsgflbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14644
14645,GerdQ量表在胃食管反流病诊断中的应用,"王志, 张成, 王俭, 克力木·阿不都热依木, 李慧玲, 尹兴瑞, 苏福增",2014,01,01,https://zhwsgflbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14645
14646,腹腔镜抗反流手术术后并发症的处理,"阿力木江·麦斯依提, 克力木·阿不都热依木, 张成, 阿扎提江, 王志",2014,01,01,https://zhwsgflbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14646
14647,食管裂孔疝与胃食管反流病,"高福生, 于涛, 刘宾, 伍冀湘, 李建业",2014,01,01,https://zhwsgflbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14647
14648,腹腔镜下治疗食管裂孔疝的进展,"刘正尼, 顾岩",2014,01,01,https://zhwsgflbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14648
14649,食管裂孔疝的诊疗现状,"陈富强, 申英末, 陈杰",2014,01,01,https://zhwsgflbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14649
14650,一种新型建立胃食管反流病的动物模型的方法：导尿管球囊扩张术,"王斌, 张伟, 刘晟, 宋鑫, 祝炜, 江道振, 仇明",2014,01,01,https://zhwsgflbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14650
14651,80岁以上食管裂孔疝患者临床特点及手术治疗要点,"张哲, 张璐, 王伦青, 胡波, 尹志伊, 周海舰, 杨铁南",2014,01,01,https://zhwsgflbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14651
14652,混合型食管裂孔疝的诊断与外科治疗,"高红雷, 孙作成, 徐文广, 徐慧民, 郑福昌, 许加友, 孙充兵, 周健, 王阳",2014,01,01,https://zhwsgflbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14652
14653,延续护理模式在腹腔镜抗反流术后出院患者中的应用,"王俭, 玛迪娜, 侯铭, 哈丽旦, 陈亚楠",2014,01,01,https://zhwsgflbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14653
14656,"""新疆少数民族特培胃食管反流病诊断治疗高级培训班""会议纪要",张成,2014,01,01,https://zhwsgflbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14656
14666,维吾尔族和汉族老年男性胃食管反流病分型及危险因素分析,"张玲, 蓓里·加帕尔, 王燕",2015,01,02,https://zhwsgflbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14666
14667,我国部分地区胃食管反流病患病率的Meta分析,"屈坤鹏, 成晓舟",2015,01,02,https://zhwsgflbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14667
14668,胃食管反流病诊断新进展,"郑仕诚, 邓巍, 郭洁, 陈建德",2015,01,02,https://zhwsgflbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14668
14669,胃食管连接部切除后的消化道重建方式,"王士祺, 尚琳, 赵青川, 张洪伟, 洪流, 杨建军, 孙力, 丰帆, 李孟彬",2015,01,02,https://zhwsgflbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14669
14670,胃食管反流病是否会引发心房纤颤,"林运, 张成, 克力木, 刘泰槰",2015,01,02,https://zhwsgflbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14670
14671,胃食管反流病合并吸入性肺炎20例临床分析并文献复习,"齐菲, 苏宪灵, 李玉柱",2015,01,02,https://zhwsgflbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14671
14672,基层医疗机构开展食管裂孔疝手术所面临的机遇及挑战,"吴建林, 葛宏, 杨小平, 刘志民",2015,01,02,https://zhwsgflbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14672
14673,基层医院腹腔镜食管裂孔疝修补术的应用探讨,"阿不来提, 肖国权",2015,01,02,https://zhwsgflbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14673
14674,应用护理路径对腹腔镜食管裂孔疝手术护理配合中的效果分析,"海燕, 张丽, 刘辉, 李韶玲",2015,01,02,https://zhwsgflbdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=14674
