article_id,title,author,year,issue,volume,pdf_url
15747,黄偶麟(1922—2005年),李志刚,2014,01,01,https://zhxbwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=15747
15748,多原发非小细胞肺癌的诊断与外科治疗进展,陈海泉,2014,01,01,https://zhxbwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=15748
15749,ⅠB期非小细胞肺癌不同亚组的预后研究,"梁明强, 朱勇, 郭朝晖, 郑炜, 陈椿",2014,01,01,https://zhxbwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=15749
15750,支气管内超声引导针吸活检术在非小细胞肺癌术前分期中的临床应用,"隋锡朝, 赵辉, 周足力, 李晓, 李剑锋, 李运, 姜冠潮, 王俊",2014,01,01,https://zhxbwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=15750
15751,横断胸骨扩大胸腺切除治疗全身型重症肌无力,"陈刚, 陈志明, 马勤运, 陈佶, 朱勇俊, 苗峰, 伍宁, 庞烈文",2014,01,01,https://zhxbwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=15751
15752,声门下喉气管良性狭窄的临床分型及外科治疗,"李志刚, 李强, 仲晨曦, 杨煜, 施建新, 赵珩, 方文涛",2014,01,01,https://zhxbwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=15752
15753,肺切除术后支气管胸膜瘘的外科治疗,"黄佳, 谭强, 林皓, 钱立强, 陆佩吉, 丁征平, 罗清泉",2014,01,01,https://zhxbwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=15753
15754,选择性三野淋巴结清扫术治疗胸段食管鳞癌的临床研究,"马可, 王祥, 肖文光, 韩泳涛, 彭林",2014,01,01,https://zhxbwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=15754
15755,食管癌术后再入重症监护病房患者的严重并发症特征分析,"杨玉赏, 彭俊, 王文凭, 胡杨, 王允, 陈龙奇",2014,01,01,https://zhxbwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=15755
15756,食管鳞癌组织中miR-148a的表达及其临床意义,"李树海, 田辉, 岳韦名, 李林, 高存, 司立博, 胡文思, 亓磊, 鲁铭, 崔京京, 陈观卿",2014,01,01,https://zhxbwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=15756
15757,不同气管插管方式在食管癌微创手术中通气效果比较,"吴镜湘, 邱郁薇, 朱宏伟, 徐美英",2014,01,01,https://zhxbwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=15757
15758,253例直径≤1cm的孤立性肺结节的胸腔镜诊治经验,"邱斌, 冯飞跃, 高树庚",2014,01,01,https://zhxbwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=15758
15759,喉罩辅助通气治疗高位气管多形性腺瘤一例,"谢冬, 陈昶, 武春燕, 谢惠康, 王海峰, 费苛, 姜格宁",2014,01,01,https://zhxbwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=15759
15760,双肺移植治疗Kartagener综合征一例,"毛文君, 陈静瑜, 郑明峰, 叶书高, 刘峰, 陈若, 何毅军, 陆荣国",2014,01,01,https://zhxbwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=15760
15761,一代宗师黄国俊教授,"赵峻, 毛友生, 高树庚",2015,01,02,https://zhxbwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=15761
15762,食管胃交界腺癌手术治疗共识与争议,于振涛,2015,01,02,https://zhxbwkdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=15762
