article_id,title,author,year,issue,volume,pdf_url
7715,颅内血肿微创清除技术与保守治疗高血压脑出血的临床疗效分析,"刘永生, 申明峰, 郭士琨",2014,02,08,https://zhnxgbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7715
7716,高血压脑出血血肿周围组织脑血流量的磁共振灌注成像研究,"严晓铭, 牛牧, 柯开富",2014,02,08,https://zhnxgbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7716
7717,小剂量糖皮质激素治疗脑出血迟发性脑水肿临床分析,林茵,2014,02,08,https://zhnxgbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7717
7718,全新健康教育模式在脑血管介入病房中的应用,"冯英璞, 张婧爽, 郭晓慧, 李天晓",2014,02,08,https://zhnxgbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7718
7719,脑血管药物不良反应与用药人群性别及年龄的关系,岳光兴,2014,02,08,https://zhnxgbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7719
7720,两种减影血管成像技术在脑血管成像中图像质量的对照研究,李金玉,2014,02,08,https://zhnxgbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7720
7721,采用3D-FIESTA+c影像分析脑神经及其病变,"宁殿秀, 苗延巍, 徐斌, 孙美玉, 唐乐梅, 吴春明",2014,02,08,https://zhnxgbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7721
7722,妊娠高血压综合征继发脑出血患者的手术室急救措施,周洁璐,2014,02,08,https://zhnxgbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7722
7723,DSA与Dyna-CT、MRI影像融合新技术在脑脊髓血管病中的应用,"马廉亭, 杨铭, 李俊, 潘力, 陈刚, 向伟楚, 李国栋, 乔英, 蔡明俊, 刘鹏, 盛柳青, 伍杰, 李欢欢, 秦杰, 赵曰圆",2014,02,08,https://zhnxgbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7723
7724,左锁骨下动脉支架术后再狭窄病例一例,"陶钧, 李克, 刘永晟, 王峰",2014,02,08,https://zhnxgbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7724
7725,心脑血管病危险因素和阿尔茨海默病关系研究进展,"乔晋, 陆文慧, 秦星",2014,02,08,https://zhnxgbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7725
7726,颅内动脉粥样硬化的高分辨MRI成像检查及临床应用,"隋滨滨, 高培毅, 马军",2014,02,08,https://zhnxgbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7726
7739,集思广益 开拓创新,乔杰,2020,01,14,https://zhnxgbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7739
7740,喜迎新纪，乐步锦程，不负韶华,樊东升,2020,01,14,https://zhnxgbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7740
7741,致《中华脑血管病杂志（电子版）》贺信,,2020,01,14,https://zhnxgbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=7741
18384,服务健康中国开拓国际视野,王陇德,2020,01,14,https://zhnxgbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=18384
18385,聚焦卒中把握前沿,韩济生,2020,01,14,https://zhnxgbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=18385
18386,记载脑血管病诊疗经验传承神经病学匠心底蕴,李春岩,2020,01,14,https://zhnxgbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=18386
18387,理论结合实际，提升脑血管病的诊治水平,赵继宗,2020,01,14,https://zhnxgbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=18387
