article_id,title,author,year,issue,volume,pdf_url
10834,结直肠癌腹腔镜手术并发症的防范与处理,"郑民华, 马君俊",2016,01,09,https://zhqjwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=10834
10835,"""黄氏三步法""在进展期胃中上部癌腹腔镜保脾脾门淋巴结清扫中的应用价值","黄昌明, 陈起跃, 黄泽宁",2016,01,09,https://zhqjwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=10835
10836,腹腔镜腹膜代阴道成形术的相关问题及处理策略,"郝敏, 赵卫红",2016,01,09,https://zhqjwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=10836
10837,消化道类癌三种内镜治疗方法的比较,"周巧直, 俞力, 牛应林, 吕富靖, 李鹏, 冀明, 王拥军, 张澍田",2016,01,09,https://zhqjwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=10837
10838,腹腔镜治疗绝经期卵巢子宫内膜异位囊肿临床分析,"王楠, 范文生, 顾成磊, 赵路阳, 张哲, 孟元光",2016,01,09,https://zhqjwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=10838
10839,机器人辅助腹腔镜与传统腹腔镜行胰腺癌手术的Meta分析,薛瑞华,2016,01,09,https://zhqjwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=10839
10840,经皮内镜治疗老年腰椎间盘突出与椎管狭窄的比较,"曾祥超, 黄鹏, 张西峰, 陈锦旭, 李宁, 黄良诚, 车路阳, 王岩",2016,01,09,https://zhqjwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=10840
10841,三种胸腔镜肺癌切除术式的对比研究,"焦鹏, 李简, 孙耀光, 吴青峻, 马超, 田文鑫, 于瀚博, 佟宏峰",2016,01,09,https://zhqjwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=10841
10842,单中心23年胆道外科腹腔镜手术中转开腹的原因分析,"吕少诚, 马军, 史宪杰, 顾万清, 陈永亮, 夏红天, 刘博, 黄晓强",2016,01,09,https://zhqjwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=10842
10843,ERCP与腹腔镜胆总管探查治疗胆囊结石合并胆总管结石的比较,"谭向龙, 薛瑞华, 王大东",2016,01,09,https://zhqjwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=10843
10844,完全腹腔镜前侧切除术治疗直肠癌51例临床分析,"王峰, 邱涛, 龚旭晨",2016,01,09,https://zhqjwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=10844
10845,关节镜治疗痛风性关节炎有效性的系统评价,"龚时国, 沈鑫, 廖建平, 刘木子",2016,01,09,https://zhqjwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=10845
10846,三维腹腔镜下精准肝脏肿瘤切除应用分析,"王冰, 温斌, 何代玉, 孟凡岗, 奚拥军",2016,01,09,https://zhqjwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=10846
10847,经胆囊管球囊扩张取石及C管引流15例报告,"贾蓬勃, 周党军, 李小庆, 孙学军, 何耀鹏, 邓睿",2016,01,09,https://zhqjwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=10847
10848,腹腔镜胃癌根治术消化道重建术式的选择技巧,"程强, 姜从桥, 葛思堂",2016,01,09,https://zhqjwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=10848
10849,机器人后腹腔镜胰腺手术首例报道,"刘荣, 赵国栋, 马鑫, 高元兴, 吕香君, 魏志成, 胡明根, 张旭",2016,01,09,https://zhqjwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=10849
10850,腹腔镜双子宫非妊娠子宫内翻脱垂复位体会,"刘桂芝, 张爱琴, 张丽玲, 徐爱玲, 马郁, 孟瑛, 李斌",2016,01,09,https://zhqjwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=10850
10851,腹腔镜前入路左半肝切除,"张宇, 贾乃昕, 陈桢, 常仁安, 汤小磊, 陈钟",2016,01,09,https://zhqjwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=10851
10852,外科医生的成长之路,黄志强,2016,02,09,https://zhqjwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=10852
10853,"难忘""胆道外科之父""",《中华腔镜外科杂志(电子版)》编辑部,2016,02,09,https://zhqjwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=10853
10854,有些离去我们无法挽留,王燕生,2016,02,09,https://zhqjwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=10854
10855,妇科泌尿手术内镜应用的历史发展和现状,朱兰,2016,02,09,https://zhqjwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=10855
10856,单孔胸腔镜手术的现状与展望,"谢冬, 陈昶, 朱余明, 姜格宁",2016,02,09,https://zhqjwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=10856
10857,妇科内镜并发症的防治,"颜士杰, 陈炎",2016,02,09,https://zhqjwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=10857
10858,腔镜甲状腺手术现状与展望,许双塔,2016,02,09,https://zhqjwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=10858
10859,全腹腔镜特殊部位肝脏肿瘤切除应对策略,"曾永毅, 罗柳平, 张翔",2016,02,09,https://zhqjwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=10859
10860,机器人与腹腔镜肝左外叶切除手术的经济学分析,"尹注增, 赵国栋, 许勇, 高元兴, 张煊, 谭向龙, 李成刚, 赵之明, 胡明根, 刘荣",2016,02,09,https://zhqjwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=10860
10861,经后腹膜腹腔镜清除结核性腰大肌脓肿的临床应用,"张智发, 杨晓清, 杨全中, 胡凡琦, 张少甫, 张雪松",2016,02,09,https://zhqjwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=10861
10862,单关节器械开展单孔胸腔镜胸部肿瘤切除的早期经验,"刘涛, 黄应通, 颜小英, 郭建极, 周华富, 王永勇",2016,02,09,https://zhqjwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=10862
10863,仰角穿刺法在腹腔镜超声引导下肝癌射频消融的应用,"张柯迪, 唐文博, 刘荣",2016,02,09,https://zhqjwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=10863
10864,腹腔镜、内镜在Mirizzi综合征I型患者中的应用(附11例报告),"李广阔, 李鑫, 冯犁, 李水芹, 李莉, 张洁, 杨海霞",2016,02,09,https://zhqjwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=10864
10865,腹腔镜胰体尾切除术15例效果分析,"薛红娣, 刘双海, 陈胜, 胡俊, 周一夫",2016,02,09,https://zhqjwkzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=10865
