article_id,title,author,year,issue,volume,pdf_url
15142,创刊词,,2013,01,01,https://zhzdxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=15142
15143,现代医学科学发展中的缺憾与思考,杨志寅,2013,01,01,https://zhzdxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=15143
15144,诊断学的任务与发展方向,"潘祥林, 王鸿利",2013,01,01,https://zhzdxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=15144
15145,新型丙型肝炎病毒抗体检测试剂Elecsys anti-HCV Ⅱ的性能评价与比较,"杨瑞锋, 管文莉, 王茜, 刘艳, 魏来",2013,01,01,https://zhzdxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=15145
15146,套式聚合酶链式反应在疟原虫检测和分型中的应用研究,"徐超, 魏庆宽, 李瑾, 肖婷, 王用斌, 孔祥礼, 张本光, 魏艳彬, 赵长磊, 黄炳成",2013,01,01,https://zhzdxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=15146
15147,儿童抽动障碍的诊断与评估：单中心10年回顾性研究,"衣明纪, 马遥, 刘秀梅, 冉霓, 冯雪英, 杨召川, 王艳霞, 魏书珍",2013,01,01,https://zhzdxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=15147
15148,脑性瘫痪临床诊断研究的Meta分析,"田甜, 倪宏",2013,01,01,https://zhzdxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=15148
15149,轻度认知功能损害患者扣带后回谷氨酸多体素氢质子磁共振波谱研究,"陈双庆, 蔡庆, 沈玉英, 赵中, 周华",2013,01,01,https://zhzdxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=15149
15150,肝硬化患者血清肌酸激酶、肌酸激酶同工酶-MB水平与Child-Pugh评分的相关性分析,"袁虎方, 汪雁博, 李勇, 赵群, 范立侨, 檀碧波",2013,01,01,https://zhzdxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=15150
15151,儿童症状性透明隔囊肿的临床诊断特征及其神经内镜治疗,"颜世清, 张浩, 孔令胜, 郭强, 张军臣, 靳峰",2013,01,01,https://zhzdxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=15151
15152,健康体检人群体重指数与血脂水平及非酒精性脂肪肝关系的研究,"邢燕, 叶山东, 洪海鸥, 陈燕",2013,01,01,https://zhzdxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=15152
15153,纤维板层型肝细胞癌临床诊断学特征分析并文献复习,"王少春, 张晓红, 陈东风",2013,01,01,https://zhzdxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=15153
15154,β-tubulin-Ⅲ、E-cadherin和α-catenin在乳腺癌及癌前病变中的表达及诊断意义,"王刚平, 张红, 梁云爱, 张作峰, 袁宗怀, 郭小艳",2013,01,01,https://zhzdxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=15154
15155,不同风险程度的胃肠道间质瘤患者CT影像学特征及诊断意义,"王飞, 梁建军",2013,01,01,https://zhzdxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=15155
15156,全国高等医学院校大学生临床技能竞赛的利弊分析与建议,"刘成玉, 王元松",2013,01,01,https://zhzdxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=15156
