article_id,title,author,year,issue,volume,pdf_url
39397,石学敏院士学术思想精髓钩玄,"郭琳, 卞金玲",2012,01,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39397
39398,基于临床证据的循证等级针灸病谱研究：精神及行为障碍病症,"杜元灏, 黎波, 李晶, 王栩, 石磊, 李丹",2012,01,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39398
39399,推拿手法治疗急性腰骶损伤综合征120例,张凯,2012,01,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39399
39400,“醒脑开窍”针刺法对缺血再灌注大鼠脑皮质细胞骨架的影响,"倪光夏, 石学敏, 王淑兰, 王舒, 王占奎",2012,01,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39400
39401,以内关为主穴针刺治疗缺血性中风机制研究,"牟蛟, 樊小农, 孟智宏",2012,01,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39401
39402,细胞骨架与神经退行性疾病相关性研究进展,聂坤,2012,01,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39402
39403,神经干细胞和缺血性脑卒中研究进展,"常瓅丹, 赵晓峰",2012,01,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39403
39404,中风后患者吞咽障碍针刺效穴分析,尹丽丽,2012,01,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39404
39405,针刺治愈臂丛神经痛一例,"韩艾, 田宇",2012,01,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39405
39406,“醒脑开窍”针刺法治疗共济失调一例,"郑海珍, 赵晓峰",2012,01,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39406
39407,急性进行性多发性神经根炎验案一则,许军峰,2012,01,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39407
39408,“醒脑开窍”针法治疗重症肌无力伴抑郁验案一例,付于,2012,01,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39408
39409,“调神止痛”针刺法治疗尿结石一例,杜宇征,2012,01,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39409
39410,中医特色疗法治疗三叉神经痛二则,"薛建芳, 李军",2012,01,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39410
39411,电针治疗顽固性失眠一例,"田春丽, 刘振林",2012,01,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39411
39412,“醒神开窍”针法治疗失味症一例,"孟丽娜, 张春红",2012,01,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39412
39413,“醒脑开窍”针刺法治疗痉挛性瘫痪一例,傅立新,2012,01,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39413
39414,“醒脑开窍”针法治疗缺血性延髓麻痹一例,丁淑强,2012,01,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39414
39415,传统医学在阿曼,路明,2012,01,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39415
39416,《内经》论人迎,张玥,2012,01,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39416
39417,《中华针灸电子杂志》第一届编辑委员会筹备会议,"齐应辰, 郭琳",2012,01,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39417
39418,石学敏院士“醒脑开窍”针刺法临床实践,"张博, 张春红",2012,02,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39418
39419,经筋排刺法治疗周围性面瘫多中心大样本随机对照试验研究,"李桂平, 李妍, 袁军, 薛艳艳, 李瑛, 刘立安",2012,02,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39419
39420,皮肤针叩刺加拔罐治疗带状疱疹后遗神经痛临床观察,刘军,2012,02,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39420
39421,针刺拮抗大鼠肠缺血再灌注炎性损伤,"姚甲瑞, 石现, 胡森, 钟毓贤",2012,02,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39421
39422,丹芪偏瘫胶囊疗效和安全性研究进展,"郑海珍, 赵晓峰",2012,02,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39422
39423,“醒脑开窍”针刺法配合华佗夹脊刺治疗进行性脊肌萎缩症一例,"田宇, 韩艾",2012,02,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39423
39424,“醒脑开窍”针刺法治疗脑干出血后动眼神经麻痹一例,"高淑红, 张元元",2012,02,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39424
39425,针刺治疗顽固性呃逆一例,李大军,2012,02,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39425
39426,“醒神开窍”针刺法配合中药治疗延髓麻痹一例,贺军,2012,02,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39426
39427,“醒脑开窍”针刺法配合华佗夹脊刺治疗脑梗死后遗症患儿一例,"周萍, 吕建明",2012,02,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39427
39428,以“醒脑开窍”法为主治疗高龄脑梗死患者一例,丁淑强,2012,02,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39428
39429,灸案四则,"尚秀葵, 吴晓敏",2012,02,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39429
39430,针灸治疗高血压病从肝论治浅识,张智龙,2012,02,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39430
39431,蜂针配合传统针灸及中药治疗痹证,"姜明孝, 李伟洁",2012,02,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39431
39432,石学敏院士针刺手法量学主要内涵及应用,郑健刚,2012,03,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39432
39433,综合疗法辨证治疗椎动脉型颈椎病50例,张凯,2012,03,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39433
39434,体针配合耳穴治疗高血压病40例,"王敏, 李银虹",2012,03,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39434
39435,针灸治疗坐骨神经痛发展现状,"张丹璇, 韩宝杰",2012,03,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39435
39436,“醒脑开窍”针刺法治疗急性脑出血一例,"吕建明, 周萍",2012,03,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39436
39437,针刺治疗神经性耳鸣一例,"田宇, 韩艾",2012,03,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39437
39438,“醒脑开窍”针刺法治疗脑外伤出血一例,张鹏,2012,03,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39438
39439,针刺五心穴为主治疗痉挛性斜颈二则,"孙思凡, 牛红月",2012,03,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39439
39440,脑出血后语言障碍治验一例,满斌,2012,03,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39440
39441,针药结合治疗痛性眼肌麻痹一例,"牟蛟, 卞金铃, 吕建明, 许军峰",2012,03,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39441
39442,针刺治疗过敏性周围神经炎一则,"丁恩奇, 赵晓峰",2012,03,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39442
39443,温病方证对应原则治疗脾胃病浅识,吕文亮,2012,03,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39443
39444,中国拔罐疗法发展史简考,"程光兴, 陈静子, 陈泽林, 孟向文, 郭义",2012,03,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39444
39445,人迎穴降压的理论依据,"张丽丽, 申鹏飞, 张春红, 赵晓峰, 王舒",2012,03,01,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=39445
35453,针灸治疗脑病的临床研究现状与思考,杜元灏,2013,01,02,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=35453
36159,WHO生存质量简表评价脑卒中患者信度及效度研究,"侯丽君, 赵晓峰",2013,01,02,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36159
36160,电针足三里穴对失血性休克大鼠肝肠组织的影响,"钟毓贤, 石现, 杜明华, 姚甲瑞",2013,01,02,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36160
36161,小儿感染后脾虚综合征研究进展,郭素香,2013,01,02,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36161
36162,浅析《金匮要略》脏腑经络辨证体系的思维特色,"巴建全, 王伟",2013,01,02,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36162
36163,针灸治疗抑郁症患者随机对照试验研究报告质量,"高木健, 赵雪, 陈波, 郭义",2013,01,02,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36163
36164,针药结合治疗膝关节痹证验案,"杨励, 张春红, 李鹏",2013,01,02,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36164
36165,针刺治疗脑出血术后运动性失语一例,"王敏, 戚玉芝",2013,01,02,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36165
36166,针刺治疗重症肌无力一则,戴晓矞,2013,01,02,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36166
36167,针刺治疗精神分裂症一例,"方海亮, 沈燕, 王舒",2013,01,02,https://zhzjdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36167
