article_id,title,authors,year,issue,volumn_page,pdf_url,doi
9378,骨水泥强化椎弓根钉方法治疗骨质疏松的比较研究,"陈超, 区杏枝, 关宏刚, 王刚, 毕志伟",2014,32(4),https://www.chjcana.com/CN/volumn/volumn_1163.shtml,https://www.chjcana.com/CN/PDF/10.13418/j.issn.1001-165x.2014.04.025,10.13418/j.issn.1001-165x.2014.04.025
10514,踝关节外侧韧带的形态学分型及临床意义,"周云烽, 徐达政, 陈仲, 姚伙生, 张琮达, 李卫平, 沈慧勇, 宋斌",2021,39(2),https://www.chjcana.com/CN/volumn/volumn_1203.shtml,https://www.chjcana.com/CN/PDF/10.13418/j.issn.1001-165x.2021.02.001,10.13418/j.issn.1001-165x.2021.02.001
10515,手指伸肌腱Ⅰ区肌腱末节指骨止点与毗邻组织的应用解剖学研究,"赵文韬, 赵民",2021,39(2),https://www.chjcana.com/CN/volumn/volumn_1203.shtml,https://www.chjcana.com/CN/PDF/10.13418/j.issn.1001-165x.2021.02.002,10.13418/j.issn.1001-165x.2021.02.002
10516,猪股骨头支持带动脉入头分支的解剖学研究,"张向南, 邓伟, 张松强, 李雷, 周广良, 居发新, 鞠文, 周正虎, 李关兴, 巨积辉, 侯瑞兴",2021,39(2),https://www.chjcana.com/CN/volumn/volumn_1203.shtml,https://www.chjcana.com/CN/PDF/10.13418/j.issn.1001-165x.2021.02.003,10.13418/j.issn.1001-165x.2021.02.003
10517,大、小多角骨形态与血供的解剖学研究,"王雅康, 徐永清, 袁礼波, 张旭林, 许育健, 罗浩天, 魏明杰",2021,39(2),https://www.chjcana.com/CN/volumn/volumn_1203.shtml,https://www.chjcana.com/CN/PDF/ 10.13418/j.issn.1001-165x.2021.02.004, 10.13418/j.issn.1001-165x.2021.02.004
10518,新生儿小脑发育与胎龄的相关性研究,"刘瑞可, 李桂芳, 杜学谦, 陈帅",2021,39(2),https://www.chjcana.com/CN/volumn/volumn_1203.shtml,https://www.chjcana.com/CN/PDF/10.13418/j.issn.1001-165x.2021.02.005,10.13418/j.issn.1001-165x.2021.02.005
10519,胰周筋膜及筋膜间隙CT影像的解剖观察及临床意义,"周小波, 徐刚潮, 刘强",2021,39(2),https://www.chjcana.com/CN/volumn/volumn_1203.shtml,https://www.chjcana.com/CN/PDF/10.13418/j.issn.1001-165x.2021.02.006,10.13418/j.issn.1001-165x.2021.02.006
10520,定位装置辅助下四肢深部金属异物的精准定位及取出,"苏炜炜, 何藻鹏, 张国栋, 李卫, 许靖, 廖政文, 谢普生, 林东鑫, 黄文华",2021,39(2),https://www.chjcana.com/CN/volumn/volumn_1203.shtml,https://www.chjcana.com/CN/PDF/10.13418/j.issn.1001-165x.2021.02.007,10.13418/j.issn.1001-165x.2021.02.007
10521,miR-206靶向Cx43调控ERK1/2通路在兔激素性股骨头坏死中的作用,"席源, 罗高斌, 魏桂清, 覃文涛, 薄占东",2021,39(2),https://www.chjcana.com/CN/volumn/volumn_1203.shtml,https://www.chjcana.com/CN/PDF/10.13418/j.issn.1001-165x.2021.02.008,10.13418/j.issn.1001-165x.2021.02.008
10522,Nrf2/ARE信号通路在吗啡预处理减轻盐酸多柔比星诱导心力衰竭大鼠心肌缺血再灌注损伤中的作用机制,"谭永丽, 唐慧洁, 　田苑",2021,39(2),https://www.chjcana.com/CN/volumn/volumn_1203.shtml,https://www.chjcana.com/CN/PDF/10.13418/j.issn.1001-165x.2021.02.009,10.13418/j.issn.1001-165x.2021.02.009
