article_id,title,authors,year,issue,volumn_page,pdf_url,doi
3,2014西湖国际全科医学学术交流会内容摘登,李兰娟，曾益新,2015,18(1),https://www.chinagp.net/CN/volumn/volumn_1136.shtml,https://www.chinagp.net/CN/PDF/10.3969/j.issn.1007-9572.2015.01.001,10.3969/j.issn.1007-9572.2015.01.001
4,英美两国老年痴呆预防指南解读及社区护理启示,"章 莹, 付 伟",2015,18(1),https://www.chinagp.net/CN/volumn/volumn_1136.shtml,https://www.chinagp.net/CN/PDF/10.3969/j.issn.1007-9572.2015.01.002,10.3969/j.issn.1007-9572.2015.01.002
5,澳大利亚Danielle Mazza教授全科医疗案例分析——异位妊娠,本刊编辑部编译,2015,18(1),https://www.chinagp.net/CN/volumn/volumn_1136.shtml,https://www.chinagp.net/CN/PDF/10.3969/j.issn.1007-9572.2015.01.003,10.3969/j.issn.1007-9572.2015.01.003
6,中国社区中的心理健康案例研究（十一）——神经性贪食倾向,李品品，黄爱国，赵中，李荐中,2015,18(1),https://www.chinagp.net/CN/volumn/volumn_1136.shtml,https://www.chinagp.net/CN/PDF/10.3969/j.issn.1007-9572.2015.01.004,10.3969/j.issn.1007-9572.2015.01.004
7,社区卫生服务满意度综合评价方法探讨,李丽清，卢祖洵,2015,18(1),https://www.chinagp.net/CN/volumn/volumn_1136.shtml,https://www.chinagp.net/CN/PDF/10.3969/j.issn.1007-9572.2015.01.005,10.3969/j.issn.1007-9572.2015.01.005
8,基本药物集中采购的评价体系与优化策略研究,汤少梁，张英,2015,18(1),https://www.chinagp.net/CN/volumn/volumn_1136.shtml,https://www.chinagp.net/CN/PDF/10.3969/j.issn.1007-9572.2015.01.006,10.3969/j.issn.1007-9572.2015.01.006
9,基于业务流程再造理论的家庭医生团队分工协作管理流程重组研究,王红伟，杨文秀，骆达,2015,18(1),https://www.chinagp.net/CN/volumn/volumn_1136.shtml,https://www.chinagp.net/CN/PDF/10.3969/j.issn.1007-9572.2015.01.007,10.3969/j.issn.1007-9572.2015.01.007
10,国外社区卫生服务绩效管理和信息技术应用的现状研究,闫昕，雷行云，李娟，高星,2015,18(1),https://www.chinagp.net/CN/volumn/volumn_1136.shtml,https://www.chinagp.net/CN/PDF/10.3969/j.issn.1007-9572.2015.01.008,10.3969/j.issn.1007-9572.2015.01.008
11,基于信息技术的社区卫生服务绩效管理模式设计,胡红濮，代涛，陈荃，雷行云,2015,18(1),https://www.chinagp.net/CN/volumn/volumn_1136.shtml,https://www.chinagp.net/CN/PDF/10.3969/j.issn.1007-9572.2015.01.009,10.3969/j.issn.1007-9572.2015.01.009
12,社区卫生服务绩效管理信息系统的功能设计,胡红濮，代涛，陈荃，高星，李娟,2015,18(1),https://www.chinagp.net/CN/volumn/volumn_1136.shtml,https://www.chinagp.net/CN/PDF/10.3969/j.issn.1007-9572.2015.01.010,10.3969/j.issn.1007-9572.2015.01.010
