article_id,title,year,issue,volume,pages,pdf_url,doi
22999,邓小平、陈云、赵紫阳为地方病防治工作题词,1985,1,4,1-1,https://www.zgggws.com/article/exportPdf?id=22999,
23000,重点要把八亿农民的卫生预防工作搞好,1985,1,4,2-2,https://www.zgggws.com/article/exportPdf?id=23000,
23001,中华人民共和国卫生部转发PHDC第一届编委会纪要,1985,1,4,3-3,https://www.zgggws.com/article/exportPdf?id=23001,
23002,卫生部《公共卫生与疾病控制杂志》第一届编辑委员会暨第二次联络员会会议纪要,1985,1,4,4-5,https://www.zgggws.com/article/exportPdf?id=23002,
23004,王健同志在《公共卫生与疾病控制杂志》第一届编委会暨第二次联络员会议上的总结发言（摘要）,1985,1,4,5-8,https://www.zgggws.com/article/exportPdf?id=23004,
23006,贵州省基本消灭丝虫病,1985,1,4,8-8,https://www.zgggws.com/article/exportPdf?id=23006,
23008,王健同志在《公共卫生与疾病控制杂志》第一届编委会暨第二次联络员会议开幕式上的发言（摘要）,1985,1,4,9-10,https://www.zgggws.com/article/exportPdf?id=23008,
23011,环境外照射贯穿幅射对辽宁省居民所致剂量的估算及评价,1985,1,4,11-13,https://www.zgggws.com/article/exportPdf?id=23011,
23012,人体耵聍中DDT、六六六含量测定,1985,1,4,14-15,https://www.zgggws.com/article/exportPdf?id=23012,
23015,全球水质监测的分析质量控制样品测定结果,1985,1,4,16-17,https://www.zgggws.com/article/exportPdf?id=23015,
23018,尿中粪卟啉的正常值及其对铅中毒诊断意义的探讨,1985,1,4,18-19,https://www.zgggws.com/article/exportPdf?id=23018,
23021,入托儿童X线透视时接受照射量的调查,1985,1,4,20-21,https://www.zgggws.com/article/exportPdf?id=23021,
23022,37例放射性皮炎的调查报告,1985,1,4,22-23,https://www.zgggws.com/article/exportPdf?id=23022,
23025,电影院观众厅空气中细菌含量的变动规律及其影响因素,1985,1,4,24-26,https://www.zgggws.com/article/exportPdf?id=23025,
23028,山东烟台地区部分人群脊髓灰质炎抗体测定（摘要）,1985,1,4,26-26,https://www.zgggws.com/article/exportPdf?id=23028,
23030,冬季医院污（废）水沙门氏菌检测,1985,1,4,27-28,https://www.zgggws.com/article/exportPdf?id=23030,
23033,女性医用放射线工作者三十年间（1950—1980）生育情况分析,1985,1,4,28-30,https://www.zgggws.com/article/exportPdf?id=23033,
23035,北京地区神经管畸形的描述流行病学研究,1985,1,,,https://www.zgggws.com/article/exportPdf?id=23035,
23039,直接荧光抗体技术检查流行性出血热病原的初步结果,1985,1,4,36-39,https://www.zgggws.com/article/exportPdf?id=23039,
23041,七岁儿童麻苗再免效果观察（摘要）,1985,1,4,39-39,https://www.zgggws.com/article/exportPdf?id=23041,
23042,家鼠型流行性出血热隐性感染的流行病学调查研究,1985,1,4,40-42,https://www.zgggws.com/article/exportPdf?id=23042,
23046,水灾后流行性出血热暴发流行的调查（摘要）,1985,1,4,42-42,https://www.zgggws.com/article/exportPdf?id=23046,
23048,阿糖腺苷（Ara-A）对PLC/PRF/5人肝癌细胞系产生HBsAg的作用,1985,1,4,43-44,https://www.zgggws.com/article/exportPdf?id=23048,
23050,贵州省基本消灭丝虫病的主要经验,1985,1,4,44-44,https://www.zgggws.com/article/exportPdf?id=23050,
23053,198例急性黄疸型肝炎血清学分型,1985,1,4,45-47,https://www.zgggws.com/article/exportPdf?id=23053,
23055,影剧院中乙型肝炎表面抗原的污染,1985,1,4,48-49,https://www.zgggws.com/article/exportPdf?id=23055,
23058,上海市虹口区1974—1982年志贺氏菌属的菌型分布变迁的探讨（摘要）,1985,1,4,49-49,https://www.zgggws.com/article/exportPdf?id=23058,
23061,C6/36细胞在乙型脑炎病毒检测上的应用,1985,1,4,50-54,https://www.zgggws.com/article/exportPdf?id=23061,
23064,一起冬季暴发的福氏痢疾和肠炎的流行病学调查,1985,1,4,55-56,https://www.zgggws.com/article/exportPdf?id=23064,
23067,中共中央地方病防治领导小组组长付组长在沈阳召开碰头会,1985,1,4,56-56,https://www.zgggws.com/article/exportPdf?id=23067,
23068,加强对鼠伤寒沙门氏菌病的防治,1985,1,4,57-59,https://www.zgggws.com/article/exportPdf?id=23068,
23072,一起由宋内氏痢疾杆菌引起的食物中毒调查报告（摘要）,1985,1,4,59-59,https://www.zgggws.com/article/exportPdf?id=23072,
23074,流行性出血热病人耳垂血膜间接免疫荧光抗体试验的研究（摘要）,1985,1,4,59-59,https://www.zgggws.com/article/exportPdf?id=23074,
23076,上期营养与食品卫生学中晋高辅导提纲问题答案,1985,1,4,60-63,https://www.zgggws.com/article/exportPdf?id=23076,
23077,环境卫生学中常用英文缩写词,1985,1,4,63-64,https://www.zgggws.com/article/exportPdf?id=23077,
23003,全国职业肿瘤调查工作的基本情况及防治意见,1985,2,4,1-3,https://www.zgggws.com/article/exportPdf?id=23003,
