article_id,title,authors,year,issue,volumn_page,pdf_url,doi
2992,发刊词,"刘俊, 蔡仁华",1998,1(1),https://hdpr.shdrc.org/CN/Y1998/V1/I1,https://hdpr.shdrc.org/CN/PDF/2992,
2993,以改革为动力 努力建设具有中国特色上海特点的卫生体系,刘俊,1998,1(1),https://hdpr.shdrc.org/CN/Y1998/V1/I1,https://hdpr.shdrc.org/CN/PDF/2993,
2994,优化卫生资源配置 促进卫生事业发展,臧爱民,1998,1(1),https://hdpr.shdrc.org/CN/Y1998/V1/I1,https://hdpr.shdrc.org/CN/PDF/2994,
2995,21世纪卫生经济学的作用及发展方向,胡善联,1998,1(1),https://hdpr.shdrc.org/CN/Y1998/V1/I1,https://hdpr.shdrc.org/CN/PDF/2995,
2996,促使药品市场有序发展的政策研究概述,"郝模, 王志锋, 包江波, 吴延风, 罗力, 邱杨明, 郑益川, 信亚东",1998,1(1),https://hdpr.shdrc.org/CN/Y1998/V1/I1,https://hdpr.shdrc.org/CN/PDF/2996,
2997,中国农村贫困地区卫生总费用时间序列系统分析,"杜乐勋, 马进, 鞠秀荣, 刘国祥, 高广颖, 官日坊, 李斌, 马燕, 王庆超, 张淑芬",1998,1(1),https://hdpr.shdrc.org/CN/Y1998/V1/I1,https://hdpr.shdrc.org/CN/PDF/2997,
2998,卫生筹资与就医、处方行为研究,董恒进,1998,1(1),https://hdpr.shdrc.org/CN/Y1998/V1/I1,https://hdpr.shdrc.org/CN/PDF/2998,
2999,卫生资源配置成本的变动趋势与政策干预,宋文舸,1998,1(1),https://hdpr.shdrc.org/CN/Y1998/V1/I1,https://hdpr.shdrc.org/CN/PDF/2999,
3000,农村卫技人员数量变化特征和发展趋势研究,"李雪芳, 龚幼龙, 陈启明, 陈育德",1998,1(1),https://hdpr.shdrc.org/CN/Y1998/V1/I1,https://hdpr.shdrc.org/CN/PDF/3000,
3001,卫生事业费分配结构调整的政策思考,"程晓明, 刘仲民, 叶露",1998,1(1),https://hdpr.shdrc.org/CN/Y1998/V1/I1,https://hdpr.shdrc.org/CN/PDF/3001,
3002,1991～1995年上海市卫生事业费投入力度探讨,"王锦福, 王惟, 王光照, 邵德耀, 郝模, 李海宁",1998,1(1),https://hdpr.shdrc.org/CN/Y1998/V1/I1,https://hdpr.shdrc.org/CN/PDF/3002,
3003,谈谈“统账结合”的医改制度,王保真,1998,1(1),https://hdpr.shdrc.org/CN/Y1998/V1/I1,https://hdpr.shdrc.org/CN/PDF/3003,
3004,上海市医疗保险结算办法的设计与运作,"郑树忠, 丁汉升",1998,1(1),https://hdpr.shdrc.org/CN/Y1998/V1/I1,https://hdpr.shdrc.org/CN/PDF/3004,
3005,浅谈卫生资源宏观管理与医保费用控制,张恩源,1998,1(1),https://hdpr.shdrc.org/CN/Y1998/V1/I1,https://hdpr.shdrc.org/CN/PDF/3005,
3006,我国卫生投入的现状分析和对策建议,"游茂, 尹力",1998,1(1),https://hdpr.shdrc.org/CN/Y1998/V1/I1,https://hdpr.shdrc.org/CN/PDF/3006,
3007,对乡医个体办医有关问题的思考,"李新民, 曾庆义, 赵红征, 任彦孔",1998,1(1),https://hdpr.shdrc.org/CN/Y1998/V1/I1,https://hdpr.shdrc.org/CN/PDF/3007,
3008,以改革为动力 充分利用卫生资源,沈佳泰,1998,1(1),https://hdpr.shdrc.org/CN/Y1998/V1/I1,https://hdpr.shdrc.org/CN/PDF/3008,
3009,“九五”期间青浦县医疗机构设置规划,,1998,1(1),https://hdpr.shdrc.org/CN/Y1998/V1/I1,https://hdpr.shdrc.org/CN/PDF/3009,
3010,以改革为抓手 争创一流医院,顾坚定,1998,1(1),https://hdpr.shdrc.org/CN/Y1998/V1/I1,https://hdpr.shdrc.org/CN/PDF/3010,
3013,卫生产业是重要的卫生资源,"陈凤喜, 徐福洲",1998,1(1),https://hdpr.shdrc.org/CN/Y1998/V1/I1,https://hdpr.shdrc.org/CN/PDF/3013,
3011,环城镇乡村卫生组织一体化管理的做法及效果,,1998,1(1),https://hdpr.shdrc.org/CN/Y1998/V1/I1,https://hdpr.shdrc.org/CN/PDF/3011,
3012,以高新技术推动医疗发展的瑞金医院,"闵建颖, 汪敏",1998,1(1),https://hdpr.shdrc.org/CN/Y1998/V1/I1,https://hdpr.shdrc.org/CN/PDF/3012,
3014,认真学习邓小平理论 积极探索具有地区特点的医疗保险制度,孟建柱,1998,1(2),https://hdpr.shdrc.org/CN/Y1998/V1/I2,https://hdpr.shdrc.org/CN/PDF/3014,
3015,贯彻全国卫生工作会议精神 深入开展社区卫生服务,张愈,1998,1(2),https://hdpr.shdrc.org/CN/Y1998/V1/I2,https://hdpr.shdrc.org/CN/PDF/3015,
3016,贫困地区基层卫技队伍实行退休基金统筹制度,杨渭川,1998,1(2),https://hdpr.shdrc.org/CN/Y1998/V1/I2,https://hdpr.shdrc.org/CN/PDF/3016,
3017,上海市药品费用控制现状及对策(上),"王龙兴, 胡善联, 周海洋, 程晓明, 陈克涌, 陈文, 汪敏澍, 李建梅, 梅荣连, 吴龙, 邢根生, 张新民, 陈兴宝, 张金康, 龚向光, 王锦福",1998,1(2),https://hdpr.shdrc.org/CN/Y1998/V1/I2,https://hdpr.shdrc.org/CN/PDF/3017,
3018,“药品配置中心”方案的利弊、动力阻力和前提条件研究,"郝模, 包江波, 吴延风, 罗力, 邱杨明, 郑益川, 信亚东, 王志锋",1998,1(2),https://hdpr.shdrc.org/CN/Y1998/V1/I2,https://hdpr.shdrc.org/CN/PDF/3018,
3019,“医药分业”方案的利弊、动力阻力和前提条件研究,"吴延风, 罗力, 郝模, 邱杨明, 信亚东, 郑益川, 王志锋, 包江波",1998,1(2),https://hdpr.shdrc.org/CN/Y1998/V1/I2,https://hdpr.shdrc.org/CN/PDF/3019,
3020,“药品管理办公室”方案的利弊、动力阻力和前提条件研究,"郝模, 邱杨明, 罗力, 王志锋, 信亚东, 包江波, 吴延风, 郑益川",1998,1(2),https://hdpr.shdrc.org/CN/Y1998/V1/I2,https://hdpr.shdrc.org/CN/PDF/3020,
3021,“药品单独核算”方案的利弊、动力阻力和前提条件研究,"包江波, 郝模, 王志锋, 信亚东, 邱杨明, 郑益川, 吴延风, 罗力",1998,1(2),https://hdpr.shdrc.org/CN/Y1998/V1/I2,https://hdpr.shdrc.org/CN/PDF/3021,
3022,国民经济发展与卫生事业费变动趋势分析,"叶露, 程晓明, 刘仲民",1998,1(2),https://hdpr.shdrc.org/CN/Y1998/V1/I2,https://hdpr.shdrc.org/CN/PDF/3022,
3023,海南省医院费用定额包干补偿方式个案研究,孙炳耀,1998,1(2),https://hdpr.shdrc.org/CN/Y1998/V1/I2,https://hdpr.shdrc.org/CN/PDF/3023,
3024,县级综合医院人员现状调查分析,"李胡希, 潘惊萍, 王华, 帅云方, 陈运英",1998,1(2),https://hdpr.shdrc.org/CN/Y1998/V1/I2,https://hdpr.shdrc.org/CN/PDF/3024,
3025,高等医学院校人事考评系统研究,"李伟, 王兴仁, 赵延奎",1998,1(2),https://hdpr.shdrc.org/CN/Y1998/V1/I2,https://hdpr.shdrc.org/CN/PDF/3025,
3026,医学综合性期刊面临的主要问题及对策研究,何华松,1998,1(2),https://hdpr.shdrc.org/CN/Y1998/V1/I2,https://hdpr.shdrc.org/CN/PDF/3026,
3027,对我国城市和农村发展全科医疗的探讨,"李耘, 马昱, 施寿康, 杨秉辉",1998,1(2),https://hdpr.shdrc.org/CN/Y1998/V1/I2,https://hdpr.shdrc.org/CN/PDF/3027,
3028,城市基层医院发展的动力和方向刍议,"唐智柳, 傅华, 信亚东, 朱冰玲, 陈洁",1998,1(2),https://hdpr.shdrc.org/CN/Y1998/V1/I2,https://hdpr.shdrc.org/CN/PDF/3028,
3029,关于上海市职工医疗制度改革目标模式的探讨,"张新民, 张金康, 汤文巍, 孙国桢",1998,1(2),https://hdpr.shdrc.org/CN/Y1998/V1/I2,https://hdpr.shdrc.org/CN/PDF/3029,
3030,上海市医疗保险医院计算机局域网的架构和实施方案,"秦德霖, 李梅枝, 章卫",1998,1(2),https://hdpr.shdrc.org/CN/Y1998/V1/I2,https://hdpr.shdrc.org/CN/PDF/3030,
3031,建立以医疗为中心的现代医院信息管理系统,"张慕洁, 林一清",1998,1(2),https://hdpr.shdrc.org/CN/Y1998/V1/I2,https://hdpr.shdrc.org/CN/PDF/3031,
3032,结合自身特点 探索城市二级综合医院发展之路,褚惠民,1998,1(2),https://hdpr.shdrc.org/CN/Y1998/V1/I2,https://hdpr.shdrc.org/CN/PDF/3032,
3033,国外药品费用控制的策略和措施,"陈英耀, 董恒进, 陈浩",1998,1(2),https://hdpr.shdrc.org/CN/Y1998/V1/I2,https://hdpr.shdrc.org/CN/PDF/3033,
3034,稳中求进 勇于争先,戴莺,1998,1(2),https://hdpr.shdrc.org/CN/Y1998/V1/I2,https://hdpr.shdrc.org/CN/PDF/3034,
3035,金山区推行公共卫生监督体制改革新举措,"戴莺, 倪军杰, 鲁桂根",1998,1(2),https://hdpr.shdrc.org/CN/Y1998/V1/I2,https://hdpr.shdrc.org/CN/PDF/3035,
3036,金山区试行农村合作医疗保险实践与体会,"倪军杰, 包吉庭, 顾元生, 屠志荣",1998,1(2),https://hdpr.shdrc.org/CN/Y1998/V1/I2,https://hdpr.shdrc.org/CN/PDF/3036,
3037,优化卫生资源 走联合发展之路,"倪淑萍, 章玉美, 王鸣迪, 孟三宏",1998,1(2),https://hdpr.shdrc.org/CN/Y1998/V1/I2,https://hdpr.shdrc.org/CN/PDF/3037,
3038,金山区初步形成职业病防、治、研新格局,"鲁桂根, 周元陵, 金复生",1998,1(2),https://hdpr.shdrc.org/CN/Y1998/V1/I2,https://hdpr.shdrc.org/CN/PDF/3038,
3039,上海市第六人民医院,"方秉华, 顾海鹰",1998,1(2),https://hdpr.shdrc.org/CN/Y1998/V1/I2,https://hdpr.shdrc.org/CN/PDF/3039,
3040,上海卫生经济改革的回顾和展望,王龙兴,1998,1(3),https://hdpr.shdrc.org/CN/Y1998/V1/I3,https://hdpr.shdrc.org/CN/PDF/3040,
3041,探索与医疗保险制度改革相配套的医疗机构改革思路,何明,1998,1(3),https://hdpr.shdrc.org/CN/Y1998/V1/I3,https://hdpr.shdrc.org/CN/PDF/3041,
3042,以病人为中心 提供优质高效的医疗服务,,1998,1(3),https://hdpr.shdrc.org/CN/Y1998/V1/I3,https://hdpr.shdrc.org/CN/PDF/3042,
3043,上海市药品费用控制现状及对策(下),"王龙兴, 胡善联, 周海洋, 程晓明, 陈克涌, 陈文, 汪敏澍, 李建梅, 梅荣连, 吴龙, 邢根生, 张新民, 陈兴宝, 张金康, 龚向光, 王锦福",1998,1(3),https://hdpr.shdrc.org/CN/Y1998/V1/I3,https://hdpr.shdrc.org/CN/PDF/3043,
3044,控制药品费用总量 促使药品市场有序发展的理论依据和实施效果概述,"郝模, 邱杨明, 王志锋, 包江波, 罗力, 郑益川, 吴延风, 信亚东",1998,1(3),https://hdpr.shdrc.org/CN/Y1998/V1/I3,https://hdpr.shdrc.org/CN/PDF/3044,
3045,中国卫生总费用筹资来源与各领域分配流向矩阵分析,"赵琨, 赵郁馨, 杜乐勋",1998,1(3),https://hdpr.shdrc.org/CN/Y1998/V1/I3,https://hdpr.shdrc.org/CN/PDF/3045,
3046,中国农村地区卫生保健筹资的回顾与评述,罗五金,1998,1(3),https://hdpr.shdrc.org/CN/Y1998/V1/I3,https://hdpr.shdrc.org/CN/PDF/3046,
3047,省、市、县卫生事业费分配结构与水平分析,"程晓明, 叶露, 刘仲民, 郑先荣, 袁长海",1998,1(3),https://hdpr.shdrc.org/CN/Y1998/V1/I3,https://hdpr.shdrc.org/CN/PDF/3047,
3048,医院部分仪器设备服务项目标准成本的研究,"吕军, 陈洁, 曹建文, 方强, 吴延风",1998,1(3),https://hdpr.shdrc.org/CN/Y1998/V1/I3,https://hdpr.shdrc.org/CN/PDF/3048,
3049,谈卫生事业的发展,陈卫强,1998,1(3),https://hdpr.shdrc.org/CN/Y1998/V1/I3,https://hdpr.shdrc.org/CN/PDF/3049,
3050,职业化是卫生管理队伍建设的必由之路,"毛磊, 毛瑛",1998,1(3),https://hdpr.shdrc.org/CN/Y1998/V1/I3,https://hdpr.shdrc.org/CN/PDF/3050,
3051,三级综合性医院面向未来的对策思考,方晓琴,1998,1(3),https://hdpr.shdrc.org/CN/Y1998/V1/I3,https://hdpr.shdrc.org/CN/PDF/3051,
3052,“两北地区”第2次卫生经济协作会综述,傅秀珍,1998,1(3),https://hdpr.shdrc.org/CN/Y1998/V1/I3,https://hdpr.shdrc.org/CN/PDF/3052,
3053,上海卫生系统实施“跨世纪学科建设和人才培养工程”,"李琳强, 张明岛, 郭永钦",1998,1(3),https://hdpr.shdrc.org/CN/Y1998/V1/I3,https://hdpr.shdrc.org/CN/PDF/3053,
3054,推行乡村卫生机构一体化管理的若干做法,"刘道恺, 彭家洪",1998,1(3),https://hdpr.shdrc.org/CN/Y1998/V1/I3,https://hdpr.shdrc.org/CN/PDF/3054,
3055,从门诊量变动谈地段医院发展方向,励鸣,1998,1(3),https://hdpr.shdrc.org/CN/Y1998/V1/I3,https://hdpr.shdrc.org/CN/PDF/3055,
3056,安达医院办院的探索与实践,何敏,1998,1(3),https://hdpr.shdrc.org/CN/Y1998/V1/I3,https://hdpr.shdrc.org/CN/PDF/3056,
3057,加拿大医疗保险体制的历史沿革及现状,胡苏云,1998,1(3),https://hdpr.shdrc.org/CN/Y1998/V1/I3,https://hdpr.shdrc.org/CN/PDF/3057,
3058,澳大利亚的病例组合(CASEMIX),"赵郁馨, 陈兴宝",1998,1(3),https://hdpr.shdrc.org/CN/Y1998/V1/I3,https://hdpr.shdrc.org/CN/PDF/3058,
3059,坚持需求导向 合理配置资源,,1998,1(3),https://hdpr.shdrc.org/CN/Y1998/V1/I3,https://hdpr.shdrc.org/CN/PDF/3059,
3060,区域卫生规划编制工作的实践与体会,王树德,1998,1(3),https://hdpr.shdrc.org/CN/Y1998/V1/I3,https://hdpr.shdrc.org/CN/PDF/3060,
3061,健全机制 促进卫生科技发展,"夏林浩, 陈步尘",1998,1(3),https://hdpr.shdrc.org/CN/Y1998/V1/I3,https://hdpr.shdrc.org/CN/PDF/3061,
3062,巩固和发展农村合作医疗制度,"程广德, 郑周",1998,1(3),https://hdpr.shdrc.org/CN/Y1998/V1/I3,https://hdpr.shdrc.org/CN/PDF/3062,
3063,拓展社区卫生服务的几点做法,"臧宏, 徐庆龙",1998,1(3),https://hdpr.shdrc.org/CN/Y1998/V1/I3,https://hdpr.shdrc.org/CN/PDF/3063,
3064,上海医科大学附属华山医院,,1998,1(3),https://hdpr.shdrc.org/CN/Y1998/V1/I3,https://hdpr.shdrc.org/CN/PDF/3064,
3065,实施科教兴医战略实现江西卫生事业可持续发展,周标,1998,1(4),https://hdpr.shdrc.org/CN/Y1998/V1/I4,https://hdpr.shdrc.org/CN/PDF/3065,
3066,海南农村卫生资源合理配置的思考,陆清,1998,1(4),https://hdpr.shdrc.org/CN/Y1998/V1/I4,https://hdpr.shdrc.org/CN/PDF/3066,
3067,我国公共卫生筹资改革措施评价,"刘兴柱, 徐凌中",1998,1(4),https://hdpr.shdrc.org/CN/Y1998/V1/I4,https://hdpr.shdrc.org/CN/PDF/3067,
3068,影响我国卷烟需求的因素分析,"毛正中, 蒋家林, 龚志平, 张平, 阎正民, 苏维",1998,1(4),https://hdpr.shdrc.org/CN/Y1998/V1/I4,https://hdpr.shdrc.org/CN/PDF/3068,
3069,医疗机构固定资产及差额补助分析,"程晓明, 叶露, 袁长海, 郑先荣",1998,1(4),https://hdpr.shdrc.org/CN/Y1998/V1/I4,https://hdpr.shdrc.org/CN/PDF/3069,
3070,4所典型医院药品扣利分析,"罗力, 郝模, 王志锋, 吴延风, 邱杨明, 包江波, 信亚东, 郑益川",1998,1(4),https://hdpr.shdrc.org/CN/Y1998/V1/I4,https://hdpr.shdrc.org/CN/PDF/3070,
3071,农村卫技人员配置量影响因素分析与建模,"李雪芳, 龚幼龙, 陈启明, 陈育德, 饶克勒",1998,1(4),https://hdpr.shdrc.org/CN/Y1998/V1/I4,https://hdpr.shdrc.org/CN/PDF/3071,
3072,对护理工作有效工时的分析研究,"周曾同, 周鸣, 沈美兰, 张玲毅",1998,1(4),https://hdpr.shdrc.org/CN/Y1998/V1/I4,https://hdpr.shdrc.org/CN/PDF/3072,
3073,社区卫生服务的若干思考,秦美娇,1998,1(4),https://hdpr.shdrc.org/CN/Y1998/V1/I4,https://hdpr.shdrc.org/CN/PDF/3073,
3074,知识经济和我们面临的机遇与挑战,"张勘, 王剑萍",1998,1(4),https://hdpr.shdrc.org/CN/Y1998/V1/I4,https://hdpr.shdrc.org/CN/PDF/3074,
3075,在非医疗性卫生服务领域里寻求出路,徐杰,1998,1(4),https://hdpr.shdrc.org/CN/Y1998/V1/I4,https://hdpr.shdrc.org/CN/PDF/3075,
3076,社会主义医疗市场中的理性思考,潘明,1998,1(4),https://hdpr.shdrc.org/CN/Y1998/V1/I4,https://hdpr.shdrc.org/CN/PDF/3076,
3077,对医疗收费体系改革的几点思考,王维刚,1998,1(4),https://hdpr.shdrc.org/CN/Y1998/V1/I4,https://hdpr.shdrc.org/CN/PDF/3077,
3078,医院要注重内涵 提高效益,黄淇敏,1998,1(4),https://hdpr.shdrc.org/CN/Y1998/V1/I4,https://hdpr.shdrc.org/CN/PDF/3078,
3079,“个人医疗账户”比较研究,袁杰,1998,1(4),https://hdpr.shdrc.org/CN/Y1998/V1/I4,https://hdpr.shdrc.org/CN/PDF/3079,
3080,华东卫生经济研究协作会第14次年会特记,李厚坤,1998,1(4),https://hdpr.shdrc.org/CN/Y1998/V1/I4,https://hdpr.shdrc.org/CN/PDF/3080,
3081,上海市非社会医疗保险的实施情况,"孙国桢, 洪蕾, 郑向",1998,1(4),https://hdpr.shdrc.org/CN/Y1998/V1/I4,https://hdpr.shdrc.org/CN/PDF/3081,
3082,建设上海医疗保险信息计算机管理系统的基本思路,董士元,1998,1(4),https://hdpr.shdrc.org/CN/Y1998/V1/I4,https://hdpr.shdrc.org/CN/PDF/3082,
3083,医院人事制度改革的探索与实践,张志根,1998,1(4),https://hdpr.shdrc.org/CN/Y1998/V1/I4,https://hdpr.shdrc.org/CN/PDF/3083,
3084,关于抓好体检质量管理的思考,邱永龙,1998,1(4),https://hdpr.shdrc.org/CN/Y1998/V1/I4,https://hdpr.shdrc.org/CN/PDF/3084,
3085,对美国医疗收费市场化及其医疗市场的思考,"申屠正荣, 徐盛鑫, 朱耀传, 汤炜, 潘世杰, 吴晓春, 陈桂芬, 郑胜利, 黄春芳",1998,1(4),https://hdpr.shdrc.org/CN/Y1998/V1/I4,https://hdpr.shdrc.org/CN/PDF/3085,
3086,美国远程医学教育对我们的启示,陈晓非,1998,1(4),https://hdpr.shdrc.org/CN/Y1998/V1/I4,https://hdpr.shdrc.org/CN/PDF/3086,
3087,求实创新 努力推进卫生事业发展进程,"虞国良, 孙荣根, 董秀晴",1998,1(4),https://hdpr.shdrc.org/CN/Y1998/V1/I4,https://hdpr.shdrc.org/CN/PDF/3087,
3088,积极完善农民合作医疗保险制度,李小杰,1998,1(4),https://hdpr.shdrc.org/CN/Y1998/V1/I4,https://hdpr.shdrc.org/CN/PDF/3088,
3089,科教兴院 推进医院现代化建设,曹玉芳,1998,1(4),https://hdpr.shdrc.org/CN/Y1998/V1/I4,https://hdpr.shdrc.org/CN/PDF/3089,
3090,洮西乡实行乡村卫生组织一体化管理的实践与体会,"潘和生, 张文生",1998,1(4),https://hdpr.shdrc.org/CN/Y1998/V1/I4,https://hdpr.shdrc.org/CN/PDF/3090,
3091,上海中医药大学附属龙华医院,"金利国, 杜兰屏",1998,1(4),https://hdpr.shdrc.org/CN/Y1998/V1/I4,https://hdpr.shdrc.org/CN/PDF/3091,
2763,卫生部王陇德副部长谈医疗机构改革总体思路,,1999,2(1),https://hdpr.shdrc.org/CN/Y1999/V2/I1,https://hdpr.shdrc.org/CN/PDF/2763,
2764,深化卫生改革 规范医疗行为,周俊安,1999,2(1),https://hdpr.shdrc.org/CN/Y1999/V2/I1,https://hdpr.shdrc.org/CN/PDF/2764,
2765,城市社区卫生服务规范内容和支持条件的研究,"鲍勇, 龚幼龙",1999,2(1),https://hdpr.shdrc.org/CN/Y1999/V2/I1,https://hdpr.shdrc.org/CN/PDF/2765,
2766,医疗机构收支状况与差额补助分析,"叶露, 程晓明, 郑先荣, 袁长海",1999,2(1),https://hdpr.shdrc.org/CN/Y1999/V2/I1,https://hdpr.shdrc.org/CN/PDF/2766,
2767,住院构成前10位病种的医疗费用相关因素分析,吴进军,1999,2(1),https://hdpr.shdrc.org/CN/Y1999/V2/I1,https://hdpr.shdrc.org/CN/PDF/2767,
2768,预防保健机构人员现况调查和需求分析,"郭清, 李志辉, 江志荣, 梁浩材",1999,2(1),https://hdpr.shdrc.org/CN/Y1999/V2/I1,https://hdpr.shdrc.org/CN/PDF/2768,
2769,河南省乡镇卫生院人力资源配置研究,马振江,1999,2(1),https://hdpr.shdrc.org/CN/Y1999/V2/I1,https://hdpr.shdrc.org/CN/PDF/2769,
2770,药品的经济学探讨,"陈文, 胡善联, 程晓明, 应晓华",1999,2(1),https://hdpr.shdrc.org/CN/Y1999/V2/I1,https://hdpr.shdrc.org/CN/PDF/2770,
2771,关于药品零售定价法的初探,揭大海,1999,2(1),https://hdpr.shdrc.org/CN/Y1999/V2/I1,https://hdpr.shdrc.org/CN/PDF/2771,
2772,如何适应医疗市场的几点思考,赵宗慕,1999,2(1),https://hdpr.shdrc.org/CN/Y1999/V2/I1,https://hdpr.shdrc.org/CN/PDF/2772,
2773,防范和处理医疗纠纷的对策,邓旭林,1999,2(1),https://hdpr.shdrc.org/CN/Y1999/V2/I1,https://hdpr.shdrc.org/CN/PDF/2773,
2774,对医院负债经营有关问题的探讨,"费金英, 张丽敏, 李新民",1999,2(1),https://hdpr.shdrc.org/CN/Y1999/V2/I1,https://hdpr.shdrc.org/CN/PDF/2774,
2775,城市贫困人口医疗救助的模式,"应晓华, 许可, 胡善联, 孙国桢, 徐铁元, 叶露",1999,2(1),https://hdpr.shdrc.org/CN/Y1999/V2/I1,https://hdpr.shdrc.org/CN/PDF/2775,
2776,总量控制下的按项目付费与三方分担——上海医疗保险支付方式的现实选择,"叶世雄, 郑树忠, 于广军",1999,2(1),https://hdpr.shdrc.org/CN/Y1999/V2/I1,https://hdpr.shdrc.org/CN/PDF/2776,
2777,医疗保险与医院管理互动影响的研究,夏建锋,1999,2(1),https://hdpr.shdrc.org/CN/Y1999/V2/I1,https://hdpr.shdrc.org/CN/PDF/2777,
2778,职工医疗保险制度的完善需要社会化系统支持,袁长海,1999,2(1),https://hdpr.shdrc.org/CN/Y1999/V2/I1,https://hdpr.shdrc.org/CN/PDF/2778,
2779,家庭病床纳入医保的实践与思考,李量,1999,2(1),https://hdpr.shdrc.org/CN/Y1999/V2/I1,https://hdpr.shdrc.org/CN/PDF/2779,
2780,缩短术前住院天数的若干措施,"苏静英, 韩铮",1999,2(1),https://hdpr.shdrc.org/CN/Y1999/V2/I1,https://hdpr.shdrc.org/CN/PDF/2780,
2781,我院优化人员配置的几点做法,钱飚,1999,2(1),https://hdpr.shdrc.org/CN/Y1999/V2/I1,https://hdpr.shdrc.org/CN/PDF/2781,
2792,社区卫生服务面临的问题及对策,"陆余芬, 王洪清",1999,2(1),https://hdpr.shdrc.org/CN/Y1999/V2/I1,https://hdpr.shdrc.org/CN/PDF/2792,
2782,一级医院后勤管理改革的思路,"许祖芳, 冷益民",1999,2(1),https://hdpr.shdrc.org/CN/Y1999/V2/I1,https://hdpr.shdrc.org/CN/PDF/2782,
2783,开展全科医学教育 推进社区卫生服务,唐万斌,1999,2(1),https://hdpr.shdrc.org/CN/Y1999/V2/I1,https://hdpr.shdrc.org/CN/PDF/2783,
