article_id,title,year,issue,volume,pages,volumn_page,pdf_url,doi
art11915,如何写好生物医学论文摘要,2000,01,2,0-64,https://www.zgddek.com/CN/Y2000/V2/I01,https://www.zgddek.com/CN/PDF/11915,
art11893,小儿急性白血病免疫表型和骨髓细胞DNA含量测定的临床意义,2000,01,2,1-3,https://www.zgddek.com/CN/Y2000/V2/I01,https://www.zgddek.com/CN/PDF/11893,
art11894,新生儿成熟度和产后日龄对血清钾水平的影响,2000,01,2,4-7,https://www.zgddek.com/CN/Y2000/V2/I01,https://www.zgddek.com/CN/PDF/11894,
art11891,鼻根部脑膜膨出致癫痫大发作手术治愈1例,2000,01,2,7-7,https://www.zgddek.com/CN/Y2000/V2/I01,https://www.zgddek.com/CN/PDF/11891,
art11896,复杂部分性癫痫持续状态的临床与脑电图特征,2000,01,2,8-11,https://www.zgddek.com/CN/Y2000/V2/I01,https://www.zgddek.com/CN/PDF/11896,
art11897,溴化异丙托品联合沙丁胺醇雾化治疗儿童哮喘,2000,01,2,12-14,https://www.zgddek.com/CN/Y2000/V2/I01,https://www.zgddek.com/CN/PDF/11897,
art11898,急性中枢神经系统感染患儿脑脊液中IL-6和TNF水平的测定及临床意义,2000,01,2,15-17,https://www.zgddek.com/CN/Y2000/V2/I01,https://www.zgddek.com/CN/PDF/11898,
art11900,在体微透析检测豚鼠胆红素脑病模型脑组织兴奋性氨基酸神经递质,2000,01,2,18-20,https://www.zgddek.com/CN/Y2000/V2/I01,https://www.zgddek.com/CN/PDF/11900,
art11892,结构型一氧化氮合酶基因表达在新生鼠缺氧性脑损伤中的作用,2000,01,2,21-23,https://www.zgddek.com/CN/Y2000/V2/I01,https://www.zgddek.com/CN/PDF/11892,
art11888,三种宫内发育迟缓大鼠模型方法的比较,2000,01,2,24-26,https://www.zgddek.com/CN/Y2000/V2/I01,https://www.zgddek.com/CN/PDF/11888,
