article_id,title,authors,year,issue,volumn_page,pdf_url,doi
20090101,研究中国癌症高发现场,,2009,1,http://www.chinaoncology.cn/zgzl8/ch/reader/issue_list.aspx?year_id=2009&quarter_id=1,http://www.chinaoncology.cn/zgzl8/ch/reader/create_pdf.aspx?file_no=20090101&year_id=2009&quarter_id=1&falg=1,
20090102,中国癌症高发现场报告,,2009,1,http://www.chinaoncology.cn/zgzl8/ch/reader/issue_list.aspx?year_id=2009&quarter_id=1,http://www.chinaoncology.cn/zgzl8/ch/reader/create_pdf.aspx?file_no=20090102&year_id=2009&quarter_id=1&falg=1,
20090103,癌症高发现场建设的示范意义和作用,,2009,1,http://www.chinaoncology.cn/zgzl8/ch/reader/issue_list.aspx?year_id=2009&quarter_id=1,http://www.chinaoncology.cn/zgzl8/ch/reader/create_pdf.aspx?file_no=20090103&year_id=2009&quarter_id=1&falg=1,
20090104,辽宁庄河胃癌防治现场报告,,2009,1,http://www.chinaoncology.cn/zgzl8/ch/reader/issue_list.aspx?year_id=2009&quarter_id=1,http://www.chinaoncology.cn/zgzl8/ch/reader/create_pdf.aspx?file_no=20090104&year_id=2009&quarter_id=1&falg=1,
20090105,嘉善县大肠癌高发现场报告,,2009,1,http://www.chinaoncology.cn/zgzl8/ch/reader/issue_list.aspx?year_id=2009&quarter_id=1,http://www.chinaoncology.cn/zgzl8/ch/reader/create_pdf.aspx?file_no=20090105&year_id=2009&quarter_id=1&falg=1,
20090106,中国女性乳腺癌危险因素的Meta分析,,2009,1,http://www.chinaoncology.cn/zgzl8/ch/reader/issue_list.aspx?year_id=2009&quarter_id=1,http://www.chinaoncology.cn/zgzl8/ch/reader/create_pdf.aspx?file_no=20090106&year_id=2009&quarter_id=1&falg=1,
20090107,女性乳腺癌危险因素的病例对照研究,,2009,1,http://www.chinaoncology.cn/zgzl8/ch/reader/issue_list.aspx?year_id=2009&quarter_id=1,http://www.chinaoncology.cn/zgzl8/ch/reader/create_pdf.aspx?file_no=20090107&year_id=2009&quarter_id=1&falg=1,
20090108,CYP1B1 SNPrs1056836、ER和PR与宁夏汉族乳腺癌遗传易感性研究,,2009,1,http://www.chinaoncology.cn/zgzl8/ch/reader/issue_list.aspx?year_id=2009&quarter_id=1,http://www.chinaoncology.cn/zgzl8/ch/reader/create_pdf.aspx?file_no=20090108&year_id=2009&quarter_id=1&falg=1,
20090109,MDM2启动子309位点多态性与乳腺癌易感性关系的Meta分析,,2009,1,http://www.chinaoncology.cn/zgzl8/ch/reader/issue_list.aspx?year_id=2009&quarter_id=1,http://www.chinaoncology.cn/zgzl8/ch/reader/create_pdf.aspx?file_no=20090109&year_id=2009&quarter_id=1&falg=1,
20090110,细胞色素P450药物氧化酶基因多态性与乳腺癌易感性研究进展,,2009,1,http://www.chinaoncology.cn/zgzl8/ch/reader/issue_list.aspx?year_id=2009&quarter_id=1,http://www.chinaoncology.cn/zgzl8/ch/reader/create_pdf.aspx?file_no=20090110&year_id=2009&quarter_id=1&falg=1,
20090111,胰腺导管腺癌细胞起源的探讨,,2009,1,http://www.chinaoncology.cn/zgzl8/ch/reader/issue_list.aspx?year_id=2009&quarter_id=1,http://www.chinaoncology.cn/zgzl8/ch/reader/create_pdf.aspx?file_no=20090111&year_id=2009&quarter_id=1&falg=1,
20090112,蛋白质组学及其在乳腺癌研究中的应用,,2009,1,http://www.chinaoncology.cn/zgzl8/ch/reader/issue_list.aspx?year_id=2009&quarter_id=1,http://www.chinaoncology.cn/zgzl8/ch/reader/create_pdf.aspx?file_no=20090112&year_id=2009&quarter_id=1&falg=1,
20090113,肿瘤热疗机制的研究进展,,2009,1,http://www.chinaoncology.cn/zgzl8/ch/reader/issue_list.aspx?year_id=2009&quarter_id=1,http://www.chinaoncology.cn/zgzl8/ch/reader/create_pdf.aspx?file_no=20090113&year_id=2009&quarter_id=1&falg=1,
