article_id,title,authors,year,issue,volumn_page,pdf_url,doi
8349,广东省结核病耐药性基线调查研究,钟球 尹建军 钱明 周琳 陈涛 李建伟 黄桂清 蒋莉,未知,1135,https://www.zgflzz.cn/CN//volumn/volumn_1135.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=8349,
8363,利福平致急性支气管哮喘1例,刘忠明,未知,1135,https://www.zgflzz.cn/CN//volumn/volumn_1135.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=8363,
8350,应用E7多肽/HLA-DR8四聚体监测治疗前后肺结核患者外周血多肽特异性CD4+T细胞的变化,黎意芬 黄利荣 刘国标 方毅敏 李研 彭毅 赖小敏,未知,1135,https://www.zgflzz.cn/CN//volumn/volumn_1135.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=8350,
8351,深圳市流动人口初治涂阳肺结核患者治疗管理需求调查分析,管红云 杨应周 谭卫国 吕建文 吴清芳,未知,1135,https://www.zgflzz.cn/CN//volumn/volumn_1135.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=8351,
8352,肺结核后空洞内继发曲菌球两种治疗方法的比较研究,郑闽莉 汤春梅 肖海浩 刘伟光 方琼 谢艺开 张言斌,未知,1135,https://www.zgflzz.cn/CN//volumn/volumn_1135.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=8352,
8353,结核分枝杆菌和艾滋病病毒双重感染防治合作模式与效果,成诗明 周林 刘二勇 王雪静 赖钰基 王冬梅 李东民 汪宁,未知,1135,https://www.zgflzz.cn/CN//volumn/volumn_1135.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=8353,
8354,胸腔积液肿瘤坏死因子-α检测对结核性胸膜炎与肺癌鉴别诊断的意义,谢育琴 张锦宏 谢丽兰,未知,1135,https://www.zgflzz.cn/CN//volumn/volumn_1135.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=8354,
8355,围手术期心理支持疗法对老年结核病患者术后认知功能障碍的影响,陶曙 曾华志 韦燕芳 范玉云 叶敏涛 刘洪涛,未知,1135,https://www.zgflzz.cn/CN//volumn/volumn_1135.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=8355,
8356,广东省结核病患者艾滋病病毒感染现况调查分析,钟球 李建伟 周琳 蒋莉 连永娥,未知,1135,https://www.zgflzz.cn/CN//volumn/volumn_1135.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=8356,
8357,广东省耐多药肺结核预警模型的研究,周琳 钟球 刘永奇 蒋莉 吴惠忠,未知,1135,https://www.zgflzz.cn/CN//volumn/volumn_1135.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=8357,
8358,1984—2008年中国结核病死亡数据概况分析,刘剑君 王黎霞 么鸿雁 王萍 郑文静,未知,1135,https://www.zgflzz.cn/CN//volumn/volumn_1135.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=8358,
8359,深圳市宝安区流动人口肺结核患者跨区域转出状况分析,赵梅桂 郭玲 赵安贵 孙碧慧 郑娟娟,未知,1135,https://www.zgflzz.cn/CN//volumn/volumn_1135.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=8359,
8360,结核分枝杆菌中的泛素样蛋白-蛋白酶体系统研究进展,刘翠华 黄红娜 王琪 郑焙文 宝利,未知,1135,https://www.zgflzz.cn/CN//volumn/volumn_1135.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=8360,
8361,248例结核病合并糖尿病住院患者的临床分析,史祥 尹洪云,未知,1135,https://www.zgflzz.cn/CN//volumn/volumn_1135.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=8361,
8362,肺结核合并妊娠12例治疗情况分析,冀澍雨 王晓虹 李桂琴 刘瑾 曹凯 王岩,未知,1135,https://www.zgflzz.cn/CN//volumn/volumn_1135.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=8362,
8364,山西省抗结核药品管理标准操作手册执行情况报告,王春蒲 李晓清,未知,1135,https://www.zgflzz.cn/CN//volumn/volumn_1135.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=8364,
8365,中国防痨杂志第八届编委会第一次全体会议纪要,张晓进 范永德 薛爱华,未知,1135,https://www.zgflzz.cn/CN//volumn/volumn_1135.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=8365,
10877,上海市肺科医院首次复治肺结核临床调查分析,"张忠顺, 肖和平",未知,1147,https://www.zgflzz.cn/CN//volumn/volumn_1147.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=10877,
10887,深圳市结核病防治规划实施5年效果分析,"许丽, 杨应周, 吴清芳, 张玉华, 管红云, 李明珍",未知,1147,https://www.zgflzz.cn/CN//volumn/volumn_1147.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=10887,
10878,农村与城镇肺结核患者心理健康状况及影响因素的对照研究,"宋凯,赵家明, 石作宏, 钟蜀华, 梁永奎, 李家伟, 黄延, 徐玉琴, 董利生",未知,1147,https://www.zgflzz.cn/CN//volumn/volumn_1147.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=10878,
10888,涂阳肺结核病人密切接触者筛查现状及影响筛查因素的研究,"程俊, 王银发, 李永文, 初磊",未知,1147,https://www.zgflzz.cn/CN//volumn/volumn_1147.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=10888,
10879,初治涂阳肺结核治愈后近期复发预测模型,"伍小英, 谭守勇, 张晋昕, 梁敏青, 陈其琛, 刘国标温文沛, 梁国飞, 梁国添, 罗少霞",未知,1147,https://www.zgflzz.cn/CN//volumn/volumn_1147.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=10879,
10880,宁夏同心县结核病防治情况分析,"王生全, 李志亮, 马风玉",未知,1147,https://www.zgflzz.cn/CN//volumn/volumn_1147.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=10880,
10889,大学生肺结核病人患病体验的现象学研究,"张少茹, 张天华, 李晓虹, 张金静",未知,1147,https://www.zgflzz.cn/CN//volumn/volumn_1147.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=10889,
10881,新入院肺结核患者文化休克现象调查分析及护理对策,"李凤娟, 闫小婷, 南琴, 王新宏",未知,1147,https://www.zgflzz.cn/CN//volumn/volumn_1147.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=10881,
10890,乌鲁木齐市肺结核査痰点工作分析,"刘泓, 雷志刚",未知,1147,https://www.zgflzz.cn/CN//volumn/volumn_1147.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=10890,
10891,气管、支气管结核112例临床分析,"王泽兴, 吴荣芹, 王宪众, 李强",未知,1147,https://www.zgflzz.cn/CN//volumn/volumn_1147.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=10891,
10882,肺结核病人院内感染病原菌及其耐药性检测分析,"陈子芳, 魏海冬, 劳海黎, 胡立珍, 王松涛, 周蕾",未知,1147,https://www.zgflzz.cn/CN//volumn/volumn_1147.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=10882,
10892,肺血管肉瘤的诊断与治疗——附1例报告并文献复习,"王巍, 李宁, 梁建琴, 王金河, 黄玉清",未知,1147,https://www.zgflzz.cn/CN//volumn/volumn_1147.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=10892,
10883,手术标本中结核分枝杆菌检测及临床意义研究,"吴晓光, 陆宇, 高孟秋, 王子彤, 韩鸣, 马丽萍",未知,1147,https://www.zgflzz.cn/CN//volumn/volumn_1147.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=10883,
10884,结核分枝杆菌持留生存机制的研究进展,"何子纯, 李升锦",未知,1147,https://www.zgflzz.cn/CN//volumn/volumn_1147.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=10884,
10885,武警某部一起肺结核暴发流行的调查分析,"来力伟, 刘政, 谭国超, 郭亚玲",未知,1147,https://www.zgflzz.cn/CN//volumn/volumn_1147.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=10885,
10886,乙胺丁醇致严重视神经炎1例,"张凯, 王涛, 苏琼琼, 贺路星, 朱玲, 郭帅",未知,1147,https://www.zgflzz.cn/CN//volumn/volumn_1147.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=10886,
11243,广西新登记结核病人中艾滋病病毒感染者人群特征分析,"董柏青, 王喜文, 刘飞鹰, 崔哲哲, 周昌明",未知,1148,https://www.zgflzz.cn/CN//volumn/volumn_1148.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11243,
10937,贵州省结核病防治机构专业人员调查与分析,"陈慧娟, 李杨, 商宇",未知,1148,https://www.zgflzz.cn/CN//volumn/volumn_1148.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=10937,
11112,世界银行贷款/英国赠款中国结核病控制项目对凯里市结核病控制的影响,"吴胜元, 雷建华",未知,1148,https://www.zgflzz.cn/CN//volumn/volumn_1148.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11112,
10938,山东省苍山县结核患者发现方式分析,"陈向君, 陈沛学, 王继江, 陶韬, 胡屹",未知,1148,https://www.zgflzz.cn/CN//volumn/volumn_1148.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=10938,
11113,怀柔区2007—2008年非结防机构网络直报肺结核病人追踪及核实情况分析,崔国强,未知,1148,https://www.zgflzz.cn/CN//volumn/volumn_1148.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11113,
11114,1286例涂阳肺结核患者系列痰涂片镜检结果分析,张丽祥,未知,1148,https://www.zgflzz.cn/CN//volumn/volumn_1148.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11114,
10939,16县（区）结核病患者HIV感染现状监测结果与分析,"史四九, 方雪晖, 李玲",未知,1148,https://www.zgflzz.cn/CN//volumn/volumn_1148.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=10939,
10940,北京市朝阳区外来人口结核病防治知识知晓情况调查分析,"李伟, 王立, 高文慧, 吕晶, 王泉来, 高天师, 扬智斌, 沈效华, 赵丽华",未知,1148,https://www.zgflzz.cn/CN//volumn/volumn_1148.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=10940,
11115,内蒙古第一轮全球基金结核病项目实施经验,高雨龙,未知,1148,https://www.zgflzz.cn/CN//volumn/volumn_1148.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11115,
11116,南疆地区住院肺结核病人诊断、转诊和治疗简况,"邰新蓉, 杨太华",未知,1148,https://www.zgflzz.cn/CN//volumn/volumn_1148.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11116,
10941,流动人口肺结核患者健康教育现况分析,"李雪, 姜世闻",未知,1148,https://www.zgflzz.cn/CN//volumn/volumn_1148.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=10941,
11117,366例结核性脑膜炎临床分析,"何约明, 林一苹, 邱庆南, 庄锡彬, 黄鸿波, 郭伟峰, 黄弘",未知,1148,https://www.zgflzz.cn/CN//volumn/volumn_1148.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11117,
10942,胸壁结核的CT诊断,"张磊, 周衍慧",未知,1148,https://www.zgflzz.cn/CN//volumn/volumn_1148.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=10942,
11221,经纤维支气管镜注药联合雾化吸入治疗支气管结核的疗效观察,"陆兰英, 靖秋生, 王卫华",未知,1148,https://www.zgflzz.cn/CN//volumn/volumn_1148.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11221,
11222,广西武鸣县首次复治涂阳肺结核病例分析,蒙福荣,未知,1148,https://www.zgflzz.cn/CN//volumn/volumn_1148.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11222,
