article_id,title,author,issue_url,pdf_url
10.1002/ped4.70021,"Association between dietary preferences and asthma among first-grade primary school
                     children","Xinyue Zhang,Xiaosa Wen,Tao Liu,Yongquan Yu,Liujie Zhu,Yingzi Chen,Dan Yu,Su Xu,Zengliang Ruan",https://mednexus.org/toc/pi/09/04,https://mednexus.org/doi/pdf/10.1002/ped4.70021?download=true
10.1002/ped4.70018,"Global, regional, and national burden of brain and central nervous system cancer in
                     children and adolescents, 1990–2021: A systematic analysis of the Global Burden of
                     Disease study 2021","Yafang Deng,Qiang Gao,Wei Zhang",https://mednexus.org/toc/pi/09/04,https://mednexus.org/doi/pdf/10.1002/ped4.70018?download=true
10.1002/ped4.70025,"The utility of C-reactive protein in neonatal early-onset sepsis screening: A territory-wide
                     cohort analysis","Xuelian Wang,Hoi Ying Sharon Lau,Hiu Ying Peggy Chan,Po Gee Genevieve Fung,Hugh Simon Lam",https://mednexus.org/toc/pi/09/04,https://mednexus.org/doi/pdf/10.1002/ped4.70025?download=true
10.1002/ped4.70032,"Dynamic relationships between bilirubin concentrations and the gut microbiota in the
                     neonatal period: A pilot prospective cohort study","Zhongyuan Li,Yan Zhang,Xi Luo,Yangyang Wang,Lihua Peng,Liping Zou",https://mednexus.org/toc/pi/09/04,https://mednexus.org/doi/pdf/10.1002/ped4.70032?download=true
10.1002/ped4.70009,"Application of machine learning in constructing a diagnostic model for neonatal biliary
                     atresia","Dingding Wang,Jie Sun,Yuyan Jin,Yanan Zhang,Yong Zhao,Kaiyun Hua,Yichao Gu,Shuangshuang Li,Junmin Liao,Peize Wang,Dayan Sun,Jinshi Huang",https://mednexus.org/toc/pi/09/04,https://mednexus.org/doi/pdf/10.1002/ped4.70009?download=true
10.1002/ped4.70015,"Sex-specific associations between hypertensive disorders in pregnancy and fetal and
                     placental weight","Alexandra R. Sitarik,Ganesa Wegienka,Christine C. Johnson,Raminder Khangura,Jennifer K. Straughen,Andrea E. Cassidy-Bushrow",https://mednexus.org/toc/pi/09/04,https://mednexus.org/doi/pdf/10.1002/ped4.70015?download=true
10.1002/ped4.70023,"A 15-year population-based study on incidence and vaccination coverage in pediatric
                     inflammatory bowel disease in Italy","Francesca Fortunato,Angelo Campanozzi,Michele Di Toma,Alessandra Marinari,Domenico Martinelli",https://mednexus.org/toc/pi/09/04,https://mednexus.org/doi/pdf/10.1002/ped4.70023?download=true
10.1002/ped4.70019,"Pediatric human immunodeficiency virus infection in the modern era: A systematic review
                     of recent advances and their implications","Klaudia Nowak,Krzysztof Łupina,Dominika Lorek,Aleksandra Jabłońska,Alicja Radomska,Tymon Choromański,Jakub Janczura",https://mednexus.org/toc/pi/09/04,https://mednexus.org/doi/pdf/10.1002/ped4.70019?download=true
10.1002/ped4.70004,"Obstruction caused by suprasellar cisterna arachnoid cyst expansion after ventriculoperitoneal
                     shunt in children with hydrocephalus","Dapeng Li,Wenping Ma,Ming Ge,Di Zhang",https://mednexus.org/toc/pi/09/04,https://mednexus.org/doi/pdf/10.1002/ped4.70004?download=true
10.1002/ped4.70026,"Infectious mononucleosis complicated with Kawasaki disease: Two case reports and literature
                     review","Mengjia Liu,Lingyun Guo,Qinjing Li,Dilara Dilmurat,Gang Liu,Zhengde Xie",https://mednexus.org/toc/pi/09/04,https://mednexus.org/doi/pdf/10.1002/ped4.70026?download=true
