article_id,title,year,issue,volume,pdf_url
2025_1_1,中华人民共和国国家卫生健康委员会 国家中医药管理局 页码:1,2025,1,52,http://gl.hmc.edu.cn/upload/files/202501001.pdf
2025_1_2,褚洪坤  孙浩  范继媛  方佳文  李仕毓  吴钦利  李静  郑斌  陆绍红 页码:8,2025,1,52,http://gl.hmc.edu.cn/upload/files/202501002.pdf
2025_1_3,刘世博 黄逸伦 杨新燕 朱明利 页码:17,2025,1,52,http://gl.hmc.edu.cn/upload/files/202501003.pdf
2025_1_4,陈毓 吴紫伊 徐杭聪 宋小军 陈乐扬 吕火烊 朱坤 金大智 页码:24,2025,1,52,http://gl.hmc.edu.cn/upload/files/202501004.pdf
2025_1_5,邹容容 王君 袁静 陈凤 页码:32,2025,1,52,http://gl.hmc.edu.cn/upload/files/202501005.pdf
2025_1_6,朱香琴 金芳 李栋立 邹伟华 童照威 钱福初 页码:41,2025,1,52,http://gl.hmc.edu.cn/upload/files/202501006.pdf
2025_1_7,罗小福 张超 韩利萍 沈建勇 胡昱 丁林玲 吕华坤 页码:47,2025,1,52,http://gl.hmc.edu.cn/upload/files/202501007.pdf
2025_1_8,张春娟  马小董  汪玉龙  邱刚  邬梅珍 页码:55,2025,1,52,http://gl.hmc.edu.cn/upload/files/202501008.pdf
2025_1_9,张梦竹 孟忠吉 王传敏 页码:61,2025,1,52,http://gl.hmc.edu.cn/upload/files/202501009.pdf
2025_1_10,侯越 易爱芬 宋宏伟 俎振英 王友明 张瑶 张如路 页码:67,2025,1,52,http://gl.hmc.edu.cn/upload/files/202501010.pdf
2025_2_1,王贵强  闫秋敬 页码:73,2025,2,52,http://gl.hmc.edu.cn/upload/files/202504001.pdf
2025_2_2,张佳莹    孟庆华 页码:81,2025,2,52,http://gl.hmc.edu.cn/upload/files/202504002.pdf
2025_2_3,徐言文    李嫣    王猛    谢永平   章虎   卢美娜    孙妍    徐姗姗    颜伟慧   成芳芳    刘志峰    陈益平  黄丽素 页码:87,2025,2,52,http://gl.hmc.edu.cn/upload/files/202504003.pdf
2025_2_4,张紫怡    杨丽    李新婷    邵彤彤    郑嵘炅    鲁晓擘 页码:96,2025,2,52,http://gl.hmc.edu.cn/upload/files/202504004.pdf
2025_2_5,刘佳    米瑞华    陈琳    魏旭东 页码:102,2025,2,52,http://gl.hmc.edu.cn/upload/files/202504005.pdf
2025_2_6,梁辉    戚小华    严睿    唐学雯    陈雅萍    吕华坤    潘雪娇 页码:109,2025,2,52,http://gl.hmc.edu.cn/upload/files/202504006.pdf
2025_2_7,叶云凤    邓宝清    黄李成    温桂春    晏瑞琳 页码:114,2025,2,52,http://gl.hmc.edu.cn/upload/files/202504007.pdf
2025_2_8,龙思琴    刘炉香 页码:119,2025,2,52,http://gl.hmc.edu.cn/upload/files/202504008.pdf
2025_2_9,刘文娟    田云龙    邢莉丽    李燕    宋燕    王文君    张馨予 页码:125,2025,2,52,http://gl.hmc.edu.cn/upload/files/202504009.pdf
2025_2_10,楼怡寒    陆怡凯    姚文武    吴卓颖    杨章女 页码:130,2025,2,52,http://gl.hmc.edu.cn/upload/files/202504010.pdf
2025_2_11,曾雪灵    常宇飞    刘雨薇    王凌航 页码:136,2025,2,52,http://gl.hmc.edu.cn/upload/files/202504011.pdf
2025_2_12,沈舒    卢慧玲 页码:141,2025,2,52,http://gl.hmc.edu.cn/upload/files/202504012.pdf
2025_3_1,页码:145,2025,3,52,http://gl.hmc.edu.cn/upload/files/202503001.pdf
2025_3_2,王与可 张缭云 杨慧军 牛斌 王蓉 任姣龙 页码:158,2025,3,52,http://gl.hmc.edu.cn/upload/files/202503002.pdf
2025_3_3,牟娅妮 宋雪 李小露 张婷 页码:166,2025,3,52,http://gl.hmc.edu.cn/upload/files/202503003.pdf
2025_3_4,王群 张熙 章虎 张贤丽 杨鑫月 王李佳 黄丽素 页码:172,2025,3,52,http://gl.hmc.edu.cn/upload/files/202503004.pdf
2025_3_5,潘璐璐 靳飞 刘勇 周海松 吕为刚 周卫维 韩碧华 石晨 郭翔 董犇 李庆亮 吴志伟 页码:181,2025,3,52,http://gl.hmc.edu.cn/upload/files/202503005.pdf
2025_3_6,吴健美 邱银伟 侯妍 赖文婕 潘程阳 林君芬 俞敏 沈清 页码:187,2025,3,52,http://gl.hmc.edu.cn/upload/files/202503006.pdf
2025_3_7,辛明明 马序竹 林明贵 页码:195,2025,3,52,http://gl.hmc.edu.cn/upload/files/202503007.pdf
2025_3_8,陈玮滢 王美芬 页码:204,2025,3,52,http://gl.hmc.edu.cn/upload/files/202503008.pdf
2025_3_9,徐文绮 郑和平 陈祥生 尹跃平 页码:209,2025,3,52,http://gl.hmc.edu.cn/upload/files/202503009.pdf
2025_3_10,王强 饶桂华 赵芳 赵步芳 江月 周毅彬 许学斌 陈明亮 页码:215,2025,3,52,http://gl.hmc.edu.cn/upload/files/202503010.pdf
2025_4_1,中华人民共和国国家卫生健康委员会  国家中医药管理局 页码:217,2025,4,52,http://gl.hmc.edu.cn/upload/files/2025020001.pdf
2025_4_2,国家疾病预防控制局  中华人民共和国国家卫生健康委员会 页码:222,2025,4,52,http://gl.hmc.edu.cn/upload/files/2025020002.pdf
2025_4_3,赵潇枭  崔坤平  白浪 页码:228,2025,4,52,http://gl.hmc.edu.cn/upload/files/2025020003.pdf
2025_4_4,周天天  张超  李思雯  李蔚璇  张丹  王锐泽  胡伟军 页码:235,2025,4,52,http://gl.hmc.edu.cn/upload/files/2025020004.pdf
2025_4_5,张驰  朱栒仪  卢旖颖  张佳仪  张志华  张旭彬  许璐 页码:241,2025,4,52,http://gl.hmc.edu.cn/upload/files/2025020005.pdf
2025_4_6,张亚宁  杨培荣  严钏元   李红兵   校雨雨 页码:247,2025,4,52,http://gl.hmc.edu.cn/upload/files/2025020006.pdf
2025_4_7,邱爱华  翟艳  周海燕  孟庆慧 页码:255,2025,4,52,http://gl.hmc.edu.cn/upload/files/2025020007.pdf
2025_4_8,邢莉丽  江吉德  刘文娟  田云龙  李燕  宋燕  张馨予 页码:261,2025,4,52,http://gl.hmc.edu.cn/upload/files/2025020008.pdf
2025_4_9,李燕双  朱义玲  赵卫峰 页码:266,2025,4,52,http://gl.hmc.edu.cn/upload/files/2025020009.pdf
2025_4_10,胡昱  任江萍  陈恩富 页码:272,2025,4,52,http://gl.hmc.edu.cn/upload/files/2025020010.pdf
2025_4_11,王礼奉  付海艳  李红娟  何维曜臻  页码:280,2025,4,52,http://gl.hmc.edu.cn/upload/files/2025020011.pdf
2025_4_12,王琳 王熙苑  王艳 页码:286,2025,4,52,http://gl.hmc.edu.cn/upload/files/2025020012.pdf
2025_5_1,中华人民共和国国家卫生健康委员会 国家中医药管理局	 页码:289,2025,5,52,http://gl.hmc.edu.cn/upload/files/202505001.pdf
2025_5_2,王乐乐 唐神结 李佩波 页码:293,2025,5,52,http://gl.hmc.edu.cn/upload/files/202505002.pdf
2025_5_3,谭蔚然 曹意 赵和平 达芬琪 柯迎春 唐小平 李凌华 页码:301,2025,5,52,http://gl.hmc.edu.cn/upload/files/202505003.pdf
