article_id,title,author,issue_url,pdf_url
10.1097/JD9.0000000000000409,"Variations in Sexually Transmitted Infection Self-Testing Response Rates and Self-Sampling
                     Submission Rates Among Men Who Have Sex With Men Recruited via Different Approaches:
                     A Multi-Center Observational Study","Yan Han,Yue-Ping Yin,Dong Xiao,Ning-Xiao Cao,Mei-Qin Shi,Kai Chen,Wen-Qi Xu,Ting-Ting Jiang,Kevin Park,Xiang-Sheng Chen",https://mednexus.org/toc/ijdv/08/02,https://mednexus.org/doi/pdf/10.1097/JD9.0000000000000409?download=true
10.1097/JD9.0000000000000417,"Clinical Efficacy of Sofpironium Bromide in Reducing Odor Intensity in Axillary Osmidrosis
                     Complicated by Primary Axillary Hyperhidrosis: A Cohort Study","Hiroaki Kuwahara,Ken Kubomura,Yuta Tsurugaya,Satoshi Akaishi",https://mednexus.org/toc/ijdv/08/02,https://mednexus.org/doi/pdf/10.1097/JD9.0000000000000417?download=true
10.1097/JD9.0000000000000394,"Impact of 30.0% Supramolecular Salicylic Acid Combined With Ultra-Pulse Carbon Dioxide
                     Fractional Laser Therapy on Facial Atrophic Acne Scars: A Retrospective Case-Control
                     Study",Xiu-Feng LiuandMan-Chang Yu,https://mednexus.org/toc/ijdv/08/02,https://mednexus.org/doi/pdf/10.1097/JD9.0000000000000394?download=true
10.1097/JD9.0000000000000337,"Identification of Key Pathways and Genes Involved in Psoriasis and Vitiligo Using
                     Bioinformatics Analysis","Jing-Zhan Zhang,Pan-Pan Zhang,Yuan Ding,Ting-Ting Li,Xiao-Jing Kang",https://mednexus.org/toc/ijdv/08/02,https://mednexus.org/doi/pdf/10.1097/JD9.0000000000000337?download=true
10.1097/JD9.0000000000000420,"Assessment of Serum Interleukin-15 in Patients With Psoriasis: A Prospective Case-Control
                     Study","Nagat Sobhy,Hanaa Donia,Aya Farouk,Ahmed Abdel-Bary",https://mednexus.org/toc/ijdv/08/02,https://mednexus.org/doi/pdf/10.1097/JD9.0000000000000420?download=true
10.1097/JD9.0000000000000268,Role of FGFR3 in Proliferation and Differentiation of High-Risk HPV-Positive Cells,"Fang Xie,Jia Bai,Xian-Fu Meng,Li Zhang,Xiang-Yu Ding,Wen-Wei Zhu,Li-Chuan Tang,Yong-Hong Hao,Yi-Lin Wang,Cheng-Xin Li",https://mednexus.org/toc/ijdv/08/02,https://mednexus.org/doi/pdf/10.1097/JD9.0000000000000268?download=true
10.1097/JD9.0000000000000233,"Clinical Analysis of 57 Patients With Interdigital Infection in Shanghai, China: A
                     Cross-Sectional Study","Qian Yu,Wei Li,Si-Yue Kan,Xiao-Ping Liu,Hong Yang,Zhi-Qin Gao,Jian Chen,Lian-Juan Yang",https://mednexus.org/toc/ijdv/08/02,https://mednexus.org/doi/pdf/10.1097/JD9.0000000000000233?download=true
10.1097/JD9.0000000000000382,"Macrophage Polarization and Crosstalk Between Macrophages and Other Cells in Hidradenitis
                     Suppurativa","Qiu-Jing Zhang,Yi-Bo Feng,Xiang Chen,Xiao-Hui Mo,Qiong Wu,Qiang Ju",https://mednexus.org/toc/ijdv/08/02,https://mednexus.org/doi/pdf/10.1097/JD9.0000000000000382?download=true
10.1097/JD9.0000000000000265,"Lipoid Proteinosis Due to Homozygous Nonsense Mutation in Extracellular Matrix Protein
                     1 Gene in 3 Pakistani Siblings","Hira Tariq,Shahbano Jawad,Shahbaz Aman,Anjum Saeed,Huma Arshad Cheema",https://mednexus.org/toc/ijdv/08/02,https://mednexus.org/doi/pdf/10.1097/JD9.0000000000000265?download=true
10.1097/JD9.0000000000000305,Penile Herpes Zoster Misdiagnosed as Herpes Simplex Virus Infection: A Case Report,Shaliz AflatooniandOmeed Ahadiat,https://mednexus.org/toc/ijdv/08/02,https://mednexus.org/doi/pdf/10.1097/JD9.0000000000000305?download=true
10.1097/JD9.0000000000000177,"Angiokeratoma-Like Lesions Caused by Posttraumatic Stress May Spontaneously Regress:
                     A Case Report","Shi-Qi Ling,Wei Zhang,Su-Ying Feng,Hao Chen,Wen-Kai Zong",https://mednexus.org/toc/ijdv/08/02,https://mednexus.org/doi/pdf/10.1097/JD9.0000000000000177?download=true
10.1097/JD9.0000000000000413,"The Aging Face Is a Fractal: It Is Pi π, Not Phi φ",Wan-Lin Teo,https://mednexus.org/toc/ijdv/08/02,https://mednexus.org/doi/pdf/10.1097/JD9.0000000000000413?download=true
10.1097/JD9.0000000000000426,"Platelet-Rich Plasma for Androgenetic Alopecia: What the Dermatologist Needs to Know:
                     Erratum",无作者,https://mednexus.org/toc/ijdv/08/02,https://mednexus.org/doi/pdf/10.1097/JD9.0000000000000426?download=true
