article_id,title,authors,doi,detail_url,pdf_url,issue_url
343,醛糖还原酶(AR)参与大鼠MsC表达iNOS和NO及其调控机制的研究,瞿俊杰 蒋涛 林伊凤  李慧  陈琦   张农△,,https://jms.fudan.edu.cn/CN/Y2008/V35/I3/319,https://jms.fudan.edu.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=343,https://jms.fudan.edu.cn/CN/Y2008/V35/I3
344,hand2 基因对斑马鱼胚胎发育影响的实验研究,孙淑娜  桂永浩△  宋后燕    蒋璆    王跃祥,,https://jms.fudan.edu.cn/CN/Y2008/V35/I3/325,https://jms.fudan.edu.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=344,https://jms.fudan.edu.cn/CN/Y2008/V35/I3
346,CD40L在M2型巨噬细胞类型转换中的作用,郭强▲△李康▲ 徐薇 关庆东 储以微 熊思东△▲,,https://jms.fudan.edu.cn/CN/Y2008/V35/I3/330,https://jms.fudan.edu.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=346,https://jms.fudan.edu.cn/CN/Y2008/V35/I3
345,减毒鼠伤寒沙门氏菌作为肿瘤基因治疗载体的低毒性和靶向性研究,周易明  刘常星   邬剑华   王依婷  陈宗祐Δ,,https://jms.fudan.edu.cn/CN/Y2008/V35/I3/336,https://jms.fudan.edu.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=345,https://jms.fudan.edu.cn/CN/Y2008/V35/I3
347,高脂血症小鼠心脏和肺组织中eNOS及HO-1的表达,江一峰  曹晓娥△  王丽  赵凤娣  殷莲华,,https://jms.fudan.edu.cn/CN/Y2008/V35/I3/342,https://jms.fudan.edu.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=347,https://jms.fudan.edu.cn/CN/Y2008/V35/I3
350,DNA修复基因XRCC1密码子194多态性与肺癌易感性研究,苏佳;牛润贵 韩小友 史建平 刘力 李家伟 卫国荣 陈传炜 俞顺章 张作风 穆丽娜△,,https://jms.fudan.edu.cn/CN/Y2008/V35/I3/348,https://jms.fudan.edu.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=350,https://jms.fudan.edu.cn/CN/Y2008/V35/I3
349,苏州地区临床分离儿童肺炎链球菌耐药情况分析,张涛;赵根明;陶云珍;陈蓉;诸丽娟;林玉尊;丁云芳  郝创利Δ,,https://jms.fudan.edu.cn/CN/Y2008/V35/I3/353,https://jms.fudan.edu.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=349,https://jms.fudan.edu.cn/CN/Y2008/V35/I3
348,多聚物-1反应性 T细胞对高眼压大鼠视网膜神经节细胞的保护机制,李霞     钱韶红△   孙兴怀,,https://jms.fudan.edu.cn/CN/Y2008/V35/I3/358,https://jms.fudan.edu.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=348,https://jms.fudan.edu.cn/CN/Y2008/V35/I3
352,星点设计-效应面法优化柘树提取物片剂处方,吴海健  王建新Δ  黄建明  韩丽妹  侯爱君Δ,,https://jms.fudan.edu.cn/CN/Y2008/V35/I3/363,https://jms.fudan.edu.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=352,https://jms.fudan.edu.cn/CN/Y2008/V35/I3
351,锁骨下喙突入路臂丛神经阻滞—单点定位法和两点定位法的比较,车薛华  梁伟民△  李佩盈,,https://jms.fudan.edu.cn/CN/Y2008/V35/I3/369,https://jms.fudan.edu.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=351,https://jms.fudan.edu.cn/CN/Y2008/V35/I3
