article_id,title,author,issue_url,pdf_url
10.1097/CD9.0000000000000177,"Impact of Aortic Annulus Angulation on the Outcomes of Transcatheter Aortic Valve
                     Replacement in Bicuspid Anatomy","Yijun Yao,Zhengang Zhao,Yong Peng,Jiafu Wei,Sen He,Yiming Li,Tianyuan Xiong,Fei Chen,Zhongkai Zhu,Yuan Feng,Mao Chen",https://mednexus.org/toc/cd/05/04,https://mednexus.org/doi/pdf/10.1097/CD9.0000000000000177?download=true
10.1097/CD9.0000000000000174,"Real-World Predictor Factors and Clinical Outcomes in Patients With Major Depressive
                     Disorder Undergoing Percutaneous Coronary Intervention: Rationale and Study Protocol
                     for the PCI CODE Study","Xiao Jiang,Jun Wang,Tian Xu,Junjie Zhang,Xiaodong Mu,Jing Kan,Fei Ye,Xiaofei Gao,Nailiang Tian,Song Lin,Zhizhong Liu,Zhen Ge,Xiaobo Li,Zhiming Wu,Xiangquan Kong,Guangfeng Zuo,Wei You,Liang Chen,Shoujie Shan,Guozhen Jin,Mingxue Shao,Yaguo Zheng,…See all authors",https://mednexus.org/toc/cd/05/04,https://mednexus.org/doi/pdf/10.1097/CD9.0000000000000174?download=true
10.1097/CD9.0000000000000180,Introduction of Heart Failure: An Increasing Public Health Concern,Jian ZhangandJiayu Feng,https://mednexus.org/toc/cd/05/04,https://mednexus.org/doi/pdf/10.1097/CD9.0000000000000180?download=true
10.1097/CD9.0000000000000173,Epidemiology and Burden of Heart Failure,Zhaoxu JiaandXin Du,https://mednexus.org/toc/cd/05/04,https://mednexus.org/doi/pdf/10.1097/CD9.0000000000000173?download=true
10.1097/CD9.0000000000000175,Innovative Approaches in the Early Detection of Heart Failure,"A Z M Fahim Siddique,Yue Li,Tiankai Li",https://mednexus.org/toc/cd/05/04,https://mednexus.org/doi/pdf/10.1097/CD9.0000000000000175?download=true
10.1097/CD9.0000000000000178,Modern Understanding in the Causes and Prevention of Heart Failure,"Qingchun Zeng,Qiong Zhan,Sijie Jiang,Dingli Xu",https://mednexus.org/toc/cd/05/04,https://mednexus.org/doi/pdf/10.1097/CD9.0000000000000178?download=true
10.1097/CD9.0000000000000179,Cardiovascular Implantable Electronic Device Therapies for Chronic Heart Failure,"Le Zhu,Wei Li,Wande Yu,Bin Li,Hang Zhang",https://mednexus.org/toc/cd/05/04,https://mednexus.org/doi/pdf/10.1097/CD9.0000000000000179?download=true
10.1097/CD9.0000000000000172,Heart Failure With Comorbidities,Yunhao LiandMing Liang,https://mednexus.org/toc/cd/05/04,https://mednexus.org/doi/pdf/10.1097/CD9.0000000000000172?download=true
10.1097/CD9.0000000000000171,Patient Education and Self-Management for Heart Failure,"Naiyuan Sun,Yan Ma,Ruihua Cao,Feng Cao",https://mednexus.org/toc/cd/05/04,https://mednexus.org/doi/pdf/10.1097/CD9.0000000000000171?download=true
10.1097/CD9.0000000000000176,Emerging Research and Innovations in Heart Failure,"Ziyang Yang,Dongling Luo,Caojin Zhang",https://mednexus.org/toc/cd/05/04,https://mednexus.org/doi/pdf/10.1097/CD9.0000000000000176?download=true
10.1097/CD9.0000000000000162,"Association Between Maternal Serum N-Terminal Pro-B-Type Natriuretic Peptide Level
                     and Gestational Duration in Patients With Pulmonary Hypertension","Kaixun Zhao,Ziyang Yang,Yin Zhou,Nanshan Xie,Disheng Lai,Fengzhen Han,Caojin Zhang",https://mednexus.org/toc/cd/05/03,https://mednexus.org/doi/pdf/10.1097/CD9.0000000000000162?download=true
