article_id,title,author,issue_url,pdf_url
10.1097/ID9.0000000000000180,"From viral persistence to lipid imbalance: Immunological drivers of dyslipidemia in
                     HIV",Xin HuangandWei Cao,https://mednexus.org/toc/idi/05/04,https://mednexus.org/doi/pdf/10.1097/ID9.0000000000000180?download=true
10.1097/ID9.0000000000000176,"AIDS, crisis and power to transform (Text extract): UNAIDS global AIDS update 2025
                     (Executive Summary)",Joint United Nations Programme on HIV/AIDS,https://mednexus.org/toc/idi/05/04,https://mednexus.org/doi/pdf/10.1097/ID9.0000000000000176?download=true
10.1097/ID9.0000000000000169,"Characteristics and risk factors of acquired drug resistance among people living with
                     HIV: A retrospective study in Guangzhou, China (2018–2023)","Shiyun Lv,Quanmin Li,Weiyin Lin,Jingliang Chen,Xuemei Ling,Junbin Li,Weiping Cai,Xiaoping Tang,Yun Lan,Linghua Li",https://mednexus.org/toc/idi/05/04,https://mednexus.org/doi/pdf/10.1097/ID9.0000000000000169?download=true
10.1097/ID9.0000000000000178,"Impact on clinical biomarkers, immune recovery, and HIV reservoir dynamics of switching
                     to EVG/c/FTC/TAF versus maintaining a non-INSTI-based regimen in virologically suppressed
                     individuals","Yi Zhang,Hui-Huang Huang,Bing Song,Meng-Meng Qu,Lin Gao,Chun-Bao Zhou,Yan-Mei Jiao,Fu-Sheng Wang",https://mednexus.org/toc/idi/05/04,https://mednexus.org/doi/pdf/10.1097/ID9.0000000000000178?download=true
10.1097/ID9.0000000000000174,HBsAg loss in HIV/HBV coinfected patients: Hepatitis B cure insights and implications,"Suling Chen,Guichan Liao,Haiming Yan,Juanjuan Chen,Yee-Tak Hui,Xinrui Gao,Huan Xu,Sheng Huang,Xiaoyong Zhang,Jie Peng,Xuwen Xu,Shaohang Cai",https://mednexus.org/toc/idi/05/04,https://mednexus.org/doi/pdf/10.1097/ID9.0000000000000174?download=true
10.1097/ID9.0000000000000158,Long COVID: current research and future directions,"Rongling Zhang,Xiaoying Gu,Hui Zhang,Yuming Guo,Bin Cao",https://mednexus.org/toc/idi/05/04,https://mednexus.org/doi/pdf/10.1097/ID9.0000000000000158?download=true
10.1097/ID9.0000000000000163,Viral persistence in long COVID: Research advances and treatment strategies,"Shiyang Liu,Yuming Guo,Fu-Sheng Wang",https://mednexus.org/toc/idi/05/04,https://mednexus.org/doi/pdf/10.1097/ID9.0000000000000163?download=true
10.1097/ID9.0000000000000166,A survey of SARS-CoV-2 tropism,"Xiangxing Jin,Lili Ren,Xianwen Ren,Jianwei Wang",https://mednexus.org/toc/idi/05/04,https://mednexus.org/doi/pdf/10.1097/ID9.0000000000000166?download=true
10.1097/ID9.0000000000000170,"Immune reconstitution inflammatory syndrome presenting as genital ulcers due to herpes
                     simplex virus: A case report","Xin Zhang,Zhiqiang Mi,Xiaoyan Li,Lijun Shen,Guang Yang,Mohamed Boie Jalloh,Jinwen Song,Lei Huang,Junliang Fu",https://mednexus.org/toc/idi/05/04,https://mednexus.org/doi/pdf/10.1097/ID9.0000000000000170?download=true
10.1097/ID9.0000000000000179,"Correlation between IL-18 secretion by peripheral blood mononuclear cells and NK cells
                     activation after SARS-CoV-2 booster vaccination in HIV-1-infected individuals","Xiuwen Wang,Xiaodong Yang,Xin Zhang,Wei Xia,Tong Zhang,Hao Wu,Bin Su",https://mednexus.org/toc/idi/05/04,https://mednexus.org/doi/pdf/10.1097/ID9.0000000000000179?download=true
10.1097/ID9.0000000000000167,"Targeting HBV cccDNA through chromatin destabilization: A new frontier in antiviral
                     therapy",Xiaoming ChengandYuchen Xia,https://mednexus.org/toc/idi/05/03,https://mednexus.org/doi/pdf/10.1097/ID9.0000000000000167?download=true
10.1097/ID9.0000000000000161,"Critical updates in the 2024 influenza clinical practice guidelines of the World Health
                     Organization",Yinzhong Shen,https://mednexus.org/toc/idi/05/03,https://mednexus.org/doi/pdf/10.1097/ID9.0000000000000161?download=true
10.1097/ID9.0000000000000164,"Metabolomic and transcriptomic features of the cardiometabolic disease spectrum in
                     people living with HIV","Liqin Sun,Chenyan Shi,Xiaorui Li,Yuxin Jiang,Yiyao Hu,Fan Bu,Yinsong Luo,Yun He,Qiaoli Peng,Fang Zhao,Hongzhou Lu,Jiaye Liu",https://mednexus.org/toc/idi/05/03,https://mednexus.org/doi/pdf/10.1097/ID9.0000000000000164?download=true
10.1097/ID9.0000000000000162,Hepatitis C virus in childhood and pregnancy,James C. ReedandRaymond T. Chung,https://mednexus.org/toc/idi/05/03,https://mednexus.org/doi/pdf/10.1097/ID9.0000000000000162?download=true
10.1097/ID9.0000000000000159,Immuno-cell metabolic changes in HIV-1 infection,"Linle Xu,Yufen Jiang,Xuexing Zheng,Hongbo Shi",https://mednexus.org/toc/idi/05/03,https://mednexus.org/doi/pdf/10.1097/ID9.0000000000000159?download=true
10.1097/ID9.0000000000000160,COVID-19 associated acute kidney injury,Praveen Kumar Chandra SekarandRamakrishnan Veerabathiran,https://mednexus.org/toc/idi/05/03,https://mednexus.org/doi/pdf/10.1097/ID9.0000000000000160?download=true
10.1097/ID9.0000000000000165,"Epidemiology, clinical overview, and potential risk of a new pandemic of measles virus","Matteo Bassetti,Daniele Roberto Giacobbe,Chiara Sepulcri,Laura Labate",https://mednexus.org/toc/idi/05/03,https://mednexus.org/doi/pdf/10.1097/ID9.0000000000000165?download=true
10.1097/ID9.0000000000000155,Unveiling emerging threats: Langya and Mojiang—A dance with unfamiliar foes,Snehasis Nayak,https://mednexus.org/toc/idi/05/03,https://mednexus.org/doi/pdf/10.1097/ID9.0000000000000155?download=true
