article_id,title,author,issue_url,pdf_url
10.1002/cdt3.70026,The Aging Gut-Brain Axis: Effects of Dietary Polyphenols and Metal Exposure,"Luqi Cao,Saurabh Kumar Jha,Neha Gupta,Xiang Chen,Renuka Soni,Luoxi Yuan,Rashi Srivastava,Zhe-Sheng Chen",https://mednexus.org/toc/cdatm/11/04,https://mednexus.org/doi/pdf/10.1002/cdt3.70026?download=true
10.1002/cdt3.70025,Gankyrin-Protein Interactions in GI Cancers: A Novel Target of New Therapeutics,"Shuang Li,Yuky Lam,Aaron Muth,Zhe-Sheng Chen,Shanzhi Wang",https://mednexus.org/toc/cdatm/11/04,https://mednexus.org/doi/pdf/10.1002/cdt3.70025?download=true
10.1002/cdt3.70018,"Managing Diabetes One Step at a Time in Low- and Middle-Income Countries: The Promise
                     of Wearable Devices","Safayet Jamil,Masoud Mohammadnezhad,Abdulrakib Abdulrahim,Faisal Muhammad,Hafiz T. A. Khan",https://mednexus.org/toc/cdatm/11/04,https://mednexus.org/doi/pdf/10.1002/cdt3.70018?download=true
10.1002/cdt3.70024,"Associations Between Nicotine Metabolites and Serum Neurofilament Light Chain Levels
                     in the General Population","Qianqian Ji,Erhan Tang,Yueting Liao,Jialei Yang,Yunzhang Wang,Yiqiang Zhan",https://mednexus.org/toc/cdatm/11/04,https://mednexus.org/doi/pdf/10.1002/cdt3.70024?download=true
10.1002/cdt3.70023,"Cross-Cultural Validation and Psychometric Properties Test of the Healthy Lifestyle
                     Intention Scale for University Students","Outi Kähkönen,Janne Engblom,Ying Lau,Eliza Lai-Yi Wong,Cindy Yue Tian,Annie Wai-Ling Cheung,Ho Hin Henry Chan,Anne Oikarinen",https://mednexus.org/toc/cdatm/11/04,https://mednexus.org/doi/pdf/10.1002/cdt3.70023?download=true
10.1002/cdt3.70027,"Prevalence and Associated Factors of Chronic Diseases Among Adults in Somaliland:
                     A Multilevel Analysis From the 2020 SLHDS","Abdirahman Omer Ali,Yusuf Abdi Hared,Hodo Abdi Abdillahi,Muhyadin Yusuf Dahir,Abdisalam Mahdi Hassan,Md. Moyazzem Hossain",https://mednexus.org/toc/cdatm/11/04,https://mednexus.org/doi/pdf/10.1002/cdt3.70027?download=true
10.1002/cdt3.70020,Evaluating the Readability of AI-Generated Patient Information on Chronic Diseases,Faheed ShafauandChase Wahl,https://mednexus.org/toc/cdatm/11/04,https://mednexus.org/doi/pdf/10.1002/cdt3.70020?download=true
10.1002/cdt3.70022,"Are Insulin and Metformin Really Protective on Amyotrophic Lateral Sclerosis by Blocking
                     the Astrocytic Cx43 Channel?",Josef Finsterer,https://mednexus.org/toc/cdatm/11/04,https://mednexus.org/doi/pdf/10.1002/cdt3.70022?download=true
10.1002/cdt3.70019,"Commentary on ""HDL-C/LDL-C Ratio and All-Cause Mortality in Populations at High CVD
                     Risk: A Prospective Observational Cohort Study""","Naghmeh Ziaie,Mohammad Barary,Soheil Bakhshinasab,Romina Hamzehpour,Soheil Ebrahimpour",https://mednexus.org/toc/cdatm/11/04,https://mednexus.org/doi/pdf/10.1002/cdt3.70019?download=true
10.1002/cdt3.70010,"Correction to ""Association of Cannabis With Chronic Obstructive Pulmonary Disease
                     and COVID-19 Infection""",无作者,https://mednexus.org/toc/cdatm/11/04,https://mednexus.org/doi/pdf/10.1002/cdt3.70010?download=true
10.1002/cdt3.70017,"Tislelizumab: Structural Innovations and Expanding Clinical Horizons in Next-Generation
                     PD-1 Immunotherapy","Thy T. Nguyen,Bohan Zhang,Luke Zhong,Xiuyi Liang,Letao Bo",https://mednexus.org/toc/cdatm/11/03,https://mednexus.org/doi/pdf/10.1002/cdt3.70017?download=true
10.1002/cdt3.70006,Amyloid-Related Imaging Abnormality (ARIA) Beyond the APOE-ε4 Allele,"Valentinus Besin,Farizky Martriano Humardani,Fenny Lanawati Yudiarto,Paulus Anam Ong,Sulistyo Emantoko Dwi Putra,Ratih Asmana Ningrum",https://mednexus.org/toc/cdatm/11/03,https://mednexus.org/doi/pdf/10.1002/cdt3.70006?download=true
10.1002/cdt3.70008,Epigenetic Changes Related to Hypertension in Asian Adults: A Systematic Review,"Lilik Sukesi,Yunia Sribudiani,Steven Yulius Usman,Eric Ricardo Yonatan,Ahmedz Widiasta,Noormarina Indraswari,Ria Bandiara,Nanny N. M. Soetedjo",https://mednexus.org/toc/cdatm/11/03,https://mednexus.org/doi/pdf/10.1002/cdt3.70008?download=true
10.1002/cdt3.70007,"Protocol for an Integrative Meta-Analysis of the Application of Machine Learning Algorithms
                     in the Prediction of Chronic Disease Risks and Outcomes","Ebenezer Afrifa-Yamoah,Emmanuel Peprah-Yamoah,Enoch Odame Anto,Victor Opoku-Yamoah,Eric Adua",https://mednexus.org/toc/cdatm/11/03,https://mednexus.org/doi/pdf/10.1002/cdt3.70007?download=true
10.1002/cdt3.70013,"HDL-C/LDL-C Ratio and All-Cause Mortality in Populations at High CVD Risk: A Prospective
                     Observational Cohort Study","Biting Lin,Yunzhi Ling,Gengyu Zhou,Ziqing Ruan,Fan Chen,Simiao Chen,Tingting Weng,Yuanfan Zhu,Jingyi Lin,Ling Yu,Kaiyang Lin",https://mednexus.org/toc/cdatm/11/03,https://mednexus.org/doi/pdf/10.1002/cdt3.70013?download=true
10.1002/cdt3.70014,"Longitudinal Cohort Study of Metabolomic Markers Associated With Type 2 Diabetes Risk
                     in Korean Adults","Md. Kamruzzaman,Catherine Apio,Md. Mozaffar Hosain,Min Kyong Moon,Geum-Sook Hwang,Eunyong Ahn,Taesung Park",https://mednexus.org/toc/cdatm/11/03,https://mednexus.org/doi/pdf/10.1002/cdt3.70014?download=true
10.1002/cdt3.70016,"Relationship Between Chronic Body Pain and Depression Among Middle-Aged and Elderly
                     People in China: A Longitudinal Population-Based Study From CHARLS","Jiaying Wang,Kai Wang,Qingxia Gao,Wenchang Xu,Gongchang Yu,Bin Shi",https://mednexus.org/toc/cdatm/11/03,https://mednexus.org/doi/pdf/10.1002/cdt3.70016?download=true
10.1002/cdt3.70015,The Role of Vitamin D in Diabetes Ketosis and Ketoacidosis,"Cui Zhang,Jia Liu,Sumita Cholekho,Qin Pei,Huiwen Tan",https://mednexus.org/toc/cdatm/11/03,https://mednexus.org/doi/pdf/10.1002/cdt3.70015?download=true
10.1002/cdt3.70003,"Correction to ""Alignment of Human Aquaporin 4 and ß-Amyloid Proteins May Indicate
                     Involvement of ß-Amyloid in Brain Water Homeostasis and Prevention of Brain Edema""",无作者,https://mednexus.org/toc/cdatm/11/03,https://mednexus.org/doi/pdf/10.1002/cdt3.70003?download=true
10.1002/cdt3.70009,"Correction to ""Shingles Vaccination Reduces the Risk of Parkinson's Disease""",无作者,https://mednexus.org/toc/cdatm/11/03,https://mednexus.org/doi/pdf/10.1002/cdt3.70009?download=true
10.1002/cdt3.70004,Contemporary Perspectives on Chronic Renal Disorders,"Deenadhayalan Ashok,Poornima Ajay Manjrekar,Bhushan C. Shetty,Sujina S. S,Rukmini Mysore Srikantiah,Sowndarya Kollampare",https://mednexus.org/toc/cdatm/11/02,https://mednexus.org/doi/pdf/10.1002/cdt3.70004?download=true
10.1002/cdt3.155,"Translational Medicine in Alzheimer's Disease: The Journey of Donanemab From Discovery
                     to Clinical Application",Nandhini JayaprakashandKarthikeyan Elumalai,https://mednexus.org/toc/cdatm/11/02,https://mednexus.org/doi/pdf/10.1002/cdt3.155?download=true
10.1002/cdt3.156,Wearable Technology in the Management of Chronic Diseases: A Growing Concern,"Victor Abiola Adepoju,Safayet Jamil,Mohammad Shahangir Biswas,ABM Alauddin Chowdhury",https://mednexus.org/toc/cdatm/11/02,https://mednexus.org/doi/pdf/10.1002/cdt3.156?download=true
10.1002/cdt3.70005,"Evaluation of NaTto Red Yeast Rice on Regulating Blood Lipid (ENTRY) Study: A Multicenter,
                     Double-Placebo, Double-Blinded, Randomized Controlled Trial in Chinese Adults","Shufeng Chen,Fangchao Liu,Jinyue Li,Fengchao Liang,Jianxin Li,Jie Cao,Donghua Liu,Keyong Huang,Hongfan Li,Xiangfeng Lu,Jianfeng Huang,Dongfeng Gu",https://mednexus.org/toc/cdatm/11/02,https://mednexus.org/doi/pdf/10.1002/cdt3.70005?download=true
10.1002/cdt3.70000,"Development and Initial Use of a New Inflammatory Bowel Disease Clinical Database
                     Integrating Both Eastern and Western Clinical Characteristics","Jingshuang Yan,Rongrong Ren,Ruqi Chang,Wanyue Dan,Xiaohan Zhang,Fei Pan,Bin Yan,Hongzhe Lee,Ni Josie,Gang Sun,Lihua Peng,Gary D. Wu,Yunsheng Yang",https://mednexus.org/toc/cdatm/11/02,https://mednexus.org/doi/pdf/10.1002/cdt3.70000?download=true
10.1002/cdt3.70001,"Performance of Computer-Aided Detection Software in Tuberculosis Case Finding in Township
                     Health Centers in China","Xuefang Cao,Boxuan Feng,Bin Zhang,Dakuan Wang,Jiang Du,Yijun He,Tonglei Guo,Shouguo Pan,Zisen Liu,Jiaoxia Yan,Qi Jin,Lei Gao,Henan Xin",https://mednexus.org/toc/cdatm/11/02,https://mednexus.org/doi/pdf/10.1002/cdt3.70001?download=true
10.1002/cdt3.141,Insulin and Metformin are Associated With Reduced Risk of Amyotrophic Lateral Sclerosis,Steven LehrerandPeter H. Rheinstein,https://mednexus.org/toc/cdatm/11/02,https://mednexus.org/doi/pdf/10.1002/cdt3.141?download=true
10.1002/cdt3.157,Overlap of Takayasu Arteritis and Kawasaki Disease in Infants,"Jingya Li,Yan Sun,Liyuan Xu,Shanshan Li,Ning Ma",https://mednexus.org/toc/cdatm/11/02,https://mednexus.org/doi/pdf/10.1002/cdt3.157?download=true
10.1002/cdt3.70002,"Correction to ""Alignment of Human KAT2A (GCN5) Histone Acetyltransferase and SARS-CoV-2
                     Orf8 Viral Proteins""",无作者,https://mednexus.org/toc/cdatm/11/02,https://mednexus.org/doi/pdf/10.1002/cdt3.70002?download=true
10.1002/cdt3.137,"Pathways to chronic disease detection and prediction: Mapping the potential of machine
                     learning to the pathophysiological processes while navigating ethical challenges","Ebenezer Afrifa-Yamoah,Eric Adua,Emmanuel Peprah-Yamoah,Enoch O. Anto,Victor Opoku-Yamoah,Emmanuel Acheampong,Michael J. Macartney,Rashid Hashmi",https://mednexus.org/toc/cdatm/11/01,https://mednexus.org/doi/pdf/10.1002/cdt3.137?download=true
10.1002/cdt3.150,Early detection of Alzheimer's disease using the MEMORIES mnemonic,Valentinus BesinandFarizky M. Humardani,https://mednexus.org/toc/cdatm/11/01,https://mednexus.org/doi/pdf/10.1002/cdt3.150?download=true
10.1002/cdt3.153,"Beyond one size fits all: Probing patient choices in gestational diabetes management,
                     from screening to postpartum","Ayman Mobin,Amir Obeid,Imad El-Kebbi,Dean Everett,Saleh Ibrahim,Joviana Farhat,Basem Al-Omari",https://mednexus.org/toc/cdatm/11/01,https://mednexus.org/doi/pdf/10.1002/cdt3.153?download=true
10.1002/cdt3.147,"Family history of type 2 diabetes and the risk of type 2 diabetes among young and
                     middle-aged adults","Ken R. Smith,Huong Meeks,David Curtis,Barbara B. Brown,Kyle Kole,Lori Kowaleski-Jones",https://mednexus.org/toc/cdatm/11/01,https://mednexus.org/doi/pdf/10.1002/cdt3.147?download=true
