article_id,title,author,issue_url,pdf_url
10.1016/j.radmp.2025.09.001,Radiation Medicine and Protection - contributions to the UN SDGs,"Jing Chen,Qiuju Guo,Shinji Tokonami,Weihai Zhuo",https://mednexus.org/toc/rmp/06/05,https://mednexus.org/doi/pdf/10.1016/j.radmp.2025.09.001?download=true
10.1016/j.radmp.2025.09.005,"Unveiling the role of immune response and related cytokines in radiation-induced skin
                     injury: orchestrate inflammation to repair or fibrosis","Jiacheng Li,Yiting Tang,Peijing Chen,Zhenhua Ding,Meijuan Zhou",https://mednexus.org/toc/rmp/06/05,https://mednexus.org/doi/pdf/10.1016/j.radmp.2025.09.005?download=true
10.1016/j.radmp.2025.09.009,"Machine learning application in NaI(Tl) gamma-ray spectroscopy for radionuclide identification:
                     A systematic review","Yuan Sun,Fei Tuo,Wuhui Lin,Qiang Zhou,Baolu Yang",https://mednexus.org/toc/rmp/06/05,https://mednexus.org/doi/pdf/10.1016/j.radmp.2025.09.009?download=true
10.1016/j.radmp.2025.09.002,"Normal cell responses to 3D-CRT, VMAT, and helical tomotherapy: A comparative study","Rinwarat Phumsankhot,Phanwadee Kasetthamrongrat,Aphidet Duangya,Anirut Watcharawipha,Wannapha Nobnop,Narongchai Autsavapromporn",https://mednexus.org/toc/rmp/06/05,https://mednexus.org/doi/pdf/10.1016/j.radmp.2025.09.002?download=true
10.1016/j.radmp.2025.09.008,"Assessing dosimetric performance of HyperArc for thyroid-associated ophthalmopathy
                     radiotherapy","Hongtao Chen,Heli Zhong,Juan Fan,Ding Zhang,Hongli Yang",https://mednexus.org/toc/rmp/06/05,https://mednexus.org/doi/pdf/10.1016/j.radmp.2025.09.008?download=true
10.1016/j.radmp.2025.09.004,Empirical combination networks for head and neck organs at risk segmentation,"Sijuan Huang,Yuda Lin,Yixuan Wang,Zhen Li,Yuliang Zhu,Bo Fang,Xiaoyan Huang,Xin Yang",https://mednexus.org/toc/rmp/06/05,https://mednexus.org/doi/pdf/10.1016/j.radmp.2025.09.004?download=true
10.1016/j.radmp.2025.09.003,X-ray beam collimation in radiography: a study of compliance among radiographers,"Islam Kleib,Maram Alakhras,Alaa Oteir,Dana S. Al-Mousa",https://mednexus.org/toc/rmp/06/05,https://mednexus.org/doi/pdf/10.1016/j.radmp.2025.09.003?download=true
10.1016/j.radmp.2025.09.006,Radiation dose reduction in abdominopelvic CT using BMI specific low kV protocol,"Nitika C. Panakkal,Rajagopal Kadavigere,Suresh Sukumar,N. Ravishankar",https://mednexus.org/toc/rmp/06/05,https://mednexus.org/doi/pdf/10.1016/j.radmp.2025.09.006?download=true
10.1016/j.radmp.2025.09.007,"Preliminary assessment of excess life time cancer risk due to radon exposure in small
                     scale Tanzanite mines in Tanzania",Shovi Furaeli Sawe,https://mednexus.org/toc/rmp/06/05,https://mednexus.org/doi/pdf/10.1016/j.radmp.2025.09.007?download=true
10.1016/j.radmp.2025.06.006,"The need to implement better integrated and reasonably optimized protection strategy
                     - One Protection☆",Jing Chen,https://mednexus.org/toc/rmp/06/04,https://mednexus.org/doi/pdf/10.1016/j.radmp.2025.06.006?download=true
10.1016/j.radmp.2025.07.002,Understanding of FLASH radiotherapy through physical to biological interpretation★,Yuqi YangandFang-Fang Yin,https://mednexus.org/toc/rmp/06/04,https://mednexus.org/doi/pdf/10.1016/j.radmp.2025.07.002?download=true
10.1016/j.radmp.2025.06.002,Advances in research on the molecular mechanisms of miRNAs in radiation responses,"Xinyi Yang,Wentao Hu,Guangming Zhou",https://mednexus.org/toc/rmp/06/04,https://mednexus.org/doi/pdf/10.1016/j.radmp.2025.06.002?download=true
