article_id,title,author,issue_url,pdf_url
10.1097/FM9.0000000000000293,A Century of Legacy: Charting New Frontiers in Maternal-Fetal Medicine,Hongbo Qi,https://mednexus.org/toc/mfm/07/04,https://mednexus.org/doi/pdf/10.1097/FM9.0000000000000293?download=true
10.1097/FM9.0000000000000307,Development and Future Perspectives of Obstetric Intensive Care Units in China,Fang HeandDunjin Chen,https://mednexus.org/toc/mfm/07/04,https://mednexus.org/doi/pdf/10.1097/FM9.0000000000000307?download=true
10.1097/FM9.0000000000000311,"Effects of Low Molecular Weight Heparin on Early Pregnancy Loss in Women With Polycystic
                     Ovary Syndrome","Fanglan Luo,Qinsheng Lu,Wei Wei,Yingmei Cen,Yinchun Huang,Shuang Qin,Chunjiao Wei,Gendie E Lash,Li Li",https://mednexus.org/toc/mfm/07/04,https://mednexus.org/doi/pdf/10.1097/FM9.0000000000000311?download=true
10.1097/FM9.0000000000000309,Customized Birthweight Standard for the Population in the Republic of Kazakhstan,"Meruyert Sharipova,Gulyash Tanysheva,Khalida Sharipova,Bologan Ion,Aizhan Shakhanova",https://mednexus.org/toc/mfm/07/04,https://mednexus.org/doi/pdf/10.1097/FM9.0000000000000309?download=true
10.1097/FM9.0000000000000313,"Multicenter Retrospective Evaluation of the Chinese Expert Consensus Scoring System
                     for the Diagnosis of Obstetrical DIC","Jianjian Cui,Ziyang Liu,Wencong He,Ruifen Su,Ruilin Ma,Hui Tao,Zejun Yang,Lei Sun,Shaoqi Chen,Yanan Li,Zhishan Jin,Yin Zhao",https://mednexus.org/toc/mfm/07/04,https://mednexus.org/doi/pdf/10.1097/FM9.0000000000000313?download=true
10.1097/FM9.0000000000000306,Termination Processes of Pregnancies Due to Intrauterine Mort Fetus and Fetal Anomaly,Tugba AkcaogluandElif Ciler Eren,https://mednexus.org/toc/mfm/07/04,https://mednexus.org/doi/pdf/10.1097/FM9.0000000000000306?download=true
10.1097/FM9.0000000000000314,"Dissecting Vasopressor Efficacy in the Management of Maternal Hypotension in Preeclamptic
                     Cesarean Delivery: A Systematic Review of Randomized Controlled Trials","Made Favian Budi Gunawan,Cindy Thiovany Soetomo,Richard Richard,Putu Bagus Darmayasa,Arresta Vitasatria Suastika",https://mednexus.org/toc/mfm/07/04,https://mednexus.org/doi/pdf/10.1097/FM9.0000000000000314?download=true
10.1097/FM9.0000000000000301,"First Trimester Ultrasound Soft Markers in a Fetus: Genetic Associations and Diagnostic
                     Implications",Mishu ManglaandNaina Kumar,https://mednexus.org/toc/mfm/07/04,https://mednexus.org/doi/pdf/10.1097/FM9.0000000000000301?download=true
10.1097/FM9.0000000000000285,"Vaginal Bleeding After Pregnancy: Progesterone Levels and Pregnancy Outcomes in the
                     First Trimester","Zhuo Ren,Xinping Sun,Zhi Li,Huixia Yang",https://mednexus.org/toc/mfm/07/04,https://mednexus.org/doi/pdf/10.1097/FM9.0000000000000285?download=true
10.1097/FM9.0000000000000298,Clinical Observation of a Rare Binder Phenotype With Fetal Overgrowth Due to aSPIN4Mutation,"Noopur Chawla,Meenakshi Rajput,Rhea Shriyan,Sumitra Bachani,Aprajita Gupta",https://mednexus.org/toc/mfm/07/04,https://mednexus.org/doi/pdf/10.1097/FM9.0000000000000298?download=true
