article_id,title,issue_url,pdf_url
20251101,PDF 1.83 M (0),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_11,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20251101?st=article_issue
20251102,PDF 1.07 M (0),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_11,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20251102?st=article_issue
20251103,PDF 1.23 M (0),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_11,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20251103?st=article_issue
20251104,PDF 1.82 M (0),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_11,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20251104?st=article_issue
20251105,PDF 1.25 M (0),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_11,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20251105?st=article_issue
20251106,PDF 1.17 M (0),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_11,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20251106?st=article_issue
20251107,PDF 1.89 M (0),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_11,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20251107?st=article_issue
20251108,PDF 1.28 M (0),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_11,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20251108?st=article_issue
20251109,PDF 1.72 M (0),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_11,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20251109?st=article_issue
20251110,PDF 1.40 M (0),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_11,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20251110?st=article_issue
20251111,PDF 1.42 M (0),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_11,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20251111?st=article_issue
20251112,PDF 1.43 M (0),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_11,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20251112?st=article_issue
20251113,PDF 1.10 M (1),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_11,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20251113?st=article_issue
