article_id,title,author,issue_url,pdf_url
10.1097/RD9.0000000000000130,"The quality control standards for clinical diagnosis and treatment of endometrial
                     cancer in Obstetrics and Gynecology Hospital of Fudan University (Red House Hospital)","Wen-Yu Shao,Bo Wang,Tian-You Wang,Jiong-Bo Liao,Yuan Huang,Peng-Fei Wu,Xiao-Jun Ren,Qi-Di Jiang,Shou-Zhen Chen,Xue-Zhen Luo,Chao Wang",https://mednexus.org/toc/rdm/09/03,https://mednexus.org/doi/pdf/10.1097/RD9.0000000000000130?download=true
10.1097/RD9.0000000000000129,"Developing a mouse endometriosis model using stored chocolate cyst slurry: an experimental
                     study","Ivanna Beru Brahmana,Soetrisno Soetrisno,Rita Cempaka",https://mednexus.org/toc/rdm/09/03,https://mednexus.org/doi/pdf/10.1097/RD9.0000000000000129?download=true
10.1097/RD9.0000000000000140,Effect and mechanism of Jinfeng Pills on the receptivity of thin endometrium in rats,"Hong Gao,Ling Chen,Xiao-Hong Yan,Heng-Yuan Zhang,Rong-Feng Wu,You-Zhu Li",https://mednexus.org/toc/rdm/09/03,https://mednexus.org/doi/pdf/10.1097/RD9.0000000000000140?download=true
10.1097/RD9.0000000000000117,"The association between blastocyst quality and perinatal outcomes during a single
                     frozen-thawed blastocyst transfer cycles: a propensity score-matched study","Jing Wu,Chen Yang,Wei Zheng,Meng-Yi Cao,Meng-Na Li,Yi-Hui Kuang,Bing-Nan Ren,Ruo-Wen Zu,Ran Shen,Jing-Yi Han,Pei-Xin Li,Yi-Chun Guan",https://mednexus.org/toc/rdm/09/03,https://mednexus.org/doi/pdf/10.1097/RD9.0000000000000117?download=true
10.1097/RD9.0000000000000139,A retrospective study on primary ovarian leiomyoma in China,"Ying-Ying Lu,Lu Wang,Xin-Hong Ye,Wei Zhang",https://mednexus.org/toc/rdm/09/03,https://mednexus.org/doi/pdf/10.1097/RD9.0000000000000139?download=true
10.1097/RD9.0000000000000123,Understanding lichen sclerosus: pathogenesis and treatment,"Yi-Xin Sun,Yi-Hui Zeng,Xiao-Yi Sun,Yi Yu,Qi Zhang,Cong-Jian Xu,Long Sui,Qing Cong",https://mednexus.org/toc/rdm/09/03,https://mednexus.org/doi/pdf/10.1097/RD9.0000000000000123?download=true
10.1097/RD9.0000000000000136,Functions of RhoA in the female reproductive system,"Jackson Kyle Sundgren,Taylor Elijah Martin,Suvitha Viswanathan,Venkata Abhigna Atluri,Vaishnavi Harsha Chennareddy,Yuehuan Li,Jonathan Matthew Hancock,Haeyeun Byun,Xiaoqin Ye",https://mednexus.org/toc/rdm/09/03,https://mednexus.org/doi/pdf/10.1097/RD9.0000000000000136?download=true
10.1097/RD9.0000000000000110,A rare mutation inMESP1increases the risk of congenital heart disease,"Rui Peng,Li-Juan Huang,Xiang-Yu Zhou,Bing-Kun Lei,Pei-Qiang Li",https://mednexus.org/toc/rdm/09/03,https://mednexus.org/doi/pdf/10.1097/RD9.0000000000000110?download=true
10.1097/RD9.0000000000000112,"Single-cell RNA-sequencing analysis of the effects of frozen-thawed embryo transfer
                     on the transcriptome of trophoblasts","Kai-Zhen Su,Chuan Luo,Si-Yue Chen,Si-Wei Zhang,Cheng Li,Yan-Ting Wu",https://mednexus.org/toc/rdm/09/02,https://mednexus.org/doi/pdf/10.1097/RD9.0000000000000112?download=true
10.1097/RD9.0000000000000103,"Immediate intratesticular injection of circulating blood serum-derived exosomes may
                     alleviate orchitis caused by cisplatin","Fuzieh Khani Hemmatabadi,Marya Partovyan,Negin Chavoshinezhad,Mona Keivan,Reza Dadfar,Shima Moradi Maryamneghari,Fatemeh Mansouri Torghabeh",https://mednexus.org/toc/rdm/09/02,https://mednexus.org/doi/pdf/10.1097/RD9.0000000000000103?download=true
10.1097/RD9.0000000000000108,"Causal relationships between leukocyte telomere length and female reproductive system
                     diseases: a bidirectional Mendelian randomization study","Jun-Sen She,Rui Liu,Su-Qing Mao,Bo-Kang Zhou,Xiao-Jing Wu,Meng-Zhen Ding,Ling-Xiang Wang,Yi-Ning Cao,Hai-Yan Wu,Yu-Hang Long,Fei Guo,He-Feng Huang,Ling Gao",https://mednexus.org/toc/rdm/09/02,https://mednexus.org/doi/pdf/10.1097/RD9.0000000000000108?download=true
10.1097/RD9.0000000000000105,"Preconceptional thyroid-stimulating hormone affects antral follicle count rather than
                     pregnancy outcomes in patients with firstin vitrofertilization/intracytoplasmic sperm injection cycle","Jie Cai,Huan-Huan Li,Xiang-Ming Tian,Li Yang,Jun-Jian Sun,Wen-Hui Zhou",https://mednexus.org/toc/rdm/09/02,https://mednexus.org/doi/pdf/10.1097/RD9.0000000000000105?download=true
10.1097/RD9.0000000000000102,"Analysis of anticoagulant use in patients with recurrent spontaneous abortion across
                     nine Chinese cities (2016-2021)",Xiao-Ying PangandXian-Li Wang,https://mednexus.org/toc/rdm/09/02,https://mednexus.org/doi/pdf/10.1097/RD9.0000000000000102?download=true
10.1097/RD9.0000000000000122,"Metabolite changes in patients with endometriosis: new potential diagnostic and therapeutic
                     targets","Ling-Yu Chang,Xin-Xin Hou,Da-Jin Li,Xiao-Qiu Wang",https://mednexus.org/toc/rdm/09/02,https://mednexus.org/doi/pdf/10.1097/RD9.0000000000000122?download=true
10.1097/RD9.0000000000000131,Research progress on insulin resistance in polycystic ovary syndrome,"Yang-Bin Qi,Peng Yi,Xiang-Hong Fu",https://mednexus.org/toc/rdm/09/02,https://mednexus.org/doi/pdf/10.1097/RD9.0000000000000131?download=true
10.1097/RD9.0000000000000125,Pro-cancer and anti-cancer effects of sildenafil: a mini-review,"Yan Wang,Bin Zhao,Zheng Wan",https://mednexus.org/toc/rdm/09/02,https://mednexus.org/doi/pdf/10.1097/RD9.0000000000000125?download=true
10.1097/RD9.0000000000000113,Exploring the presence of female germline stem cells in rats and mice,"Jian Zhang,Yu Zhang,Jia-Li Luo,Lin Yu,Pan-Pan Li,Xin-Yue Wang,Ting-Ting Zhang,Zhao-Gui Sun",https://mednexus.org/toc/rdm/09/01,https://mednexus.org/doi/pdf/10.1097/RD9.0000000000000113?download=true
10.1097/RD9.0000000000000116,Atp6v0d2deficiency partially restores defects inMcoln1-deficient mouse corpus luteum,"Yuehuan Li,Ahmed E. El Zowalaty,Jonathan Matthew Hancock,Zidao Wang,Taylor Elijah Martin,Tingjie Zhan,Yingzheng Wang,Christian Lee Andersen,Suvitha Viswanathan,Jaymie Bromfield,Venkata Abhigna Atluri,Karly Rae Kallish,Hope Nicole Grismer,…See all authors",https://mednexus.org/toc/rdm/09/01,https://mednexus.org/doi/pdf/10.1097/RD9.0000000000000116?download=true
10.1097/RD9.0000000000000120,C5aR1+macrophages are involved in the progression of endometriosis,"Xi Chen,Wei-Wen Zuo,Guo-Dong Zhang,Cong-Jian Xu",https://mednexus.org/toc/rdm/09/01,https://mednexus.org/doi/pdf/10.1097/RD9.0000000000000120?download=true
10.1097/RD9.0000000000000101,"Effects of progesterone administered to maternal rats during the teratogenesis-sensitive
                     period through different routes on neurobehavior and gut microbiota in offspring","Qi-Cheng Ni,Xiang-Jie Guo,Guo-Ting Li,Wen-Jie Yang,Ying-Yi Hu,Hua-Jun Zheng,Yan Zhu",https://mednexus.org/toc/rdm/09/01,https://mednexus.org/doi/pdf/10.1097/RD9.0000000000000101?download=true
10.1097/RD9.0000000000000119,LncRNA H19 is downregulated in ectopic endometrial stromal cell by multiple medicinesin vitro,"Han Gao,Xiao-Xiao Gao,Wei Shao,Jia-Qi Wang,Song-Ping Liu",https://mednexus.org/toc/rdm/09/01,https://mednexus.org/doi/pdf/10.1097/RD9.0000000000000119?download=true
10.1097/RD9.0000000000000121,"Mendelian randomization evidence for lung function mediates the association between
                     childhood allergies (age <16 years) and essential hypertension","Yu-Hang Long,Jun-Sen She,Fei Guo,Bo-Kang Zhou,Chen Fang,Yi-Zhi Hu,Ling Gao,He-Feng Huang",https://mednexus.org/toc/rdm/09/01,https://mednexus.org/doi/pdf/10.1097/RD9.0000000000000121?download=true
10.1097/RD9.0000000000000111,"Assessment of the effects of subclinical hypothyroidism on male reproductive parameters:
                     a meta-analysis approach","Seyed Sobhan Bahreiny,Akram Ahangarpour,Mojtaba Aghaei",https://mednexus.org/toc/rdm/09/01,https://mednexus.org/doi/pdf/10.1097/RD9.0000000000000111?download=true
10.1097/RD9.0000000000000109,"Exogenous estrogen partially rescues progesterone deficiency and autophagosome enlargement
                     inMcoln1-/-mouse model with lysosomal storage disorder","Zidao Wang,Yuehuan Li,Christian L. Andersen,Ahmed E. El Zowalaty,Jonathan M. Hancock,Taylor E. Martin,Elizabeth W. Howerth,Suvitha Viswanathan,Haeyeun Byun,Xiaoqin Ye",https://mednexus.org/toc/rdm/08/04,https://mednexus.org/doi/pdf/10.1097/RD9.0000000000000109?download=true
10.1097/RD9.0000000000000114,"Effect of Jinfeng Pill on ovarian function of Tripterygium wilfordii polyglycoside
                     tablets induced poor ovarian response rats","Yi Li,Jian-Fang Wang,Xiao-Hong Yan,Xiao-Lei Ji,Heng-Yuan Zhang,Rong-Feng Wu,You-Zhu Li",https://mednexus.org/toc/rdm/08/04,https://mednexus.org/doi/pdf/10.1097/RD9.0000000000000114?download=true
10.1097/RD9.0000000000000106,"Association of a modified uterine manipulation method with improved recovery after
                     laparoscopic radical hysterectomy: a retrospective cohort study","Yu-Shu Sun,Ling-Jie Bao,Yin-Ping Xiao,Kai-Kai Chang,Yan Du,Xiao-Fang Yi",https://mednexus.org/toc/rdm/08/04,https://mednexus.org/doi/pdf/10.1097/RD9.0000000000000106?download=true
