article_id,title,author,issue_url,pdf_url
10.1016/j.bsheal.2025.09.009,Harnessing a high-qualitySalmonellagenome catalog to combat antimicrobial resistance and inform outbreak responses,"Beiwen Zheng,Yi Liu,Yonghong Xiao",https://mednexus.org/toc/bsh/07/06,https://mednexus.org/doi/pdf/10.1016/j.bsheal.2025.09.009?download=true
10.1016/j.bsheal.2025.10.001,Chikungunya virus: Current situation and future challenges,"Teng Zhao,Teng Chen,Jie Zhang,Chunxiao Li,Chengfeng Qin",https://mednexus.org/toc/bsh/07/06,https://mednexus.org/doi/pdf/10.1016/j.bsheal.2025.10.001?download=true
10.1016/j.bsheal.2025.09.008,Advances and perspectives for animal models of chikungunya virus infection,"Meng Zou,Zhihui Zheng,Wei Wang,Hongqi Liu",https://mednexus.org/toc/bsh/07/06,https://mednexus.org/doi/pdf/10.1016/j.bsheal.2025.09.008?download=true
10.1016/j.bsheal.2025.10.003,Sustained circulation ofAedes albopictus-derived novel almendraviruses in the urban parks,"Xi Zhang,Chengyu Liu,Yang Han,Junying She,Wanqi Wu,Lili Wang,Jingdong Song,George F. Gao,Ziqian Xu,Hao Liang,Jun Liu",https://mednexus.org/toc/bsh/07/06,https://mednexus.org/doi/pdf/10.1016/j.bsheal.2025.10.003?download=true
10.1016/j.bsheal.2025.10.002,"Clinical characteristics of SARS-CoV-2 infection in patients with chronic hepatitis
                     B during interferon antiviral therapy","Shiyu Wang,Ziyu Zhang,Xinxin Li,Wen Deng,Yaqin Zhang,Weihua Cao,Xin Wei,Zixuan Gao,Linmei Yao,Shuojie Wang,Yao Xie,Minghui Li",https://mednexus.org/toc/bsh/07/06,https://mednexus.org/doi/pdf/10.1016/j.bsheal.2025.10.002?download=true
10.1016/j.bsheal.2025.11.001,"An explainable artificial intelligence framework reveals mutations associated with
                     drug resistance inMycobacterium tuberculosis","Hui Cen,Peng Zhang,Yunchao Ling,Guoping Zhao,Guoqing Zhang",https://mednexus.org/toc/bsh/07/06,https://mednexus.org/doi/pdf/10.1016/j.bsheal.2025.11.001?download=true
10.1016/j.bsheal.2025.09.010,Attribution of super-spreaders to the COVID-19 outbreak,"Rui Wang,Jianping Huang,Xinbo Lian,Yingjie Zhao,Shujuan Hu,Beidou Zhang",https://mednexus.org/toc/bsh/07/06,https://mednexus.org/doi/pdf/10.1016/j.bsheal.2025.09.010?download=true
10.1016/j.bsheal.2025.11.003,TempSnap-Trace: A temporal snapshot-based framework for haplotype network tracing,"Jiajun Liu,Decheng Li,Yixue Li,Tao Huang",https://mednexus.org/toc/bsh/07/06,https://mednexus.org/doi/pdf/10.1016/j.bsheal.2025.11.003?download=true
10.1016/j.bsheal.2025.07.008,"Interactions between zoonotic pathogens and infectious disease spread: Why understanding
                     mechanisms and modelling matters more than ever","Naizhe Li,Sunxiao Ruan,Huaiyu Tian",https://mednexus.org/toc/bsh/07/05,https://mednexus.org/doi/pdf/10.1016/j.bsheal.2025.07.008?download=true
10.1016/j.bsheal.2025.09.004,Beyond evolution:De novodesigned protein toolkit rewriting the rules of synthetic biology,"Guohao Zhang,Chuanyang Liu,Wenying Li,Jiajie Lu,Ang Li,Lingyun Zhu",https://mednexus.org/toc/bsh/07/05,https://mednexus.org/doi/pdf/10.1016/j.bsheal.2025.09.004?download=true
10.1016/j.bsheal.2025.09.002,"Application progress and biosafety challenges of gene editing and synthetic biotechnology
                     in diagnosis, treatment and prevention of infectious diseases","Zixuan Gao,Yuanjiao Gao,Shuojie Wang,Xinxin Li,Weihua Cao,Wen Deng,Linmei Yao,Xin Wei,Ziyu Zhang,Shiyu Wang,Yaqin Zhang,Minghui Li,Yao Xie",https://mednexus.org/toc/bsh/07/05,https://mednexus.org/doi/pdf/10.1016/j.bsheal.2025.09.002?download=true
10.1016/j.bsheal.2025.09.007,Large language models for biological sequence analysis in infectious disease research,"Junyu Luo,Xiyang Cai,Yixue Li",https://mednexus.org/toc/bsh/07/05,https://mednexus.org/doi/pdf/10.1016/j.bsheal.2025.09.007?download=true
10.1016/j.bsheal.2025.09.001,"Evaluating viral inactivation in the liquid waste stream from a viral total nucleic
                     acid extraction kit for safe disposal","Charles Gan,Melissa Pitton,Lea Caduff,Timothy R. Julian",https://mednexus.org/toc/bsh/07/05,https://mednexus.org/doi/pdf/10.1016/j.bsheal.2025.09.001?download=true
10.1016/j.bsheal.2025.09.003,"Metagenomics research on the gut microbiota of theMarmota himalayanaof the Sanjiangyuan National Nature Reserve in Qinghai Province, China","Ying Ma,Ziyan Li,Pengbo Liu,Youwen Wei,Ke Jiang,Yujuan Yue,Aiping Zhang,Wenlong Wang,Lingwen Li,Penghui Zhang,Xingyue Gu,Qiyong Liu,Liang Lu",https://mednexus.org/toc/bsh/07/05,https://mednexus.org/doi/pdf/10.1016/j.bsheal.2025.09.003?download=true
10.1016/j.bsheal.2025.09.005,"Global trends, age-period-cohort analysis, and future projections of diarrhea burden:
                     Findings from the Global Burden of Disease Study 2021","Mengjiao Xie,Yang Song,Jing Tao,Mengnan Jiang,Yang Liu,Io Hong Cheong,Zisis Kozlakidis,Zhaorui Chang,Qiang Wei",https://mednexus.org/toc/bsh/07/05,https://mednexus.org/doi/pdf/10.1016/j.bsheal.2025.09.005?download=true
10.1016/j.bsheal.2025.09.006,Predict SARS-CoV-2 genome interactions based on RNA language models,"Weiwei Shen,Yixue Li,Liucun Zhu,Tao Huang",https://mednexus.org/toc/bsh/07/05,https://mednexus.org/doi/pdf/10.1016/j.bsheal.2025.09.006?download=true
10.1016/j.bsheal.2025.07.003,"Biosafety concept: Origins, Evolution, and Prospects","Wanying Gao,Zongzhen Wu,Kunlan Zuo,Qiangyu Xiang,Xiaoya Chen,Lu Zhang,Huan Liu",https://mednexus.org/toc/bsh/07/04,https://mednexus.org/doi/pdf/10.1016/j.bsheal.2025.07.003?download=true
10.1016/j.bsheal.2025.07.002,"Microbiota of critical areas prior to reopening in an oncology center: Potential uncommon
                     nosocomial pathogens for vulnerable populations","Freddy Villanueva-Cotrina,Fiorella Quiroz,Kathya L. Mimbela,Katia Quispe",https://mednexus.org/toc/bsh/07/04,https://mednexus.org/doi/pdf/10.1016/j.bsheal.2025.07.002?download=true
10.1016/j.bsheal.2025.07.007,Development of an identity test for COVID-19 mRNA vaccines using SARS-CoV-2 NAT standard,"Miran Jo,Eunjo Lee,Ho Jung Oh,Jin Tae Hong,Kyung Hee Sohn",https://mednexus.org/toc/bsh/07/04,https://mednexus.org/doi/pdf/10.1016/j.bsheal.2025.07.007?download=true
10.1016/j.bsheal.2025.07.001,"A metagenomic approach for microbial risk assessment and source attribution in high-risk
                     ports of entry environments","Xiaozhou He,Ran Zhang,Jie Dong,Wei Zhen,Li Zhu,Junkai Ren,Xuejun Ma,Feng Wang,Shuang Zhang,Ke Xu,Feng Qiu,Qiudong Su,Jian’an He,Weimin Zhou,Guizhen Wu",https://mednexus.org/toc/bsh/07/04,https://mednexus.org/doi/pdf/10.1016/j.bsheal.2025.07.001?download=true
10.1016/j.bsheal.2025.07.004,"Random forest-based predictor selection and pneumonia risk probability assessment
                     in acute respiratory infections: A cross-sectional study in Chongqing, China, 2023-2024","Yunshao Xu,Yuping Duan,Jule Yang,Mingyue Jiang,Yanxia Sun,Yanlin Cao,Li Qi,Zeni Wu,Luzhao Feng",https://mednexus.org/toc/bsh/07/04,https://mednexus.org/doi/pdf/10.1016/j.bsheal.2025.07.004?download=true
10.1016/j.bsheal.2025.07.006,"Inactivation of BSL-2 and BSL-3 human pathogens using FATHHOME’s Trinion Disinfector:
                     A rapid and eco-friendly ozone-based dry disinfection approach","Kabita Adhikari,Elizabeth Zhou,Majid Khan,Shubhasish Goswami,Amir Khazaieli,Blake A. Simmons,Deepika Awasthi,Subhash C. Verma",https://mednexus.org/toc/bsh/07/04,https://mednexus.org/doi/pdf/10.1016/j.bsheal.2025.07.006?download=true
10.1016/j.bsheal.2025.07.005,"DeepHVI: A multimodal deep learning framework for predicting human-virus protein-protein
                     interactions using protein language models","Xindi Wang,Junyu Luo,Xiyang Cai,Ruibin Liu,Yixue Li,Chitin Hon",https://mednexus.org/toc/bsh/07/04,https://mednexus.org/doi/pdf/10.1016/j.bsheal.2025.07.005?download=true
