article_id,title,author,issue_url,pdf_url
10.1002/nep3.70017,"Better understanding complex pathomechanisms in central nervous system disorders as
                     a prerequisite for improved diagnostic and therapeutic approaches","Piotr Walczak,Shen Li,Xunming Ji,Johannes Boltze",https://mednexus.org/toc/nep/03/03,https://mednexus.org/doi/pdf/10.1002/nep3.70017?download=true
10.1002/nep3.70009,"Role of astrocyte in neuroinflammation‐induced loss in neuroplasticity and subsequent
                     onset of depression: A systematic review","Gaurav Singhal,Saurabh Singhal,Bernhard T. Baune",https://mednexus.org/toc/nep/03/03,https://mednexus.org/doi/pdf/10.1002/nep3.70009?download=true
10.1002/nep3.70006,"A comprehensive review on adaptive plasticity and recovery mechanisms post‐acquired
                     brain injury",Ravi Kumar Rajan,https://mednexus.org/toc/nep/03/03,https://mednexus.org/doi/pdf/10.1002/nep3.70006?download=true
10.1002/nep3.70004,"Mitochondrial transfer as a novel therapeutic approach in ischemic stroke treatment:
                     Current challenges and future perspectives","Shuchen Meng,Min Bai,Changsheng Ma,Bo Han,Mengyuan Duan,Liying Zhang,Jinfen Guo,Changku Shi,Ke Li,Maotao He",https://mednexus.org/toc/nep/03/03,https://mednexus.org/doi/pdf/10.1002/nep3.70004?download=true
10.1002/nep3.70012,"The effects and mechanisms of stem cells and exosomes on neurological function protection
                     and recovery after ischemic stroke","Weihong Du,Yuxian He,Liangchen Li,Xinchun Jin,Panpan Geng",https://mednexus.org/toc/nep/03/03,https://mednexus.org/doi/pdf/10.1002/nep3.70012?download=true
10.1002/nep3.70007,"How pandemics reshape our brain: Common links and targets between long‐haul COVID‐19,
                     myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS), oxidative stress, and
                     neurodegeneration",Mary E. Herman,https://mednexus.org/toc/nep/03/03,https://mednexus.org/doi/pdf/10.1002/nep3.70007?download=true
10.1002/nep3.70013,Effects of senescence on astrocyte to brain endothelial cell signaling,"Shuzhen Guo,Gen Hamanaka,Fang Zhang,Janice Lee,Ji Hyun Park,Wenlu Li,Ken Arai,Eng H. Lo",https://mednexus.org/toc/nep/03/03,https://mednexus.org/doi/pdf/10.1002/nep3.70013?download=true
10.1002/nep3.70010,Targeting peripheral processes to protect the central nervous system,"Shen Li,Piotr Walczak,Xunming Ji,Johannes Boltze",https://mednexus.org/toc/nep/03/02,https://mednexus.org/doi/pdf/10.1002/nep3.70010?download=true
10.1002/nep3.70000,Targeting gut microbiota as a therapeutic approach for neurodegenerative diseases,Tobiloba S. OlajideandOmamuyovwi M. Ijomone,https://mednexus.org/toc/nep/03/02,https://mednexus.org/doi/pdf/10.1002/nep3.70000?download=true
10.1002/nep3.70001,The role of gut microbiota-derived metabolites in neuroinflammation,Lingjie MuandYijie Wang,https://mednexus.org/toc/nep/03/02,https://mednexus.org/doi/pdf/10.1002/nep3.70001?download=true
10.1002/nep3.70008,"Beta cells to brain cells: The pivotal role of insulin and glucose metabolism in Alzheimer's
                     disease","Stanley S. Schwartz,Elizabeth M. Rhea,William A. Banks,Mary E. Herman",https://mednexus.org/toc/nep/03/02,https://mednexus.org/doi/pdf/10.1002/nep3.70008?download=true
10.1002/nep3.70005,"Vitamin E for intraventricular hemorrhage prevention in preterm neonates: A systematic
                     review and meta-analysis","Felipe Araujo Gouhie,Ana Clara Nogueira Cezar,Davi Alves Silva,Beatriz Rizzo Parreira,Larissa Ferreira Machado,Laura Caroline Felipe de Freitas,Paulo Roberto da Silva Lucena Patriota",https://mednexus.org/toc/nep/03/02,https://mednexus.org/doi/pdf/10.1002/nep3.70005?download=true
10.1002/nep3.70002,History of pre-eclampsia negatively impacts stroke severity postpartum in rats,"Ari Kropf,Jennifer L. Anderson,Milena Esposito,Sarah M. Tremble,Marilyn J. Cipolla",https://mednexus.org/toc/nep/03/02,https://mednexus.org/doi/pdf/10.1002/nep3.70002?download=true
10.1002/nep3.66,"Downregulation of forkhead box O1 (FOXO1) acetylation ameliorates cognitive dysfunction
                     by inhibiting endoplasmic reticulum stress-regulated neuronal apoptosis in APP/PS1
                     transgenic mice","Nan Zhang,Zongyuan Zhao,Xiaoxiao Chen,Hanbing Yao,Min Zhu,Shuqing Ma,Hui Wang,Xianghong Yin,Ying Zhou,Chenfei Zheng,Jianmin Li,Jingye Pan,Kaicheng Wang,Bin Yang,Yunting Wang,Junming Fan,Yongsheng Gong,Rong Liu,Jing Zeng,Xiaofang Fan,Yangping Shentu",https://mednexus.org/toc/nep/03/02,https://mednexus.org/doi/pdf/10.1002/nep3.66?download=true
10.1002/nep3.70003,Protecting the brain from multifaceted damage and promoting recovery,"Piotr Walczak,Xunming Ji,Shen Li,Johannes Boltze",https://mednexus.org/toc/nep/03/01,https://mednexus.org/doi/pdf/10.1002/nep3.70003?download=true
10.1002/nep3.74,"Unravelling the nexus of stroke and dementia: Deciphering the role of secondary neurodegeneration
                     in orchestrating cognitive decline","Shannon M. Stuckey,Rebecca J. Hood,Lin Kooi Ong,Isabella M. Bilecki,Lyndsey E. Collins‐Praino,Renée J. Turner",https://mednexus.org/toc/nep/03/01,https://mednexus.org/doi/pdf/10.1002/nep3.74?download=true
10.1002/nep3.71,Stroke and associated comorbidities in Southeast Asian countries,"Aishika Datta,Soumya Akundi,Kaveri Wagh,Gangadhar Bhurle,Deepaneeta Sarmah,Arvind Sharma,Sudhir Shah,Anupom Borah,Shailendra Saraf,Pallab Bhattacharya",https://mednexus.org/toc/nep/03/01,https://mednexus.org/doi/pdf/10.1002/nep3.71?download=true
10.1002/nep3.68,"Decoding the role of large heat shock proteins in the progression of neuroinflammation‐mediated
                     neurodegenerative disorders","Shailendra K. Saxena,Deepak Sharma,Swatantra Kumar,Vimal K. Maurya,Saniya Ansari,Hardeep S. Malhotra,Amit Singh",https://mednexus.org/toc/nep/03/01,https://mednexus.org/doi/pdf/10.1002/nep3.68?download=true
10.1002/nep3.73,"The dynamic relationship of brain‐derived neurotrophic factor and oxytocin: Introducing
                     the concept of neurosocial plasticity",Jamshid FarajiandGerlinde A. S. Metz,https://mednexus.org/toc/nep/03/01,https://mednexus.org/doi/pdf/10.1002/nep3.73?download=true
10.1002/nep3.75,Oral microbiota and central nervous system diseases: A review,"Xiaoxuan Zhang,Mengmeng Zhong,Yang Li,Hui Wang,Guangjun Xi,Feng Wang,Chao Cheng,Yachen Shi",https://mednexus.org/toc/nep/03/01,https://mednexus.org/doi/pdf/10.1002/nep3.75?download=true
10.1002/nep3.72,"Advancing neuroprotection and atherosclerosis prevention through familial hypercholesterolemia
                     management: Analyzing comorbidity burden with stroke, coronary heart disease, hypertension,
                     and diabetes","Jingjia Wang,Sicong Liu,Ming Zhang,Xiangbin Meng,Xuliang Wang,Wenyao Wang,Jun Gao,Jilin Zheng,Zhiyun Yang,Jun Wen,Da Liu,Lin Yang,Chen Wei,Siyan Zhan,Pei Gao,Chunli Shao",https://mednexus.org/toc/nep/03/01,https://mednexus.org/doi/pdf/10.1002/nep3.72?download=true
10.1002/nep3.70,"Pilot functional magnetic resonance imaging study of clemastine‐aided functional recovery
                     on a mouse model of demyelination","Ander Egimendia,Irati L. de la Pisa,Daniel Padro,Lorena Colás,Sandra Plaza‐García,David Otaegui,Pedro Ramos‐Cabrer",https://mednexus.org/toc/nep/03/01,https://mednexus.org/doi/pdf/10.1002/nep3.70?download=true
10.1002/nep3.69,"Neurodegeneration in acute and chronic central nervous system disorders: Novel ideas
                     and approaches","Piotr Walczak,Xunming Ji,Shen Li,Johannes Boltze",https://mednexus.org/toc/nep/02/04,https://mednexus.org/doi/pdf/10.1002/nep3.69?download=true
10.1002/nep3.58,Blood-based biomarkers of Alzheimer's disease: Standardization and comprehensiveness,"Ying Liu,Yu Guo,Jintai Yu",https://mednexus.org/toc/nep/02/04,https://mednexus.org/doi/pdf/10.1002/nep3.58?download=true
