article_id,title,author,issue_url,pdf_url
10.1097/JP9.0000000000000215,"Glycosyltransferase B3GNT3 promotes immune evasion in pancreatic cancer by downregulating
                     MHC-I levels on the surface of pancreatic cancer cells","Shi-Qi Yin,Hong-Tai Ma,Xia-Qing Li,Shu-Yu Xiao,Aziguli Tulamaiti,Zhi-Gang Zhang,Xin Xing",https://mednexus.org/toc/jp/08/02,https://mednexus.org/doi/pdf/10.1097/JP9.0000000000000215?download=true
10.1097/JP9.0000000000000185,"Phase angle is an indicator of GLIM-diagnosed malnutrition in patients undergoing
                     major pancreatic and biliary surgery","Lijuan Wang,Pengxue Li,Yifu Hu,Bo Cheng,Lei Li,Lili Ding,Jinghai Song,Junmin Wei,Jingyong Xu",https://mednexus.org/toc/jp/08/02,https://mednexus.org/doi/pdf/10.1097/JP9.0000000000000185?download=true
10.1097/JP9.0000000000000184,"Reappraisal of the parenchyma-sparing resections for pancreatic neuroendocrine tumors:
                     a Chinese high-volume center experience","Haoqi Zhang,Chunlu Tan,Xubao Liu,Xing Wang",https://mednexus.org/toc/jp/08/02,https://mednexus.org/doi/pdf/10.1097/JP9.0000000000000184?download=true
10.1097/JP9.0000000000000187,"Clinical characteristics and prognosis of older adult patients with necrotizing pancreatitis:
                     a single center retrospective study","Yue Wu,JiongDi Lu,Feng Cao,Fei Li",https://mednexus.org/toc/jp/08/02,https://mednexus.org/doi/pdf/10.1097/JP9.0000000000000187?download=true
10.1097/JP9.0000000000000181,"Urinastatin combined with octreotide versus sole octreotide in severe acute pancreatitis:
                     a meta-analysis","Siyao Zeng,Yue Li,Lianghe Wen,Yunlong Li,Zhipeng Yao,Yang Cao,Ming Li,Hongliang Wang,Junbo Zheng",https://mednexus.org/toc/jp/08/02,https://mednexus.org/doi/pdf/10.1097/JP9.0000000000000181?download=true
10.1097/JP9.0000000000000205,Biochemical pharmacology of diabetes and its complications: frontiers in therapy,Haitham Al-Madhagi,https://mednexus.org/toc/jp/08/02,https://mednexus.org/doi/pdf/10.1097/JP9.0000000000000205?download=true
10.1097/JP9.0000000000000214,ABCD1 for solid pseudopapillary neoplasms of the pancreas,Lina Chen,https://mednexus.org/toc/jp/08/02,https://mednexus.org/doi/pdf/10.1097/JP9.0000000000000214?download=true
10.1097/JP9.0000000000000200,"Influences of intraoperative warming on surgical outcomes of pancreaticoduodenectomy
                     with portal vein reconstruction","Abdur Rehman,Muneeb Ullah,Bilal Ahmad,Waheed Khan,Noaman Khan",https://mednexus.org/toc/jp/08/02,https://mednexus.org/doi/pdf/10.1097/JP9.0000000000000200?download=true
10.1097/JP9.0000000000000189,"Preoperative chemotherapy plus immune checkpoint inhibitors as conversion therapy
                     in pancreatic cancer patients with initially unresectable liver-limited metastases:
                     a case report","Li Xiao,Haoqi Zhang,Chunlu Tan,Xubao Liu,Zhenjiang Zheng",https://mednexus.org/toc/jp/08/02,https://mednexus.org/doi/pdf/10.1097/JP9.0000000000000189?download=true
10.1097/JP9.0000000000000199,"Chinese expert consensus on imaging assessment of pancreatic ductal adenocarcinoma
                     (PDAC) resectability","Huadan Xue,Ming He,Zaiyi Liu,Yang Du,Menghua Dai,Zhiyong Liang,Xinming Zhao,Min Chen,Zhengyu Jin,on behalf of Group of Abdomen, Chinese Society of Radiology",https://mednexus.org/toc/jp/08/01,https://mednexus.org/doi/pdf/10.1097/JP9.0000000000000199?download=true
10.1097/JP9.0000000000000164,"Chemokine expression profiles predict overall survival and immune infiltration in
                     patients with pancreatic adenocarcinoma","Xinyu Peng,Shengnan Lv,Yuxiang Fan,Jian Zhang,Huan Liu,Yan Liu,Feng Wei",https://mednexus.org/toc/jp/08/01,https://mednexus.org/doi/pdf/10.1097/JP9.0000000000000164?download=true
10.1097/JP9.0000000000000166,"Laminin γ-2 (LAMC2) promotes the proliferation and invasion of pancreatic cancer cells
                     by regulating PI3K/Akt signaling","Qi Wang,Fusheng Zhang,Di Long,Weikang Liu,Yiran Chen,Yongsu Ma,Yinmo Yang,Zebin Mao,Xiaodong Tian",https://mednexus.org/toc/jp/08/01,https://mednexus.org/doi/pdf/10.1097/JP9.0000000000000166?download=true
10.1097/JP9.0000000000000170,"Exploring the role of YAP1 and TAZ in pancreatic acinar cells and the therapeutic
                     potential of VT-104 in pancreatic inflammation","Kevin Lopez,Janice J. Deng,Yi Xu,Francis E. Sharkey,Pei Wang,Jun Liu",https://mednexus.org/toc/jp/08/01,https://mednexus.org/doi/pdf/10.1097/JP9.0000000000000170?download=true
10.1097/JP9.0000000000000171,"Recurrence and survival prediction models for receiving preoperative chemotherapy
                     pancreatic ductal adenocarcinoma: a single-center retrospective research","Yixin Zhang,Xin Han,Zhongquan Sun,Wanlu You,Haoze Cao,Xiaochang Wu,Weilin Wang,Yuan Ding",https://mednexus.org/toc/jp/08/01,https://mednexus.org/doi/pdf/10.1097/JP9.0000000000000171?download=true
10.1097/JP9.0000000000000177,"Risk factors and nomogram prediction for splanchnic venous thrombosis in moderate
                     and severe acute pancreatitis","Hai-Chao Li,Huan He,Bo-Han Huang,Lei Yang,Yi-Xuan Ding,Feng Cao,Fei Li",https://mednexus.org/toc/jp/08/01,https://mednexus.org/doi/pdf/10.1097/JP9.0000000000000177?download=true
10.1097/JP9.0000000000000180,Integrated analysis of single-cell and bulk RNA sequencing to construct a CD8+T cell-related immune gene signature in pancreatic cancer,"Yuzhi Liu,Fei Xu,Anyi Jiang,Jie Ding,Chungao Li,Ming Quan",https://mednexus.org/toc/jp/08/01,https://mednexus.org/doi/pdf/10.1097/JP9.0000000000000180?download=true
10.1097/JP9.0000000000000209,"Commentary on ""The real-world study of the clinical characteristics, diagnosis, and
                     treatment of advanced pancreatic cancer in China""",Johannes KloseandJorg Kleeff,https://mednexus.org/toc/jp/08/01,https://mednexus.org/doi/pdf/10.1097/JP9.0000000000000209?download=true
10.1097/JP9.0000000000000174,"Different response of two primary neoplastic lesions to neoadjuvant therapy: a case
                     report","Chaoyu Pang,Zhiyao Fan,Hanxiang Zhan",https://mednexus.org/toc/jp/08/01,https://mednexus.org/doi/pdf/10.1097/JP9.0000000000000174?download=true
10.1097/JP9.0000000000000201,"Solid pseudopapillary neoplasm (SPN) of the pancreas: a peculiar tumor that needs
                     special care and attention",Qiaofei LiuandWenming Wu,https://mednexus.org/toc/jp/07/04,https://mednexus.org/doi/pdf/10.1097/JP9.0000000000000201?download=true
10.1097/JP9.0000000000000193,The real-world management of advanced pancreatic cancer in China,"Rosa Klotz,Christoph Michalski,Bo Kong",https://mednexus.org/toc/jp/07/04,https://mednexus.org/doi/pdf/10.1097/JP9.0000000000000193?download=true
10.1097/JP9.0000000000000203,Mortality for pancreatic cancer throughout 2003–2022 in the US,Camilla MattiuzziandGiuseppe Lippi,https://mednexus.org/toc/jp/07/04,https://mednexus.org/doi/pdf/10.1097/JP9.0000000000000203?download=true
