article_id,title,year,issue,volumn_page,pdf_url,doi
,厚朴及其疑似品的比较鉴定,1981,1,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I1,,
,豆蔻挥发油的气相色谱分析,1981,1,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I1,,
,麻醉乙醚中杂质的气相色谱定量分析,1981,1,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I1,,
,N．B．D原位荧光法测定庆大霉素组分的含量,1981,1,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I1,,
,碱性染料比色法在药物分析中的应用Ⅰ．水杨酸钠制剂的含量测定,1981,1,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I1,,
,离子选择性电极在药物分析中的应用呋喃氟脲嘧啶中氟的含量测定,1981,1,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I1,,
,氯胺酮在动物组织中的微量提取与检验,1981,1,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I1,,
,苯甲醇对青霉素钾水溶液稳定性的影响,1981,1,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I1,,
,非甾体消炎、解热、镇痛药物的鉴别,1981,1,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I1,,
,乌梅及其混杂品的形态和组织鉴定,1981,1,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I1,,
,维生素E及其制剂的气相色谱法测定,1981,1,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I1,,
,对二甲氨基苯甲醛比色法测定儿茶中儿茶素,1981,1,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I1,,
,银黄片中黄芩甙比色测定法,1981,1,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I1,,
,麻黄中麻黄硷含量测定法的改进,1981,1,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I1,,
,硫氰酸亚铁用于检查麻醉乙醚中的过氧化物,1981,1,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I1,,
,双光束紫外——可见分光光度计的简易自动进样装置,1981,1,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I1,,
,氯化钠注射液含量测定的一点改进,1981,1,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I1,,
,陶瓦盖用于药品杂菌总数测定,1981,1,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I1,,
,对中国药典片剂含量限度的讨论,1981,1,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I1,,
,非水溶液催化温度滴定及其应用,1981,1,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I1,,
,7118蛇药有效成分的研究I有效部分的提取和分离,1981,2,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I2,,
,磺胺甲基异恶唑不同晶型的鉴别,1981,2,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I2,,
,醋酸氢化泼尼松中主要其他甾体的确证与定量,1981,2,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I2,,
,平阳霉素国家基准标准品的研制与标定,1981,2,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I2,,
,用香草醛-硫酸比色法测定饮片甘草及蜜灸甘草中甘草酸含量,1981,2,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I2,,
,碱性染料比色法在药物分析中的应用Ⅱ、水杨酸-亚甲蓝克分子结合比的确定,1981,2,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I2,,
,桑自皮及其混杂品构树根皮和柘树根皮的药材鉴别,1981,2,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I2,,
,四川苦丁茶的品种问题,1981,2,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I2,,
,紫花拟丹参、紫花浙皖丹参初步植化考察,1981,2,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I2,,
,黄芪与铁皮黄芪的显微化学鉴别,1981,2,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I2,,
,抗菌素类药品引湿性测定方法探讨,1981,2,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I2,,
,国产薄层层析硅胶的质量考察,1981,2,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I2,,
,咪唑酸酯的含量测定,1981,2,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I2,,
,盐酸三氟哌丁苯制剂的含量测定方法,1981,2,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I2,,
,薄层色谱法检测羟基斑蟊胺中的微量斑蟊素,1981,2,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I2,,
,小剂量片剂含量的均匀度测定,1981,2,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I2,,
,102G型气相层析仪进样器的改进,1981,2,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I2,,
,WZZ自动旋光仪光源部分的检修,1981,2,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I2,,
,液滴逆流层析用于中草药成分分析,1981,2,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I2,,
,青霉素过敏反应的研究I.青霉素中高分子杂质的分离和本质的研究,1981,3,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I3,,
,熊胆的检验与质量考察——商品熊胆胆汁酸成分的薄层层析比较鉴定,1981,3,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I3,,
,醋酸氢化泼尼松中醋酸氢化可的松的红外光谱定量分析,1981,3,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I3,,
,碱性染料比色法在药物分析中的应用__Ⅲ．水杨酸毒扁豆碱的含量测定,1981,3,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I3,,
,熔点标准品双氰胺的研制与检定,1981,3,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I3,,
,中国药典热原检查法的假阳性率,1981,3,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I3,,
,7118蛇药有效成分的研究Ⅱ．总有机酸的纸层分离和鉴定,1981,3,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I3,,
,薄层层析一紫外分光光度法测定天麻中天麻素含量,1981,3,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I3,,
,盐酸麻黄碱及其制剂比色测定法的改进,1981,3,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I3,,
,药物水分的气相色谱测定法,1981,3,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I3,,
,双波长分光光度法检定呋喃妥因中的硝基糠醛二乙酯,1981,3,https://ywfx.nifdc.org.cn/CN/Y1981/V0/I3,,
