article_id,title,author,issue_url,pdf_url
10.1097/BS9.0000000000000257,"Chinese guidance for the clinical application of adeno-associated virus vector-based
                     gene therapy for hemophilia B (2025)","Feng Xue,Yu Hu,Renchi Yang,Jing Sun,Linhua Yang,Xuefeng Wang,Ziqiang Yu,Tienan Zhu,Hu Zhou,Zeping Zhou,Zhenyu Yan,Xin Du,Changcheng Zheng,Wei Liu,Rongfu Zhou,Jing Dai,Jie Yin,Huafang Wang,Liang V. Tang,Shu Chen,Hongbo Cheng,Miaoyong Zhu,…See all authors",https://mednexus.org/toc/bls/07/04,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000257?download=true
10.1097/BS9.0000000000000258,"A drop-based workflow for fast and robust joint profiling of transcriptome and chromatin
                     accessibility in the same cell","Ziying Yang,Siqi Liu,Changya Chen",https://mednexus.org/toc/bls/07/04,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000258?download=true
10.1097/BS9.0000000000000266,Dissecting cellular ecosystem with single-cell CRISPR screens,"Zhirui Liu,Zilin Lan,Xiaoli Kang,Yao Yao,Shuquan Rao",https://mednexus.org/toc/bls/07/04,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000266?download=true
10.1097/BS9.0000000000000261,T Cell immune reconstitution after allo-HSCT: key factors and implications,"Weiqian Dai,Fang Dong,Tao Cheng,Sha Hao",https://mednexus.org/toc/bls/07/04,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000261?download=true
10.1097/BS9.0000000000000249,"The evolution of artificial red blood cells and recent advances in state-of-the-art
                     oxygen carrier technologies: a narrative review",Trasha ShettyandAnshuman Darbari,https://mednexus.org/toc/bls/07/04,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000249?download=true
10.1097/BS9.0000000000000260,"Single-cell transcriptomic dissection of two waves of endothelial-hematopoietic transition
                     in a murine yolk sac","Zhe Chen,Chaojie Wang,Xupeng Chen,Yang Yang,Yandong Gong,Yingpeng Yao,Yanli Ni,Zongcheng Li,Bing Liu,Yu Lan",https://mednexus.org/toc/bls/07/04,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000260?download=true
10.1097/BS9.0000000000000240,Single-cell profiling of long non-coding RNAs in the hematopoietic system,"Yu Zhang,Qiuju Huang,Yawen Zhang,Shihong Lu,Lianshuo Li,Shangda Yang,Tao Cheng,Hui Cheng,Xiaowei Xie",https://mednexus.org/toc/bls/07/04,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000240?download=true
10.1097/BS9.0000000000000267,"FLT3-ITDwithNPM1and/orDNMT3Aco-mutations in acute myeloid leukemia: prognostic significance and the role of maintenance
                     therapy post-transplantation","Ruixin Li,Jiaxin Cao,Mingyang Wang,Jinting Fan,Yang Yang,Hongye Gao,Fengjiao Wang,Donglin Yang,Rongli Zhang,Weihua Zhai,Yigeng Cao,Jialin Wei,Aiming Pang,Yi He,Sizhou Feng,Mingzhe Han,Erlie Jiang",https://mednexus.org/toc/bls/07/04,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000267?download=true
10.1097/BS9.0000000000000253,"G2B: an optimized lentiviral vector with enhanced titer and β-globin expression for
                     improved β-thalassemia gene therapy","Zhu-Ying Gao,Zhi-Xue Yang,Dong-Hao Deng,Feng Zhang,Bing Yu,Yang-Yang Zhang,Xiang Lv,Yukio Nakamura,An Gong,Tao Cheng,Jian-Ping Zhang,Xiao-Bing Zhang",https://mednexus.org/toc/bls/07/04,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000253?download=true
10.1097/BS9.0000000000000248,"Mesenchymal stem cells attenuate keloid pathogenesis via TGF-β1/SMAD-driven MMP9 suppression:
                     mechanistic insights into collagen remodeling and extracellular matrix homeostasis","Yujia Zhao,Hexiao Zhang,Qiuyan Han,Yinghui Li,Wenshan Zhang,Minghe Zhang,Xiaoyue Li,Yongyuan Ren,Yang Bai,Shixin Zhang,Kun Wang,Ding Cheng,Yingdai Gao,Gang Li",https://mednexus.org/toc/bls/07/04,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000248?download=true
