article_id,title,author,issue_url,pdf_url
10.1002/rai2.12157,Malignancies and IgG4-related disease,Jingna LiandWen Zhang,https://mednexus.org/toc/rai2/05/03,https://mednexus.org/doi/pdf/10.1002/rai2.12157?download=true
10.1002/rai2.70003,Potential roles of antibodies with different classes in IgG4-related diseases,"Ling Li,Shaozhe Cai,Shengyan Lin,Lin Bai,Zhihua Yu,Wei Sun,Lingli Dong",https://mednexus.org/toc/rai2/05/03,https://mednexus.org/doi/pdf/10.1002/rai2.70003?download=true
10.1002/rai2.70020,"Effects of psoriatic arthritis-targeted drugs on bone remodeling: Clinical evidence
                     and molecular pathways","Yingchao Sun,Cheng Xu,Mingli Ouyang,Yongmei Han",https://mednexus.org/toc/rai2/05/03,https://mednexus.org/doi/pdf/10.1002/rai2.70020?download=true
10.1002/rai2.70008,"Lung ultrasonography as a tool to detect interstitial lung disease in rheumatoid arthritis:
                     A meta-analysis of diagnostic test accuracy studies","Rudy Hidayat,Jessica Audrey,Jeremy Rafael Tandaju,Fara Fauzia",https://mednexus.org/toc/rai2/05/03,https://mednexus.org/doi/pdf/10.1002/rai2.70008?download=true
10.1002/rai2.70009,"Predictors of systemic sclerosis patients with interstitial lung disease progression:
                     A retrospective study","Xi Cao,Shanshan Wang,Wenyi Yuan,Mian Liu,Xiaoyan Xin,Xiang Fang,Dandan Wang",https://mednexus.org/toc/rai2/05/03,https://mednexus.org/doi/pdf/10.1002/rai2.70009?download=true
10.1002/rai2.70007,"Interleukin-1 receptor type II and inflammatory bowel disease: A Mendelian randomization
                     study","Qifan Feng,Nan Li,Yawen Lu,Yinqi Long,Yaru Zhang,Kexin Ma,Shengxiao Zhang,Caihong Wang",https://mednexus.org/toc/rai2/05/03,https://mednexus.org/doi/pdf/10.1002/rai2.70007?download=true
10.1002/rai2.70005,"Role of neutrophils granularity intensity and reactive lymphocytes in assessing changes
                     in lupus activity","Galuh Setyorini,Laniyati Hamijoyo,Evan Susandi,Delita Prihatni,Andri Iskandar Mardia,Amaylia Oehadian",https://mednexus.org/toc/rai2/05/03,https://mednexus.org/doi/pdf/10.1002/rai2.70005?download=true
10.1002/rai2.12165,A case of visceral leishmaniasis mimicking connective tissue disease,"Yucui Li,Hongxia Yang,Tingzi Zhao,Ke Xu,Liyun Zhang",https://mednexus.org/toc/rai2/05/03,https://mednexus.org/doi/pdf/10.1002/rai2.12165?download=true
10.1002/rai2.70018,"Systemic lupus erythematosus caused acquired hemophilia B without evidence of factor
                     IX inhibitors","Lifang Wang,Yan Ding,Lei Wang,Lianjie Shi",https://mednexus.org/toc/rai2/05/03,https://mednexus.org/doi/pdf/10.1002/rai2.70018?download=true
10.1002/rai2.70015,"Assessing gout risk associated with GLP-1 therapy in obese patients with type 2 diabetes:
                     A retrospective cohort study","Justin Riley Lam,Emmanuel Otabor,Laith Alomari,Maxim Barnett,Bal Subedi,Het Hirpara,Freya Thummar",https://mednexus.org/toc/rai2/05/03,https://mednexus.org/doi/pdf/10.1002/rai2.70015?download=true
10.1002/rai2.70001,"Treatment strategy for systemic lupus erythematosus using belimumab as indicated by
                     multi-omics analysis","Keishi Fujio,Toshiyuki Ushijima,Tatsuki Abe,Tomohisa Okamura,Sang-Cheol Bae,Yumi Tsuchida",https://mednexus.org/toc/rai2/05/02,https://mednexus.org/doi/pdf/10.1002/rai2.70001?download=true
10.1002/rai2.12171,Artificial intelligence in rheumatoid arthritis,"Yiduo Sun,Jin Lin,Weiqian Chen",https://mednexus.org/toc/rai2/05/02,https://mednexus.org/doi/pdf/10.1002/rai2.12171?download=true
10.1002/rai2.70000,"Hetrombopag: A promising thrombopoietin receptor agonist for the treatment of primary
                     and secondary immune thrombocytopenia","Jiaqi Hu,Zhida Fu,Xia Xu,Zhengyi Jin,Xinyu Qian,Weiyu Tao,Taiyan Ma,Dongbao Zhao,Jie Gao",https://mednexus.org/toc/rai2/05/02,https://mednexus.org/doi/pdf/10.1002/rai2.70000?download=true
10.1002/rai2.12163,NETosis: A bridge between cancer and autoimmunity,Niloufar OroojiandManouchehr Fadaee,https://mednexus.org/toc/rai2/05/02,https://mednexus.org/doi/pdf/10.1002/rai2.12163?download=true
10.1002/rai2.12169,Effect of statins on psoriasis severity: A meta-analysis of randomized clinical trials,"Abreu Lopez,Ernesto Calderon Martinez,Camila Sanchez Cruz,Tania Siu Xiao,Zulma D. Sosa Carcamo,Alejandra M. Aleman Reyes,Felix R. Bonilla Bonilla,María I. Murillo Pineda,Edgar J. Sanabria Herrera,Alberto J. Ayala Aguilar,Andreina del Valle Rojas Marron,…See all authors",https://mednexus.org/toc/rai2/05/02,https://mednexus.org/doi/pdf/10.1002/rai2.12169?download=true
10.1002/rai2.12164,Immune cell alterations in a pristane-induced lupus model in C57BL/6J mice,"Yali Zhou,Binbin Yang,Haojun Long,Qinghuan Zhu,Yongzhuo Wu,Yingying Liu,Limei Yuan,Wenting Cao,Xinwei Huang,Danqi Deng",https://mednexus.org/toc/rai2/05/02,https://mednexus.org/doi/pdf/10.1002/rai2.12164?download=true
